strategy,method,samples,block_months,cagr_p05,cagr_median,cagr_p95,sharpe_p05,sharpe_median,sharpe_p95,maximum_drawdown_p05,maximum_drawdown_median,ending_value_p05_usd,ending_value_median_usd,ending_value_p95_usd,probability_of_loss,probability_outperform_regional_benchmark
current_portfolio,circular_moving_block_bootstrap,5000,12,0.08307893464527161,0.14273644531368124,0.2002369890932738,0.544760775979575,0.8911271893377599,1.2455295389305399,-0.5720018511302916,-0.3863872392402573,1959420703.2172036,9529357309.770815,40553750200.16537,0.0,1.0
portfolio_aware_overlay,circular_moving_block_bootstrap,5000,12,0.0783270079072191,0.13957225431133058,0.1969928113805568,0.5469125299927371,0.9322970168641191,1.3203537259423253,-0.6002200711758208,-0.4157109601220643,1721049955.8907793,8780906273.062584,37441632907.30467,0.0002,1.0
clean_sheet,circular_moving_block_bootstrap,5000,12,0.042202304812399706,0.08558159440103674,0.13002732123891228,0.4261956531223124,0.8242573385685608,1.2280725129015897,-0.48126451382126106,-0.3137845638199541,338520.4262636812,1127308.8733276322,3682339.70452655,0.0006,0.9916
llm_benchmark,circular_moving_block_bootstrap,5000,12,0.03800857584383288,0.05525304477588988,0.07317449246867022,0.716974354280166,1.0521434276797506,1.4167747333865148,-0.17054434056906012,-0.13286052275561466,300557.6460057694,488674.98822818423,803110.0852497321,0.0,0.9896
optimised_cvar_constrained,circular_moving_block_bootstrap,5000,12,0.04645177946527237,0.08779486552154192,0.12850640340482092,0.4352846169845007,0.7957928692660106,1.1805329323735103,-0.4833394378291552,-0.3245051126743914,381695.47977923654,1197117.1017833208,3538904.350269497,0.0008,0.9466
optimised_dividend_income,circular_moving_block_bootstrap,5000,12,0.049441500721187234,0.10670413284230151,0.16763038520670007,0.382876584593464,0.7492652147524129,1.1281816128888358,-0.594468232824584,-0.3958057747259607,415210.1152537849,1990353.3851998092,9671836.60579952,0.0018,0.998
optimised_mean_variance,circular_moving_block_bootstrap,5000,12,0.05128246764509147,0.09132980172401517,0.13042089184188085,0.4620547450584284,0.8020477605696035,1.1639755051392586,-0.4802682919412245,-0.32338056074779065,437243.10052975436,1317353.8390424664,3720362.1974220453,0.0002,0.9426
optimised_regime_aware,circular_moving_block_bootstrap,5000,12,0.054504498398179835,0.10105586154969581,0.1514603248073872,0.4478543774502605,0.7779458434071802,1.126119697756487,-0.5162599302599138,-0.3299747989548249,478551.7223517382,1711496.1285703203,6409805.646785114,0.0002,0.9954
optimised_risk_parity,circular_moving_block_bootstrap,5000,12,0.0669714941453033,0.10492901016392486,0.14314730604983694,0.6016119365296858,0.9415234058834294,1.3084900341416548,-0.41187661572983897,-0.2760568358890795,676874.4075235969,1898296.7257293542,5176244.95674317,0.0,0.96
optimised_score_weighted,circular_moving_block_bootstrap,5000,12,0.05443778853234536,0.09807615397573244,0.14568656065545582,0.46277899460387956,0.7938690216086353,1.1511103587183182,-0.46426359742915496,-0.30162207736977564,477659.4441784966,1580001.808132353,5526391.884980398,0.0,0.9826
final_portfolio,circular_moving_block_bootstrap,5000,12,0.041490021687409166,0.08450615796352745,0.12698048656753744,0.40581670274298903,0.7815178083015418,1.1822009871516963,-0.4910428897573035,-0.32342125036266,617277022.80457,2037036932.718069,6326856402.734111,0.001,0.9408
drl_baseline,circular_moving_block_bootstrap,5000,12,0.041490021687409166,0.08450615796352756,0.12698048656753744,0.4058167027429883,0.7815178083015412,1.182200987151696,-0.49104288975730437,-0.32342125036266045,617277022.80457,2037036932.7180736,6326856402.734127,0.001,0.9408
drl_challenger_raw,circular_moving_block_bootstrap,5000,12,0.04092627257165209,0.08156276845755728,0.12198073589329576,0.41412167080760215,0.7902187220156658,1.1913738126371725,-0.47289514230182184,-0.30989855233859565,607496026.4095956,1880096985.8489468,5549112671.622603,0.0008,0.9364
trend_risk_controlled_indices,circular_moving_block_bootstrap,5000,12,0.014640977419075584,0.043981530877821196,0.074999483177724,0.21061093547610346,0.548995274718539,0.9223700325093876,-0.4049055967438702,-0.24771611134595756,153537.94968460046,355990.2322098823,844390.9093893508,0.0064,0.2704
