strategy,total_transaction_cost_usd,total_bank_fee_usd,total_modeled_cost_usd,annual_bank_fee_assessments,ending_value_before_bank_fee_usd,ending_value_after_bank_fee_usd,ending_value_bank_fee_drag_usd,effective_bank_fee_bps,average_monthly_turnover,annualised_turnover,maximum_adv_participation,liquidity_breach_count,average_cash_weight,average_live_weight,average_unfilled_target_weight,maximum_unfilled_target_weight
current_portfolio,33220086.694902845,155185066.070659,188405152.76556185,29,9691705955.011961,9013105521.72336,678600433.2886009,25.0,0.014597661599698549,0.17517193919638258,0.05000000000000612,1645,0.06590075640002983,0.9340992435999702,0.08976765203514614,0.27557516150535866
portfolio_aware_overlay,46663105.19980394,120844334.90611266,167507440.1059166,29,7280532796.719746,6770759519.098688,509773277.6210575,25.0,0.01995211249938393,0.23942534999260717,0.050000000000006865,1714,0.13327281460275714,0.8667271853972428,0.04809449681431683,0.2531951702078382
clean_sheet,5784.021637871084,34161.38749443866,39945.409132309745,29,1355486.1433979957,1260576.7963236647,94909.34707433102,25.000000000000004,0.021582161779853944,0.2589859413582473,0.050000000000027495,11,0.43360003115696516,0.5663999688430348,0.00017275664568264763,0.04043448887700632
llm_benchmark,8033.41905868684,37510.28778912655,45543.706847813395,29,1563961.9977478501,1454455.4470698717,109506.55067797843,24.999999999999996,0.020127265614643793,0.2415271873757255,0.050000000000000114,61,0.5547177516748127,0.44528224832518726,0.002024627576309785,0.04418734398454723
optimised_cvar_constrained,8501.337451879284,36740.404525949634,45241.74197782892,29,1657945.7593500034,1541858.5899820502,116087.1693679532,25.0,0.024435151703779804,0.29322182044535766,0.050000000000000114,2,0.20141792701241554,0.7985820729875844,4.6138678646507044e-05,0.009139627317941205
optimised_dividend_income,10836.702067305156,41948.30093198276,52785.00299928791,29,2049747.0226832426,1906226.4470300465,143520.57565319608,25.000000000000004,0.025731369094377832,0.308776429132534,0.050000000000046375,10,0.19676678444922502,0.803233215550775,5.6558439316223776e-05,0.005279155624501177
optimised_mean_variance,7154.6396352343145,33531.54117362954,40686.18080886386,29,1465289.1223864602,1362691.515942332,102597.60644412809,24.999999999999996,0.022605026717964317,0.2712603206155718,0.05000000000000005,5,0.23840135947396604,0.7615986405260339,0.00015496412900893204,0.04417566936446895
optimised_regime_aware,9358.687705250333,39714.89293327335,49073.58063852369,29,1982509.5133940657,1843696.8192169094,138812.6941771563,25.000000000000004,0.024522521226820408,0.29427025472184487,0.050000000000024455,10,0.17486658229628765,0.8251334177037123,5.9021165614895824e-05,0.004628075508462122
optimised_risk_parity,10579.374278463081,51035.24453798,61614.61881644308,29,2266995.03087058,2108263.0370035665,158731.9938670136,25.0,0.023315061155685008,0.2797807338682201,0.04999999999999997,1,0.18034423752054202,0.819655762479458,2.2994117876189733e-05,0.008139917728171166
optimised_score_weighted,9874.834502348614,42430.74783582887,52305.58233817748,29,2081096.7276178366,1935381.0870863947,145715.6405314419,25.000000000000004,0.024151669656569612,0.2898200358788353,0.05000000000002778,10,0.2017091289067077,0.7982908710932923,5.960133589224062e-05,0.004660889562152229
final_portfolio,22311538.34767074,61325807.44280602,83637345.79047677,29,2606605531.956055,2424094459.9519506,182511072.0041046,24.999999999999996,0.0180217320396025,0.21626078447523,0.050000000000010085,2332,0.2816148792028524,0.7183851207971476,0.10363630707594827,0.37654313185091687
drl_baseline,22311538.34767073,61325807.44280599,83637345.79047672,29,2606605531.9560537,2424094459.951947,182511072.00410652,25.0,0.018021732039602494,0.21626078447522992,0.05000000000001009,2332,0.2816148792028525,0.7183851207971476,0.10363630707594833,0.3765431318509168
drl_challenger_raw,20638491.56763916,58122897.48936202,78761389.05700117,29,2430791136.71908,2260590356.147666,170200780.571414,24.999999999999996,0.018018079464222715,0.21621695357067258,0.05000000000299986,3218,0.3118907015570298,0.6881092984429701,0.08695130645988612,0.3385748580572029
trend_risk_controlled_indices,12170.596541420486,16094.054969281095,28264.65151070158,29,385837.8976970009,358822.03838680993,27015.85931019095,25.0,0.10549895281755958,1.2659874338107149,,0,0.48601933241838935,0.5139806675816107,0.0,0.0
