symbol,role,currency,region,requested_start,requested_end,first_observation,last_observation,observations,available_at_1997_start,history_years,post_repair_absolute_daily_return_over_50pct,raw_absolute_daily_return_over_50pct
000001.SS,benchmark,CNY,Mainland China,1997-01-01,2026-07-31,1997-07-02,2026-07-31,7045,False,29.078713210130047,0,0
0002.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2000-01-04,2026-07-31,6623,False,26.570841889117045,0,0
000333.SZ,holding,CNY,Mainland China,1997-01-01,2026-07-31,2013-09-18,2026-07-31,3124,False,12.865160848733744,0,0
000538.SZ,holding,CNY,Mainland China,1997-01-01,2026-07-31,1997-01-01,2026-07-31,7347,True,29.57700205338809,0,0
000651.SZ,holding,CNY,Mainland China,1997-01-01,2026-07-31,1997-01-01,2026-07-31,7347,True,29.57700205338809,0,0
002001.SZ,holding,CNY,Mainland China,1997-01-01,2026-07-31,2004-06-25,2026-07-31,5395,False,22.09719370294319,0,0
002352.SZ,holding,CNY,Mainland China,1997-01-01,2026-07-31,2010-02-05,2026-07-31,4000,False,16.48186173853525,0,0
002415.SZ,holding,CNY,Mainland China,1997-01-01,2026-07-31,2010-12-20,2026-07-31,3791,False,15.611225188227241,0,0
0293.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2000-01-04,2026-07-31,6623,False,26.570841889117045,0,0
0823.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2007-10-31,2026-07-31,4621,False,18.748802190280628,0,0
0939.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2005-10-27,2026-07-31,5117,False,20.758384668035593,0,0
0941.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2000-01-04,2026-07-31,6623,False,26.570841889117045,0,0
1113.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2015-06-03,2026-07-31,2749,False,11.159479808350445,0,0
1288.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2010-07-16,2026-07-31,3952,False,16.041067761806982,0,0
1919.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2005-06-30,2026-07-31,5199,False,21.084188911704313,0,0
2020.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2007-07-10,2026-07-31,4699,False,19.058179329226558,0,0
2057.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2020-09-29,2026-07-31,1432,False,5.834360027378508,0,0
2318.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2004-06-24,2026-07-31,5456,False,22.099931553730322,0,0
3968.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2006-09-22,2026-07-31,4892,False,19.854893908281998,0,0
3988.HK,holding,HKD,Hong Kong,1997-01-01,2026-07-31,2006-06-01,2026-07-31,4973,False,20.164271047227928,0,0
600018.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2000-07-19,2026-07-31,6422,False,26.031485284052017,0,1
600019.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2000-12-12,2026-07-31,6318,False,25.631759069130734,0,0
600036.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2002-04-09,2026-07-31,5973,False,24.309377138945926,0,0
600050.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2002-10-09,2026-07-31,5842,False,23.808350444900753,0,0
600406.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2003-10-16,2026-07-31,5576,False,22.78986995208761,0,0
600415.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2002-05-09,2026-07-31,5951,False,24.227241615331966,0,0
600690.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,1997-01-01,2026-07-31,7347,True,29.57700205338809,0,0
600919.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2016-08-02,2026-07-31,2425,False,9.99315537303217,0,0
601009.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2007-07-19,2026-07-31,4626,False,19.033538672142367,0,0
601166.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2007-02-05,2026-07-31,4736,False,19.482546201232033,0,0
601169.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2007-09-19,2026-07-31,4582,False,18.863791923340177,0,0
601288.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2010-07-15,2026-07-31,3895,False,16.043805612594113,0,0
601398.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2006-10-27,2026-07-31,4804,False,19.759069130732374,0,0
601658.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2019-12-10,2026-07-31,1610,False,6.639288158795345,0,0
601728.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2021-08-20,2026-07-31,1197,False,4.944558521560575,0,0
601766.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2008-08-18,2026-07-31,4360,False,17.949349760438057,0,0
601816.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2020-01-16,2026-07-31,1584,False,6.537987679671458,0,0
601818.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2010-08-18,2026-07-31,3871,False,15.950718685831623,0,0
601838.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2018-01-31,2026-07-31,2058,False,8.49555099247091,0,0
601939.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2007-09-25,2026-07-31,4578,False,18.847364818617386,0,0
601988.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2006-07-05,2026-07-31,4881,False,20.071184120465436,0,0
601998.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2007-04-27,2026-07-31,4682,False,19.260780287474333,0,0
603195.SS,holding,CNY,Mainland China,1997-01-01,2026-07-31,2020-02-06,2026-07-31,1575,False,6.480492813141684,0,0
ABI.BR,holding,EUR,EU ex-DACH,1997-01-01,2026-07-31,2000-12-01,2026-07-31,6592,False,25.661875427789184,0,0
ACWI,benchmark,USD,Global,1997-01-01,2026-07-31,2008-03-28,2026-07-31,4615,False,18.340862422997947,0,0
AD.AS,holding,EUR,EU ex-DACH,1997-01-01,2026-07-31,2008-10-24,2026-07-31,4546,False,17.765913757700204,0,0
ADP,holding,USD,US,1997-01-01,2026-07-31,1997-01-02,2026-07-31,7441,True,29.574264202600958,0,0
AENA.MC,holding,EUR,EU ex-DACH,1997-01-01,2026-07-31,2015-02-11,2026-07-31,2934,False,11.46611909650924,0,0
AFL,holding,USD,US,1997-01-01,2026-07-31,1997-01-02,2026-07-31,7441,True,29.574264202600958,0,0
ALV.DE,holding,EUR,DACH,1997-01-01,2026-07-31,1997-01-01,2026-07-31,7575,True,29.57700205338809,0,0
AMS.MC,holding,EUR,EU ex-DACH,1997-01-01,2026-07-31,2010-04-29,2026-07-31,4160,False,16.254620123203285,0,0
ASML.AS,holding,EUR,EU ex-DACH,1997-01-01,2026-07-31,1998-07-20,2026-07-31,7214,False,28.030116358658454,0,0
AUTO.L,holding,GBX,UK,1997-01-01,2026-07-31,2015-03-19,2026-07-31,2872,False,11.367556468172484,0,0
BMY,holding,USD,US,1997-01-01,2026-07-31,1997-01-02,2026-07-31,7441,True,29.574264202600958,0,0
BNZL.L,holding,GBX,UK,1997-01-01,2026-07-31,1997-01-01,2026-07-31,7548,True,29.57700205338809,0,0
BUD,holding,USD,US,1997-01-01,2026-07-31,2009-07-01,2026-07-31,4297,False,17.08145106091718,0,0
