strategy,period,embargo_start,start_date,end_date,observations,years,cumulative_return,cagr,annualised_arithmetic_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,maximum_drawdown_duration_months,calmar,monthly_var_5_loss,monthly_expected_shortfall_5,skewness,pearson_kurtosis,positive_month_ratio,worst_month,best_month,ending_value_usd,pnl_usd,embargo_sharpe_change
current_portfolio,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,30.780635469817494,0.13942404559719135,0.14493840666678856,0.16578583442673864,0.7583637090533759,0.6950408513983186,1.2513318214877724,-0.42574156738327396,39,0.3274851606671397,0.06946372630202768,0.09464962342918361,-0.28238720174825044,3.53474777539905,0.6289308176100629,-0.1696465823738128,0.14991949184526177,5913121625.005959,5727061103.005959,-0.11931758541122317
current_portfolio,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.5242544931970827,0.15085116398839693,0.15665625191661336,0.17645946578411092,0.6390461236421527,0.811117613485656,1.0082121507111197,-0.13499656971288465,7,1.1174444232859573,0.06997733736739425,0.11684477888059747,-0.6744220665638527,4.271199167697963,0.6666666666666666,-0.13499656971288476,0.10499364456124227,283603586.6650947,97543064.66509466,-0.11931758541122317
portfolio_aware_overlay,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,22.196285780494556,0.12596586498497908,0.13150333719579393,0.15653566469061686,0.7171322316509915,0.6379311289366495,1.157587190648784,-0.46362539993726415,26,0.27169750622382693,0.06777416932059059,0.09296216943941069,-0.39088265106265613,4.617852560207885,0.6383647798742138,-0.20294257833245533,0.1447219102255033,4315913040.779994,4129852518.7799945,0.21342908714935094
portfolio_aware_overlay,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.6307720635147884,0.17705770440501345,0.17370982318546185,0.1394432367270072,0.9305613188003424,1.311698736715675,1.4754856907251939,-0.1060793988542591,6,1.6691054655039135,0.05803705293376224,0.09306906899629175,-1.0106631298805224,4.391757557895765,0.7222222222222222,-0.10172614480883768,0.08305644959662795,303422301.4005787,117361779.4005787,0.21342908714935094
clean_sheet,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,3.3362874468222268,0.056920182461858815,0.059074292052313515,0.0848328931493371,0.4710917677982122,0.412517224642185,0.7437062461691106,-0.3119707745857333,72,0.18245357289458686,0.03426995106461262,0.05298886861312286,-0.2209528509621068,5.247841091726501,0.6383647798742138,-0.10418045262975717,0.09247866736870547,433628.74468222266,333628.74468222266,0.7394653258910364
clean_sheet,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.39915171708369335,0.11846295245111294,0.11409861847160854,0.05822372691401045,1.2105570936892487,2.0111410829397434,3.2066807430903643,-0.02678389810025561,4,4.422916784095083,0.013727194060455777,0.02031290204341485,0.8227322827123084,5.964689651254054,0.7222222222222222,-0.022712829533004797,0.06774477866160944,139915.17170836934,39915.17170836934,0.7394653258910364
llm_benchmark,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,2.4178521605478083,0.04747009532876478,0.04729420584068557,0.040868125649702054,0.6943149628481178,0.6649734463314511,1.355003735211759,-0.10207413621249428,46,0.46505507751682795,0.014754414292435774,0.01982574851193894,0.4351632045951332,4.948887907138998,0.6572327044025157,-0.0368874343642831,0.06088461594616956,341785.2160547808,241785.21605478082,-0.3695031945938419
llm_benchmark,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.1793988577001906,0.05654232840007101,0.05581260000541011,0.03754092479865101,0.3248117682542759,0.522946065079746,0.5964751436855346,-0.027996521049790557,4,2.0196198056005965,0.010448919076100488,0.020002174743229795,-0.5813118249314028,4.094942382783723,0.6944444444444444,-0.027996521049790557,0.027028361884370744,117939.88577001906,17939.88577001906,-0.3695031945938419
optimised_cvar_constrained,development,2023-08-31,1997-02-28,2023-07-31,318,26.5,8.940162457229789,0.09052968002152895,0.0941685930057243,0.12013604197380652,0.6242200834738688,0.5701025511943654,1.0037230311429297,-0.35687653527579755,40,0.25367226778181634,0.051844178614961975,0.07457139294609116,-0.22402805959772068,4.574704998058142,0.6352201257861635,-0.12537283016684653,0.13626940816445177,994016.245722979,894016.245722979,0.3663773681393304
optimised_cvar_constrained,untouched_embargo,2023-08-31,2023-08-31,2026-07-31,36,3.0,0.5851929537241432,0.16598790222989246,0.16130125123861913,0.11846796771117445,0.9905974516131992,1.4617292384486316,2.0030630722440983,-0.08738666873450196,8,1.8994648112081791,0.047585564811607445,0.05080611693374776,-0.046571675822334666,2.4992871343630427,0.6388888888888888,-0.05290831832167675,0.07977554778608753,158519.29537241432,58519.295372414315,0.3663773681393304
