dimension,environment,strategy,strategy_label,evidence_type,observations,environment_share,cumulative_conditional_return,annualised_arithmetic_return,annualised_geometric_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,positive_month_ratio,worst_month
rate_direction,Falling,current_portfolio,Current Portfolio,retrospective_holdings_replay,78,0.22807017543859648,0.6105021419255374,0.09543209356537649,0.07606920035729536,0.20883896216502446,0.3660004974341916,0.31541389105891693,0.5379636807120937,-0.42574156738327384,0.5641025641025641,-0.1696465823738128
rate_direction,Rising,current_portfolio,Current Portfolio,retrospective_holdings_replay,79,0.2309941520467836,1.562381148074881,0.15536242073236156,0.15364573646596758,0.1543934642663932,0.7690805039395915,1.083749863548732,1.4337418659872398,-0.14506703044064873,0.6582278481012658,-0.09085797384152583
rate_direction,Stable,current_portfolio,Current Portfolio,retrospective_holdings_replay,185,0.5409356725146199,8.704746611559885,0.1604910565054131,0.15883231348022564,0.15674630602677742,0.9317698577798786,0.9960050551197919,1.6008949861690092,-0.20316123015707932,0.6378378378378379,-0.13499656971288476
rate_direction,Falling,portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,78,0.22807017543859648,0.49964770129428104,0.08299078604857346,0.06432746343649742,0.2013788098325797,0.31805206199125063,0.2501648963310804,0.4547505916780378,-0.4739079988372913,0.5769230769230769,-0.19031081023627527
rate_direction,Rising,portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,79,0.2309941520467836,1.5847415721237934,0.15503538285959498,0.15516930319062583,0.14300927830347637,0.8285516259498936,1.0705501921408762,1.5754639960548267,-0.149298032278111,0.6329113924050633,-0.0719064132546261
rate_direction,Stable,portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,185,0.5409356725146199,8.54362747800825,0.15709339056709792,0.1575745831478761,0.14119475970480155,1.0109407438278963,1.0436359589027642,1.7480115444469002,-0.17035673803473161,0.6864864864864865,-0.10764551924105292
rate_direction,Falling,clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,78,0.22807017543859648,0.031544373634414535,0.014633535363990027,0.004789443842652119,0.1401420981684239,-0.02888920571075175,-0.023155079245904816,-0.038972344821287926,-0.3631628339575962,0.5769230769230769,-0.12718325651394502
rate_direction,Rising,clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,79,0.2309941520467836,1.3283740771949115,0.1345953043459403,0.1369852978184416,0.10716047554492851,0.9154944773403084,0.8826637516834216,2.029512631926029,-0.14077974970675688,0.6835443037974683,-0.05529877691199969
rate_direction,Stable,clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,185,0.5409356725146199,2.940518850104039,0.0936725834499723,0.09302599674601586,0.09444721317144923,0.8395714277255529,0.8447201950810579,1.540101952847145,-0.16682953257913058,0.6216216216216216,-0.07151626979593273
rate_direction,Falling,llm_benchmark,LLM Analyst Benchmark,retrospective_holdings_replay,78,0.22807017543859648,0.5894817222442139,0.07376316075918052,0.07389640987725277,0.06768131985391734,0.8096497013224184,0.8322656424868055,1.3963957263176034,-0.13286052275561455,0.7564102564102564,-0.05445311144007514
rate_direction,Rising,llm_benchmark,LLM Analyst Benchmark,retrospective_holdings_replay,79,0.2309941520467836,0.5274477479522293,0.0656724497109338,0.06645923066601878,0.048524556387080815,0.596983958098405,0.6666447017818643,1.1453435381690515,-0.0755451659372457,0.7088607594936709,-0.030254999090602253
rate_direction,Stable,llm_benchmark,LLM Analyst Benchmark,retrospective_holdings_replay,185,0.5409356725146199,0.9190656687837055,0.04357370113017433,0.043188003189244206,0.04955830360274277,0.5863518037767522,0.6173929836801153,0.9868878380280972,-0.09208255566082202,0.6648648648648648,-0.049014066411377955
rate_direction,Falling,optimised_cvar_constrained,CVaR-Constrained Optimiser,retrospective_holdings_replay,78,0.22807017543859648,0.12462848136325078,0.028392322509981888,0.018233896625122537,0.14369604345895012,0.06728852377754635,0.05529383434626549,0.09413008270608172,-0.3719455334321129,0.5897435897435898,-0.13439028191158642
rate_direction,Rising,optimised_cvar_constrained,CVaR-Constrained Optimiser,retrospective_holdings_replay,79,0.2309941520467836,1.0706733477368435,0.11737432977242404,0.11690684086552672,0.11359914871725721,0.7112578944206221,0.7738785590190378,1.2817592641231952,-0.16881113890616395,0.7088607594936709,-0.07191352978619092
rate_direction,Stable,optimised_cvar_constrained,CVaR-Constrained Optimiser,retrospective_holdings_replay,185,0.5409356725146199,3.281822469357059,0.10026912327174553,0.09893120951578416,0.10600298748996663,0.8089429621052027,0.8791128381800529,1.3977109960271186,-0.18318725516751166,0.6432432432432432,-0.08436259903749221
rate_direction,Falling,optimised_dividend_income,Dividend-Income Optimiser,retrospective_holdings_replay,78,0.22807017543859648,0.2539727511205645,0.053177301915981155,0.03543119735057543,0.19055780032582104,0.18038398570806258,0.14681115789023103,0.2538082359823362,-0.4588286826750396,0.5769230769230769,-0.17981603368047194
rate_direction,Rising,optimised_dividend_income,Dividend-Income Optimiser,retrospective_holdings_replay,79,0.2309941520467836,1.170588983883024,0.12832517037727595,0.12493054842570506,0.14485479978350865,0.6325190608618212,0.5806006549127166,1.232262306561508,-0.21933810048150637,0.6455696202531646,-0.08528523514520348
rate_direction,Stable,optimised_dividend_income,Dividend-Income Optimiser,retrospective_holdings_replay,185,0.5409356725146199,4.993503485235781,0.1269820268896288,0.12316654139318461,0.14447132134512017,0.778943939068563,0.7691352469134717,1.3498815225376446,-0.25784976092298284,0.6162162162162163,-0.11153955335632959
rate_direction,Falling,optimised_mean_variance,Mean-Variance Optimiser,retrospective_holdings_replay,78,0.22807017543859648,0.1715238559375316,0.035106853359523876,0.024653665372952105,0.14673666508301947,0.11145643491795275,0.09022839593157855,0.1583815936562209,-0.3831184263997436,0.5897435897435898,-0.12395896413930163
rate_direction,Rising,optimised_mean_variance,Mean-Variance Optimiser,retrospective_holdings_replay,79,0.2309941520467836,0.8798878522259739,0.10247763223216125,0.10062733559416204,0.11252683077199671,0.5847524311367414,0.686385854609242,0.9923415530383672,-0.18297282875970344,0.6582278481012658,-0.07781415512952317
rate_direction,Stable,optimised_mean_variance,Mean-Variance Optimiser,retrospective_holdings_replay,185,0.5409356725146199,3.9272242410946925,0.11004103627888204,0.10898470486526213,0.11161866065720859,0.854911413094377,1.0147096430991973,1.505384746735463,-0.16484442682247402,0.6378378378378379,-0.08762494294745238
rate_direction,Falling,optimised_regime_aware,Regime-Aware Optimiser,retrospective_holdings_replay,78,0.22807017543859648,0.23983311785362504,0.04611159364284799,0.03362635505027578,0.1616745949784075,0.16932995067683362,0.14945861936208205,0.24707824004025433,-0.39498620096405457,0.5641025641025641,-0.1180281256070711
rate_direction,Rising,optimised_regime_aware,Regime-Aware Optimiser,retrospective_holdings_replay,79,0.2309941520467836,1.2925826026074865,0.1364330917208412,0.13431300213913633,0.1422852173786262,0.7014384635834395,0.7025250221123397,1.3438584321468834,-0.19465229846358578,0.6835443037974683,-0.07998152893117216
rate_direction,Stable,optimised_regime_aware,Regime-Aware Optimiser,retrospective_holdings_replay,185,0.5409356725146199,4.1761649960458005,0.11529058918234147,0.11253591460607959,0.12925981348854404,0.7795982288978652,0.8318980520075834,1.4047446636839627,-0.26135032652365253,0.6324324324324324,-0.08814264417267681
rate_direction,Falling,optimised_risk_parity,Risk-Parity Optimiser,retrospective_holdings_replay,78,0.22807017543859648,0.270361117434331,0.04768402371950391,0.03750165667990335,0.147391457466001,0.19577676469413915,0.17745560092378945,0.2848540230855008,-0.31862532625611184,0.5769230769230769,-0.12916038562543875
rate_direction,Rising,optimised_risk_parity,Risk-Parity Optimiser,retrospective_holdings_replay,79,0.2309941520467836,1.2835555236473342,0.13175515029490573,0.13363342992395877,0.10750734084444019,0.8881261852347726,0.912503177134905,1.6033773691576294,-0.15933721943952295,0.6455696202531646,-0.07203860936941586
rate_direction,Stable,optimised_risk_parity,Risk-Parity Optimiser,retrospective_holdings_replay,185,0.5409356725146199,4.252077192714665,0.11338181353650373,0.11358706960593223,0.10366677276385823,0.9521413156816789,1.066002393843077,1.7073885971912026,-0.14389530153622132,0.6648648648648648,-0.07352180236168881
rate_direction,Falling,optimised_score_weighted,Score-Weighted Optimiser,retrospective_holdings_replay,78,0.22807017543859648,0.2782622373371364,0.0494443280952217,0.038491797523122706,0.1529297965629772,0.2005267065428317,0.1850123693009592,0.29438448665761385,-0.33643691205909654,0.5897435897435898,-0.11336025916003634
rate_direction,Rising,optimised_score_weighted,Score-Weighted Optimiser,retrospective_holdings_replay,79,0.2309941520467836,0.9654745259343431,0.11088370145926787,0.10809585294294033,0.12722340771271085,0.5827134749020263,0.5299555891607858,1.094942648180089,-0.20311284168814725,0.6455696202531646,-0.07493351935646853
rate_direction,Stable,optimised_score_weighted,Score-Weighted Optimiser,retrospective_holdings_replay,185,0.5409356725146199,4.2634019205691205,0.11596679958876811,0.1137426636284522,0.12564604893777898,0.8072313970298245,0.8652921013952537,1.4289191773129,-0.2758316064620293,0.6486486486486487,-0.09702412658615811
rate_direction,Falling,final_portfolio,Final Resolved Portfolio,retrospective_holdings_replay,78,0.22807017543859648,0.059379585573610116,0.018681029788374055,0.00891386941772443,0.14010246293225606,-9.382578892565135e-05,-7.530925947898633e-05,-0.00012928006841485577,-0.4049597243995047,0.5769230769230769,-0.13110357966302566
rate_direction,Rising,final_portfolio,Final Resolved Portfolio,retrospective_holdings_replay,79,0.2309941520467836,1.2686501797012415,0.13142952109257564,0.1325063298324769,0.1142408271570114,0.8308244140301627,0.8332124979865587,1.5639539502619908,-0.16832227201392347,0.6962025316455697,-0.07015860441345423
rate_direction,Stable,final_portfolio,Final Resolved Portfolio,retrospective_holdings_replay,185,0.5409356725146199,2.96268879433156,0.09487617267026181,0.09342383943156718,0.1027982764061889,0.7819282416933634,0.855475055743166,1.3401619507177314,-0.16951130078985222,0.6432432432432432,-0.07865503098143589
rate_direction,Falling,drl_baseline,DRL Baseline Portfolio,retrospective_holdings_replay,78,0.22807017543859648,0.059379585573609894,0.018681029788374076,0.008913869417724207,0.14010246293225626,-9.382578892552962e-05,-7.530925947888862e-05,-0.0001292800684146769,-0.4049597243995051,0.5769230769230769,-0.13110357966302588
rate_direction,Rising,drl_baseline,DRL Baseline Portfolio,retrospective_holdings_replay,79,0.2309941520467836,1.2686501797012428,0.1314295210925758,0.1325063298324769,0.11424082715701159,0.8308244140301627,0.8332124979865584,1.5639539502619912,-0.1683222720139239,0.6962025316455697,-0.07015860441345423
rate_direction,Stable,drl_baseline,DRL Baseline Portfolio,retrospective_holdings_replay,185,0.5409356725146199,2.9626887943315583,0.09487617267026185,0.09342383943156718,0.10279827640618906,0.7819282416933626,0.8554750557431654,1.3401619507177298,-0.169511300789852,0.6432432432432432,-0.07865503098143611
