dimension,environment,strategy,strategy_label,evidence_type,observations,environment_share,cumulative_conditional_return,annualised_arithmetic_return,annualised_geometric_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,positive_month_ratio,worst_month
rate_level,High (>=4%),current_portfolio,Current Portfolio,retrospective_holdings_replay,105,0.2966101694915254,4.0361977462080825,0.19590014304639106,0.20292989233705794,0.14138255482019085,1.0459002784262548,1.0910926696938794,2.1379455745961202,-0.13179469095833607,0.6857142857142857,-0.09869294796194816
rate_level,Low (<2%),current_portfolio,Current Portfolio,retrospective_holdings_replay,198,0.559322033898305,5.200081076314946,0.12662525773141992,0.11692518295874144,0.17623725706905743,0.6849020636422836,0.6051278027556921,1.079981201120343,-0.41155281831096935,0.6161616161616161,-0.16964666966854725
rate_level,Moderate (2-4%),current_portfolio,Current Portfolio,retrospective_holdings_replay,51,0.1440677966101695,0.5513867488208994,0.11938679649798578,0.10885641259452639,0.17744515252754103,0.5040149771174472,0.6173648583753435,0.7758700993824884,-0.2041847213896546,0.5882352941176471,-0.13499658787962876
rate_level,High (>=4%),portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,105,0.2966101694915254,3.916353551590314,0.18993244974404289,0.19962339429348264,0.11605118978905732,1.2222370249199086,1.1430974711148054,2.606702551863415,-0.11350664275396882,0.7238095238095238,-0.07929676555105114
rate_level,Low (<2%),portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,198,0.559322033898305,4.154469291760048,0.11231698885527332,0.10449222755974086,0.15814358880946813,0.6727063138516655,0.5870850150628526,1.0563085518623485,-0.37562213208661466,0.6161616161616161,-0.1746230710488068
rate_level,Moderate (2-4%),portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,51,0.1440677966101695,0.4360054573792802,0.0951701638939853,0.08887469129893488,0.14006999440171014,0.4659283106517845,0.5064129580812844,0.6958529066552616,-0.15213937561430613,0.6078431372549019,-0.09315771114442528
rate_level,High (>=4%),clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,105,0.2966101694915254,3.0621682979667906,0.1650849841353644,0.17374115580871274,0.0891174937212526,1.3135939588597252,0.90006809639615,3.8530308263722715,-0.04975810726164043,0.7142857142857143,-0.04876560587485701
rate_level,Low (<2%),clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,198,0.559322033898305,1.549182556424459,0.06337023783092192,0.05835254841578941,0.11463829701818094,0.501188393269777,0.4415232227594861,0.7882402798913898,-0.25065255007033393,0.6060606060606061,-0.1000548659274193
rate_level,Moderate (2-4%),clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,51,0.1440677966101695,0.21733597950828587,0.05172883094053241,0.04736143436767071,0.10522312554301635,0.20699747709491795,0.25414743184887256,0.3511970524328649,-0.11886999753205829,0.5490196078431373,-0.04865024129341189
rate_level,High (>=4%),llm_benchmark,LLM Analyst Benchmark,retrospective_holdings_replay,105,0.2966101694915254,2.1583966597247253,0.13412651121630828,0.14046485211426019,0.06359472988528611,1.3530869737805435,1.376951619229075,3.8536217593122672,-0.06078326603444628,0.7523809523809524,-0.027346584546123376
rate_level,Low (<2%),llm_benchmark,LLM Analyst Benchmark,retrospective_holdings_replay,198,0.559322033898305,3.3188920408985148,0.09378925933246623,0.09271628380407493,0.09824459607666375,0.8938176856194239,0.7978440285251642,1.5071424917288978,-0.20906660125245702,0.6616161616161617,-0.08316656944304479
rate_level,Moderate (2-4%),llm_benchmark,LLM Analyst Benchmark,retrospective_holdings_replay,51,0.1440677966101695,0.06625579032743079,0.02041784133920314,0.015209385587834356,0.10444985261981116,-0.09188196556696929,-0.09945372460981036,-0.13979045928471925,-0.19738983295087575,0.5882352941176471,-0.05683104315361964
rate_level,High (>=4%),optimised_cvar_constrained,CVaR-Constrained Optimiser,retrospective_holdings_replay,105,0.2966101694915254,2.825870948187443,0.15884002768094382,0.1657294022523228,0.09606352079619473,1.1536501673607824,1.0297925705441862,2.3216099602970894,-0.08701251931515919,0.7333333333333333,-0.07174976479407524
rate_level,Low (<2%),optimised_cvar_constrained,CVaR-Constrained Optimiser,retrospective_holdings_replay,198,0.559322033898305,2.5076846309605636,0.08533141560022978,0.07902510155684506,0.13451819942339888,0.5905704961213549,0.5699474996992394,0.9170012347405727,-0.28564972619542495,0.6212121212121212,-0.15985018537127837
rate_level,Moderate (2-4%),optimised_cvar_constrained,CVaR-Constrained Optimiser,retrospective_holdings_replay,51,0.1440677966101695,0.14893031380233923,0.03899257203175219,0.03320559706061643,0.11313531907345162,0.07968345714852917,0.09350799446460044,0.11777915834724853,-0.1558157397748492,0.5882352941176471,-0.08032950546012885
rate_level,High (>=4%),optimised_dividend_income,Dividend-Income Optimiser,retrospective_holdings_replay,105,0.2966101694915254,2.9452819445488228,0.1625510011604105,0.1698312137343878,0.09881154009380985,1.1581931555148044,0.8829182004466787,2.9853988476960387,-0.08005309267013494,0.7142857142857143,-0.06754032929418918
rate_level,Low (<2%),optimised_dividend_income,Dividend-Income Optimiser,retrospective_holdings_replay,198,0.559322033898305,3.578115558770043,0.10516627799134118,0.0965832837968128,0.15944548186521298,0.62230236718413,0.5566626856234884,0.9989894611092618,-0.3523762142405369,0.5959595959595959,-0.14994957829676414
rate_level,Moderate (2-4%),optimised_dividend_income,Dividend-Income Optimiser,retrospective_holdings_replay,51,0.1440677966101695,0.055382029499080554,0.02206333879201696,0.01276378575937187,0.1382768587842116,-0.057440896241253196,-0.07562880125443207,-0.08390210996255265,-0.1868196218682039,0.5490196078431373,-0.08380357006184846
rate_level,High (>=4%),optimised_mean_variance,Mean-Variance Optimiser,retrospective_holdings_replay,105,0.2966101694915254,2.288265917132035,0.14074861236415254,0.1457290768845143,0.08972518473910204,1.0335016403704946,0.9659087350057577,2.094032366271085,-0.08137518155785661,0.7238095238095238,-0.06278196149122095
rate_level,Low (<2%),optimised_mean_variance,Mean-Variance Optimiser,retrospective_holdings_replay,198,0.559322033898305,2.3623545453280332,0.08083230350705237,0.07626145850733246,0.11948227436978964,0.6269673703218749,0.5867815345725069,0.9819734581598548,-0.2663331646916811,0.6363636363636364,-0.12599481235868604
rate_level,Moderate (2-4%),optimised_mean_variance,Mean-Variance Optimiser,retrospective_holdings_replay,51,0.1440677966101695,0.23250053100424806,0.055162614257991655,0.05041683637674321,0.10948031721633301,0.23047284165719764,0.26364772149146565,0.3523575674402405,-0.1512860928838663,0.6078431372549019,-0.07785782208534797
rate_level,High (>=4%),optimised_regime_aware,Regime-Aware Optimiser,retrospective_holdings_replay,105,0.2966101694915254,2.887931126105284,0.16121908853053776,0.16787512190161058,0.1020017721115506,1.109594562302433,0.8966689319489837,2.40785791014828,-0.0810178248615957,0.7428571428571429,-0.07772740955683699
rate_level,Low (<2%),optimised_regime_aware,Regime-Aware Optimiser,retrospective_holdings_replay,198,0.559322033898305,2.9085606191444975,0.0929139138805779,0.08612499744603386,0.14202114354804685,0.6122613795091134,0.5392448025133586,0.9813201409646104,-0.30576952107904454,0.6212121212121212,-0.14201305022755295
rate_level,Moderate (2-4%),optimised_regime_aware,Regime-Aware Optimiser,retrospective_holdings_replay,51,0.1440677966101695,0.2132605922994617,0.05459293715867234,0.046535353199180785,0.1358515332936708,0.1814357498939722,0.2433593957817401,0.2841896636714557,-0.16611095931072495,0.5686274509803921,-0.09655459059432558
rate_level,High (>=4%),optimised_risk_parity,Risk-Parity Optimiser,retrospective_holdings_replay,105,0.2966101694915254,2.335958323851328,0.1436957027537053,0.14761612510302236,0.10308906440285562,0.9289469847757934,1.1493796004625052,1.7482590233228705,-0.10357651402948176,0.7142857142857143,-0.06256934899850297
rate_level,Low (<2%),optimised_risk_parity,Risk-Parity Optimiser,retrospective_holdings_replay,198,0.559322033898305,4.069078330593974,0.10637271504825702,0.10337456870274875,0.12336211324179168,0.814300267107585,0.7360013937316396,1.2906489258742346,-0.3056440373009186,0.6666666666666666,-0.1293697460822405
rate_level,Moderate (2-4%),optimised_risk_parity,Risk-Parity Optimiser,retrospective_holdings_replay,51,0.1440677966101695,0.24673794024396645,0.05765668089524719,0.05325938002991948,0.10709598308972798,0.25853452092349327,0.3077440511024695,0.38618961707561794,-0.14414888419126404,0.6078431372549019,-0.07524583829998277
rate_level,High (>=4%),optimised_score_weighted,Score-Weighted Optimiser,retrospective_holdings_replay,105,0.2966101694915254,3.215770994868027,0.17058055640809455,0.17873048487220422,0.10205952934497176,1.2004228613876389,0.9912264710758767,2.712164435059731,-0.0753386636720188,0.7428571428571429,-0.0753386636720188
rate_level,Low (<2%),optimised_score_weighted,Score-Weighted Optimiser,retrospective_holdings_replay,198,0.559322033898305,2.686589435668544,0.08866503637020884,0.0822831460446578,0.13682689256549077,0.6045752817939737,0.53808081348188,0.9451378179223687,-0.3051951349999066,0.6262626262626263,-0.1466794490903066
rate_level,Moderate (2-4%),optimised_score_weighted,Score-Weighted Optimiser,retrospective_holdings_replay,51,0.1440677966101695,0.2452733875248705,0.06020201603320083,0.052968126367831214,0.13182548826222626,0.22955591195148364,0.2923289835729421,0.36599891016142855,-0.15039834843146482,0.5882352941176471,-0.0868436347646141
rate_level,High (>=4%),final_portfolio,Final Resolved Portfolio,retrospective_holdings_replay,105,0.2966101694915254,2.6013571875378614,0.1511572921613636,0.15770027605478787,0.08865466372867445,1.162333925442262,1.0601680574573482,2.544246338314068,-0.08134134681389149,0.7238095238095238,-0.06962747468485098
rate_level,Low (<2%),final_portfolio,Final Resolved Portfolio,retrospective_holdings_replay,198,0.559322033898305,1.9187736576260495,0.07251397209095996,0.06707259109513286,0.12200050314756922,0.5460651273170674,0.5264226025259497,0.8412018224793611,-0.2517340529885552,0.6363636363636364,-0.1290630656827737
rate_level,Moderate (2-4%),final_portfolio,Final Resolved Portfolio,retrospective_holdings_replay,51,0.1440677966101695,0.2394490773376563,0.05617413878480616,0.05180725476836612,0.106311688291879,0.24675243750762801,0.28494329441092264,0.36635203192317767,-0.13431255942878906,0.6666666666666666,-0.07078284112045086
rate_level,High (>=4%),drl_baseline,DRL Baseline Portfolio,retrospective_holdings_replay,105,0.2966101694915254,2.60135718753786,0.15115729216136353,0.15770027605478787,0.08865466372867442,1.1623339254422609,1.0601680574573473,2.5442463383140668,-0.08134134681389171,0.7238095238095238,-0.06962747468485098
rate_level,Low (<2%),drl_baseline,DRL Baseline Portfolio,retrospective_holdings_replay,198,0.559322033898305,1.9187736576260432,0.07251397209095993,0.06707259109513264,0.12200050314756922,0.5460651273170672,0.5264226025259496,0.8412018224793608,-0.2517340529885552,0.6363636363636364,-0.1290630656827737
rate_level,Moderate (2-4%),drl_baseline,DRL Baseline Portfolio,retrospective_holdings_replay,51,0.1440677966101695,0.2394490773376554,0.05617413878480611,0.051807254768365896,0.10631168829187895,0.24675243750762763,0.284943294410922,0.366352031923177,-0.13431255942878906,0.6666666666666666,-0.07078284112045086
rate_level,High (>=4%),drl_challenger_raw,DRL Raw Challenger,research_challenger_replay,105,0.2966101694915254,2.4683893071568566,0.14636775004992306,0.15273345040555975,0.08340611942740399,1.1780347443560364,1.0760111587148784,2.5990696763156347,-0.07470711812041841,0.7428571428571429,-0.06553057648879856
rate_level,Low (<2%),drl_challenger_raw,DRL Raw Challenger,research_challenger_replay,198,0.559322033898305,1.8382497989195365,0.07015353310291905,0.0652648892744403,0.11648358956835064,0.5516233308015728,0.5265188966280837,0.849583268226177,-0.24633404385377944,0.6363636363636364,-0.12451913115935687
rate_level,Moderate (2-4%),drl_challenger_raw,DRL Raw Challenger,research_challenger_replay,51,0.1440677966101695,0.2342103415303307,0.05465701944462854,0.05075952791491689,0.10131768654082197,0.24395824333363542,0.28286540808621047,0.36533788182293364,-0.12685265906287446,0.7058823529411765,-0.06667548109001964
rate_level,High (>=4%),trend_risk_controlled_indices,Trend and Risk-Controlled Regional Indices,point_in_time_index_challenger,105,0.2966101694915254,1.542871306425193,0.11081713434908833,0.11255832150078637,0.08544412333418974,0.7356748625473061,0.7596530812531643,1.1810264669267232,-0.1379561559168191,0.7523809523809524,-0.12986809410708133
rate_level,Low (<2%),trend_risk_controlled_indices,Trend and Risk-Controlled Regional Indices,point_in_time_index_challenger,198,0.559322033898305,0.36304233356383797,0.021810350923746977,0.018948141406365027,0.0777955589751965,0.20623903877293467,0.1964777781751513,0.29331071069249026,-0.2113900418696264,0.6515151515151515,-0.08345703604298638
rate_level,Moderate (2-4%),trend_risk_controlled_indices,Trend and Risk-Controlled Regional Indices,point_in_time_index_challenger,51,0.1440677966101695,0.035250343537380546,0.01431125321113998,0.008184671669402954,0.11102565768836399,-0.14183512541574492,-0.15263679308803843,-0.1859976399669911,-0.22319478386120994,0.7058823529411765,-0.10481650374183138
rate_level,High (>=4%),common_index,S&P 500 Index,common_market_benchmark,105,0.2966101694915254,2.1612721175155887,0.1433115144513615,0.14058346698544888,0.1487077298962124,0.6413716096573676,0.7989458262970797,1.035793367771816,-0.23545812358967222,0.6571428571428571,-0.14579671825011387
rate_level,Low (<2%),common_index,S&P 500 Index,common_market_benchmark,198,0.559322033898305,2.060181798555178,0.08034135018386214,0.0701366202043665,0.15646301820449274,0.47604200095003013,0.42634785607207865,0.6886435934703125,-0.47507817571489597,0.6414141414141414,-0.16942452401777075
rate_level,Moderate (2-4%),common_index,S&P 500 Index,common_market_benchmark,51,0.1440677966101695,-0.015205628487889311,0.007996523587542364,-0.0035987839726840942,0.1534852040406585,-0.1434127931963583,-0.18841314583190372,-0.2021370104847868,-0.23128140826658483,0.5098039215686274,-0.09339567201327437
