dimension,environment,strategy,strategy_label,evidence_type,observations,environment_share,cumulative_conditional_return,annualised_arithmetic_return,annualised_geometric_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,positive_month_ratio,worst_month
market_regime,Bear / Calm,current_portfolio,Current Portfolio,retrospective_holdings_replay,37,0.10818713450292397,0.1802491519002405,0.07337723740424398,0.055219530302475395,0.19923344682465924,0.2943711558142575,0.3592935518545761,0.43723019065786883,-0.31263332945430433,0.5405405405405406,-0.1165305421268844
market_regime,Bear / Volatile,current_portfolio,Current Portfolio,retrospective_holdings_replay,43,0.12573099415204678,0.49834011862873084,0.1414070822862952,0.1194573593239423,0.23900307645508678,0.5132191319174693,0.48147362903533486,0.8246486661032625,-0.3292273087031262,0.5581395348837209,-0.1696465823738128
market_regime,Bull / Calm,current_portfolio,Current Portfolio,retrospective_holdings_replay,226,0.6608187134502924,9.075205995577827,0.13408997829116154,0.13049883832535114,0.14733030714347983,0.7599075170794385,0.780896475978167,1.2477420957976815,-0.2679772117125617,0.6460176991150443,-0.13499656971288476
market_regime,Bull / Volatile,current_portfolio,Current Portfolio,retrospective_holdings_replay,36,0.10526315789473684,1.2477665204383963,0.2863439603718645,0.30993697042243595,0.16636024543647793,1.5940615724951486,2.8052849919291556,3.366296502416822,-0.079059993217237,0.6666666666666666,-0.07307762918130456
market_regime,Bear / Calm,portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,37,0.10818713450292397,0.10833972308660855,0.051109063090532446,0.03392374090174921,0.18980287654288275,0.1913972342359602,0.23395235719418084,0.2792692861125085,-0.3101985528794443,0.5135135135135135,-0.10645782802245451
market_regime,Bear / Volatile,portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,43,0.12573099415204678,0.6016237313493897,0.16102259879795813,0.14047731125189733,0.24094088360333377,0.5904875763137136,0.542047829154341,0.9328182588623115,-0.33165180610768163,0.5813953488372093,-0.20294257833245533
market_regime,Bull / Calm,portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,226,0.6608187134502924,7.489274479512874,0.12256141993676306,0.12026446822526715,0.13029874870418556,0.7712603598777661,0.7836255826519885,1.2458579259468472,-0.23798533168438585,0.6637168141592921,-0.10172614480883768
market_regime,Bull / Volatile,portfolio_aware_overlay,Portfolio-Aware Overlay,retrospective_holdings_replay,36,0.10526315789473684,1.1155952565994767,0.26333737536850305,0.28374134383934324,0.15103411775663275,1.604394558092361,2.7324819206186524,3.4931423756364532,-0.05684700202255344,0.6944444444444444,-0.055988324921686705
market_regime,Bear / Calm,clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,37,0.10818713450292397,-0.077950912106858,-0.021048085595806412,-0.02597774796736263,0.10316111818726026,-0.34389501220806895,-0.4781154179572078,-0.4415766380975655,-0.18599816176010997,0.5675675675675675,-0.0696779940370219
market_regime,Bear / Volatile,clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,43,0.12573099415204678,0.3283780093478048,0.08595656844472735,0.08246871104797471,0.11471209680583701,0.5880393832216525,0.5360157041658,0.9626189358151587,-0.15477150038580723,0.5813953488372093,-0.10418045262975717
market_regime,Bull / Calm,clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,226,0.6608187134502924,2.4506135552047406,0.06866429885265771,0.06797445963473381,0.07413802117213883,0.6312111403043975,0.6104158510599889,1.0718246240930722,-0.2091433291199596,0.6504424778761062,-0.07141463386145253
market_regime,Bull / Volatile,clean_sheet,Clean-Sheet Quant,retrospective_holdings_replay,36,0.10526315789473684,0.28109970273922236,0.08547746901471523,0.08607790059984533,0.07376243008184839,0.884760839759138,1.5074890807368453,1.7124915365343365,-0.039947820353985475,0.6944444444444444,-0.039947820353985475
