strategy,method,paths,horizon_months,degrees_of_freedom,cagr_p05,cagr_median,cagr_p95,sharpe_p05,sharpe_median,sharpe_p95,maximum_drawdown_p05,maximum_drawdown_median,ending_value_p05_usd,ending_value_median_usd,ending_value_p95_usd,probability_of_loss
current_portfolio,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.07945214892788592,0.14792806293134397,0.19215710235539482,0.4487608924965299,1.242917048136184,2.244368078955989,-0.7483222113352093,-0.2405682309481353,1774820427.7296164,10892738803.295254,33227104426.862114,0.0114
portfolio_aware_overlay,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.07354380738408701,0.1370199572007892,0.17986348625199886,0.4470445041761073,1.2525077087330765,2.2431684636489675,-0.714420627056224,-0.2332740149668595,1509515172.2145424,8218883424.10364,24473224027.09867,0.0094
clean_sheet,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.03663714315409749,0.06490777892327193,0.08836948570670027,0.37936075744912134,1.1304147799838504,2.0467516529771914,-0.5076480388895896,-0.14233518395730133,289061.44068553497,639298.9402599675,1215913.095544,0.0092
llm_benchmark,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.03663986942886509,0.048765166433558216,0.0596951264948212,0.6562848658823726,1.691328239362059,3.0372503524686914,-0.20939008432309167,-0.052026296666556615,289083.48608903616,407388.2538502584,553143.3027017032,0.002
optimised_cvar_constrained,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.05566905244004583,0.10231537661019574,0.135433717780119,0.4066076109067017,1.2191019120594915,2.201235512843585,-0.6213056910090105,-0.1898193506440196,494390.258274022,1770202.915691258,4239091.018719794,0.0076
optimised_dividend_income,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.05773982065939111,0.11366042982835933,0.15264518869870408,0.3894599019099543,1.1383851602947743,2.0604633415506135,-0.7005976924946079,-0.22523758944911976,523813.44044581166,2394458.309088372,6607260.560032582,0.0116
optimised_mean_variance,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.055890711092799764,0.10346075671427435,0.13784553311293896,0.4174811196771623,1.2204110105749222,2.1856040328984303,-0.6283520254363256,-0.1915619058594324,497461.6607834817,1825275.21666725,4512919.802117863,0.0076
optimised_regime_aware,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.05662737713816353,0.1101207409357815,0.14738362676195618,0.3871410664609038,1.142082576259881,2.081631016461983,-0.6758100846208371,-0.21432711800157245,507802.56451787456,2179823.8589090668,5773047.375320606,0.0114
optimised_risk_parity,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.07458457745698159,0.12279849027278056,0.15787331929340806,0.5022712120582014,1.3701515411694705,2.4777303719529713,-0.6296589609980938,-0.18503408184327957,834829.8687484445,3047219.1601474406,7550937.753300656,0.0068
optimised_score_weighted,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.06612113536373984,0.11040447252560637,0.14145361294806105,0.4597587021703404,1.2671080693646062,2.2888720361065857,-0.5844128574908537,-0.17869362202968636,661139.8297460747,2196319.262244283,4954717.528272599,0.0072
final_portfolio,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.052146565202258036,0.09624742792688867,0.12868189288186957,0.39416282319791424,1.16346569440669,2.1233004945963585,-0.6221587271570734,-0.19184475333325057,833495714.7715592,2798707840.6401577,6614782555.63019,0.0086
drl_baseline,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.051457853662061924,0.09618959199560106,0.12900620653159914,0.38649426103642537,1.1675440274627769,2.106557784045213,-0.6259749583380878,-0.19211116138065298,817550251.2824199,2794355305.808814,6671077089.104862,0.0086
drl_challenger_raw,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.05143831316367342,0.09267681978698505,0.12434068126039986,0.40930826946206667,1.1725394706708094,2.127837462006228,-0.5986907902591065,-0.18264945617291167,817102021.5349602,2541910585.39933,5903954872.964213,0.0078
trend_risk_controlled_indices,correlated_student_t_ar1_ewma,5000,354,7.780700905059362,0.015403054644482795,0.04641349850443832,0.06947091742916792,0.19636679058794457,0.7829000146124957,1.4843081758556134,-0.5603234378207956,-0.17609825626211506,156976.54402816726,381283.7851089129,725245.2774783046,0.0238
