date,rate_pct,rate_level,rate_change_12m_pp,rate_direction,market_trailing_return_12m,market_volatility_6m,market_regime,economic_cycle
1997-01-31,,Unavailable,,Unavailable,,,Unavailable,Unavailable
1997-02-28,5.02,High (>=4%),,Unavailable,,,Unavailable,Expansion
1997-03-31,5.09,High (>=4%),,Unavailable,,,Unavailable,Expansion
1997-04-30,5.21,High (>=4%),,Unavailable,,,Unavailable,Expansion
1997-05-31,5.14,High (>=4%),,Unavailable,,,Unavailable,Expansion
1997-06-30,4.82,High (>=4%),,Unavailable,,,Unavailable,Expansion
1997-07-31,5.06,High (>=4%),,Unavailable,,,Unavailable,Expansion
1997-08-31,5.11,High (>=4%),,Unavailable,,0.1541029882569395,Unavailable,Expansion
1997-09-30,5.1,High (>=4%),,Unavailable,,0.20055032634792455,Unavailable,Expansion
1997-10-31,4.93,High (>=4%),,Unavailable,,0.16841364273255588,Unavailable,Expansion
1997-11-30,5.07,High (>=4%),,Unavailable,,0.19231734239173298,Unavailable,Expansion
1997-12-31,5.08,High (>=4%),,Unavailable,,0.1871529572434534,Unavailable,Expansion
1998-01-31,5.22,High (>=4%),,Unavailable,,0.1833208196254269,Unavailable,Expansion
1998-02-28,5.06,High (>=4%),0.040000000000000036,Stable,0.2469218260704502,0.1508977364001541,Bull / Calm,Expansion
1998-03-31,5.18,High (>=4%),0.08999999999999986,Stable,0.3269011356589342,0.1302665799790578,Bull / Calm,Expansion
1998-04-30,5.02,High (>=4%),-0.1900000000000004,Stable,0.4551854489452105,0.12876754106529775,Bull / Calm,Expansion
1998-05-31,4.87,High (>=4%),-0.2699999999999996,Stable,0.38736361936468877,0.08785271290663656,Bull / Calm,Expansion
1998-06-30,4.89,High (>=4%),0.0699999999999994,Stable,0.2859196357519165,0.11105005377060558,Bull / Calm,Expansion
1998-07-31,4.97,High (>=4%),-0.08999999999999986,Stable,0.2809724417109922,0.11250322807709456,Bull / Calm,Expansion
1998-08-31,4.97,High (>=4%),-0.14000000000000057,Stable,0.1743249539586893,0.12383080540343129,Bull / Calm,Expansion
1998-09-30,4.77,High (>=4%),-0.33000000000000007,Stable,0.06427124915416504,0.2443118902339169,Bull / Volatile,Expansion
1998-10-31,4.26,High (>=4%),-0.6699999999999999,Stable,0.07361073633158677,0.25250278775028917,Bull / Volatile,Expansion
1998-11-30,4.23,High (>=4%),-0.8399999999999999,Falling,0.2012311668350779,0.28412384211951347,Bull / Volatile,Expansion
1998-12-31,4.42,High (>=4%),-0.6600000000000001,Stable,0.21795057059628542,0.29234900602230157,Bull / Volatile,Expansion
1999-01-31,4.37,High (>=4%),-0.8499999999999996,Falling,0.2666858915596535,0.2968364595347648,Bull / Volatile,Expansion
1999-02-28,4.37,High (>=4%),-0.6899999999999995,Stable,0.30538211164648965,0.2940643144483469,Bull / Volatile,Expansion
1999-03-31,4.55,High (>=4%),-0.6299999999999999,Stable,0.18010368078055028,0.13738264722989754,Bull / Calm,Expansion
1999-04-30,4.37,High (>=4%),-0.6499999999999995,Stable,0.16756977092551617,0.1340118234997321,Bull / Calm,Expansion
1999-05-31,4.43,High (>=4%),-0.4400000000000004,Stable,0.20097148973324708,0.11604984001420116,Bull / Calm,Expansion
1999-06-30,4.53,High (>=4%),-0.35999999999999943,Stable,0.19345082591231844,0.13139814021050406,Bull / Calm,Expansion
1999-07-31,4.65,High (>=4%),-0.3199999999999994,Stable,0.210673465672353,0.13011506221938973,Bull / Calm,Expansion
1999-08-31,4.62,High (>=4%),-0.34999999999999964,Stable,0.18564779872706683,0.14121155544510144,Bull / Calm,Expansion
