strategy,strategy_label,window,initial_capital_usd,capital_source,evidence_type,full_investment_start,start_date,end_date,observations,years,cumulative_return,cagr,annualised_arithmetic_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,maximum_drawdown_duration_months,calmar,monthly_var_5_loss,monthly_expected_shortfall_5,skewness,pearson_kurtosis,positive_month_ratio,worst_month,best_month,ending_value_usd,pnl_usd,gross_cagr,pre_bank_fee_cagr,annualised_transaction_cost_drag,annualised_bank_fee_drag,annualised_cost_drag,total_transaction_cost_usd,total_bank_fee_usd,total_modeled_cost_usd,ending_value_before_bank_fee_usd,ending_value_bank_fee_drag_usd,annualised_turnover,average_live_weight,minimum_live_weight,liquidity_breach_count,maximum_adv_participation,probabilistic_sharpe_ratio,minimum_track_record_months,deflated_sharpe_ratio,cluster_adjusted_deflated_sharpe_ratio,sidak_significant
current_portfolio,Current Portfolio,common_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2000-09-30,2013-09-30,2026-07-31,155,12.916666666666666,4.554560029761377,0.14195843466378388,0.1462986910444632,0.16071808731777182,0.7971408142095378,0.8536600777570135,1.3169817228862202,-0.2891143777053392,21,0.4910113284247166,0.06993903680817302,0.09218245970824046,-0.25806888131205225,3.580400648594396,0.6387096774193548,-0.13499658787962876,0.14991937327502658,1033484338.6177373,847423816.6177373,0.14545892971361596,0.1448389739939091,0.000619955719706855,0.0028805393301252202,0.0035004950498320753,28413891.752296437,130742532.19458438,159156423.94688082,1067667795.3716459,34183456.753908634,0.12562126762261872,0.9870448468433053,0.9151218282804464,847,0.05000000000000076,0.9999449779135153,64.85752429157544,0.9973192837598379,0.9995752152299083,True
portfolio_aware_overlay,Portfolio-Aware Overlay,common_investable_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2005-10-31,2013-09-30,2026-07-31,155,12.916666666666666,4.306084864444569,0.13791952760821635,0.1391691122088599,0.13712291603702084,0.8828257212608626,0.9332860723072607,1.5172090868072283,-0.2533013053205244,20,0.5444880255697642,0.05864471828055986,0.07194732630488544,-0.05943655681027538,3.692294571512642,0.6580645161290323,-0.09315771114442528,0.1477956223853154,987252919.6548557,801192397.6548557,0.1418646783987374,0.14078987897504014,0.0010747994236972591,0.0028703513668237868,0.003945150790521046,38134027.48521194,99796138.93071443,137930166.41592637,1019907229.1815275,32654309.526671767,0.1922038097393482,0.97510279827698,0.9507484823657851,1039,0.05000000000000044,0.9999617367267937,62.056328094686734,0.9980246717295924,0.9996967426794414,True
clean_sheet,Clean-Sheet Quant,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2008-08-31,2013-09-30,2026-07-31,155,12.916666666666666,2.0249870178449787,0.08947508876771182,0.09263031922414466,0.11639022878567677,0.6391540012892597,0.6184995201482048,1.143785996436883,-0.20975858628357946,35,0.42656222256736387,0.045089628434605566,0.05870789077525056,0.4403076774751086,4.5247401190597225,0.6451612903225806,-0.08725325241336013,0.13047235498930143,302498.7017844979,202498.70178449788,0.09268617062720597,0.09222324119351466,0.0004629294336913059,0.002748152425802841,0.003211081859494147,4137.952776251479,25336.044249489132,29473.99702574061,312504.12799578777,10005.426211289887,0.24447934863819518,0.6748387096774195,0.6000000000000001,0,0.005317306990469823,0.999822331914728,75.88563207899247,0.9925767902887196,0.998712466209814,True
llm_benchmark,LLM Analyst Benchmark,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2010-07-31,2013-09-30,2026-07-31,155,12.916666666666666,2.221542460334248,0.09479795180153916,0.09607680188597001,0.10240769884143952,0.759164939764446,0.7858784653017845,1.3682603303673249,-0.1526419151366899,22,0.6210479717622003,0.03691324370188491,0.05214335906551197,0.11232123126874886,3.7711646525278333,0.6387096774193548,-0.08316656944304479,0.10134465202677734,322154.2460334248,222154.2460334248,0.09818463848816239,0.09755953091245795,0.0006251075757044422,0.002761579110918788,0.0033866866866232304,6310.253670070583,28268.62544858832,34578.8791186589,332809.79767158563,10655.551638160832,0.2636206024820479,0.6370296295508953,0.547190650624658,15,0.050000000000000024,0.9999892677646722,53.897874138823845,0.9991864449237043,0.9998965404050305,True
optimised_cvar_constrained,CVaR-Constrained Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2008-10-31,2013-09-30,2026-07-31,155,12.916666666666666,2.3826394594027147,0.09894165548576694,0.10318362382861189,0.13150996857428357,0.6464607183563243,0.7168054339308183,1.1239957835820635,-0.21817800065906512,22,0.4534905223573741,0.054172534594210286,0.07135917510337364,0.3757358175110737,5.009139201050294,0.6387096774193548,-0.08301673073804938,0.1709076678857422,338263.9459402715,238263.94594027146,0.10235845614524774,0.10171368690481941,0.0006447692404283334,0.0027720314190524675,0.003416800659480801,6378.723746691636,27621.026801303182,33999.750547994816,349452.34090223256,11188.39496196108,0.2637160962255495,0.9599999999999997,0.8499999999999999,0,0.04692133036318227,0.9996424101481247,84.41561580612864,0.9890663357068882,0.9978035934509925,True
optimised_dividend_income,Dividend-Income Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2007-09-30,2013-09-30,2026-07-31,155,12.916666666666666,3.3464285611344655,0.12047922857517723,0.12490703020806362,0.14784893197272458,0.7206640893891753,0.7413022236902621,1.312494944426032,-0.2353474316219264,24,0.5119207281969448,0.058588080672301715,0.07545788062209394,0.6063781923699433,5.491702400026858,0.632258064516129,-0.09832034717793114,0.16623346961988616,434642.8561134465,334642.8561134465,0.12403042633544459,0.12330558756384713,0.000724838771597458,0.002826358988669897,0.003551197760267355,8411.553941832986,33187.19531055816,41598.74925239115,449019.0732656298,14376.217152183293,0.29013643779330284,1.0,0.9999999999999998,0,0.004758365359931535,0.9996169878903625,85.35556535372837,0.9875081688611864,0.9975522432203634,True
optimised_mean_variance,Mean-Variance Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2013-09-30,2013-09-30,2026-07-31,155,12.916666666666666,2.295542625044616,0.09672455968574467,0.1001129798234394,0.12292483111220111,0.6663596005137298,0.7538313640377406,1.1442808975458116,-0.19960154324439994,22,0.48458823570973764,0.0476759113974745,0.07035020076473544,0.19185616067232547,4.515783711917951,0.6451612903225806,-0.08683482948870147,0.14613947867552812,329554.26250446157,229554.26250446157,0.1000795368170353,0.09949099857931021,0.0005885382377250892,0.002766438893565537,0.0033549771312906262,5334.702734927652,24880.2738282274,30214.976563155054,340454.5765773917,10900.314072930138,0.25238840003733104,0.9529032258064516,0.7999999999999998,0,0.03511161293519953,0.9997541268626537,79.62681487704147,0.9915691957787919,0.9983998271448725,True
optimised_regime_aware,Regime-Aware Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2007-10-31,2013-09-30,2026-07-31,155,12.916666666666666,3.579057276690076,0.12501122958195388,0.1279180111069597,0.13997108377521944,0.7828770687020532,0.8194766579885026,1.4421561367085987,-0.2282519734011259,24,0.5476895893568525,0.051122606313181274,0.07549382525839762,0.46058503275260404,4.922712222406693,0.6387096774193548,-0.09048941983850523,0.15306202327787832,457905.7276690076,357905.7276690076,0.1285337042440231,0.12784902034147283,0.000684683902550276,0.0028377907595189544,0.0035224746620692304,7406.321539162712,31275.796506343104,38682.11804550581,473051.38595743064,15145.65828842303,0.27993577723899016,0.9996774193548387,0.9499999999999998,0,0.005222957065406395,0.9997800462171316,78.30391250325897,0.9917652058342418,0.9984972239243509,True
optimised_risk_parity,Risk-Parity Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2007-10-31,2013-09-30,2026-07-31,155,12.916666666666666,2.3790104072844698,0.09885033321489844,0.10220175644853954,0.1237438781160135,0.6783713689641369,0.7861420488745274,1.1270987286383358,-0.20458078945924862,32,0.4831848262790524,0.05002947154624254,0.07280476273499359,-0.034982386140643675,4.285496768799488,0.6645161290322581,-0.09344233665395041,0.13933855602875522,337901.04072844697,237901.04072844697,0.10219305005871737,0.1016221342775867,0.0005709157811306653,0.0027718010626882617,0.003342716843818927,8183.719487959972,40153.6134542509,48337.33294221087,349077.4322626335,11176.39153418655,0.2469087724529762,0.9600000000000001,0.85,0,0.0064525110843649805,0.999960066573255,62.37328950207527,0.9979567765420303,0.9996848660096567,True
optimised_score_weighted,Score-Weighted Optimiser,common_investable_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2007-07-31,2013-09-30,2026-07-31,155,12.916666666666666,3.159835953320929,0.11667933772956074,0.11999109567528604,0.13674814607458097,0.7439696351354774,0.8092234834781318,1.349060101150151,-0.19989995689273343,21,0.5836886587833083,0.050817710284636886,0.07262087497567014,0.4334872723965598,4.717624468041084,0.6258064516129033,-0.08430907881376959,0.15407528157194994,415983.5953320929,315983.5953320929,0.1201585653325159,0.11949611166268159,0.0006624536698343064,0.002816773933120853,0.0034792276029551594,7751.168522378125,33174.970941547945,40926.13946392607,429742.64006071293,13759.044728620036,0.27677385782288866,0.9748387096774191,0.8999999999999999,0,0.005500714829660896,0.9998625635497131,73.16528511269611,0.9943065909412373,0.9990149608098472,True
