strategy,strategy_label,window,initial_capital_usd,capital_source,evidence_type,full_investment_start,start_date,end_date,observations,years,cumulative_return,cagr,annualised_arithmetic_return,annualised_volatility,sharpe,lo_adjusted_sharpe,sortino,maximum_drawdown,maximum_drawdown_duration_months,calmar,monthly_var_5_loss,monthly_expected_shortfall_5,skewness,pearson_kurtosis,positive_month_ratio,worst_month,best_month,ending_value_usd,pnl_usd,gross_cagr,pre_bank_fee_cagr,annualised_transaction_cost_drag,annualised_bank_fee_drag,annualised_cost_drag,total_transaction_cost_usd,total_bank_fee_usd,total_modeled_cost_usd,ending_value_before_bank_fee_usd,ending_value_bank_fee_drag_usd,annualised_turnover,average_live_weight,minimum_live_weight,liquidity_breach_count,maximum_adv_participation
current_portfolio,Current Portfolio,requested_1997_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2000-09-30,1997-02-28,2026-07-31,354,29.5,47.4417764115279,0.140580923840399,0.14613005194643175,0.16664430864922702,0.7465129993196734,0.7040246666559912,1.2233362651878321,-0.42574156738327396,39,0.33020248575784705,0.06950190973410503,0.09711575181267404,-0.32435700375863685,3.5851656449141918,0.632768361581921,-0.1696465823738128,0.14991949184526177,9013102205.736168,8827041683.736168,0.14417488122509314,0.14339101218418104,0.0007838690409120996,0.0028100883437820467,0.0035939573846941464,33220075.07814058,155185032.41779184,188405107.49593243,9691702389.362709,678600183.6265411,0.17517190547464656,0.9340992452883766,0.3017777057803155,1645,0.05000000000000701
portfolio_aware_overlay,Portfolio-Aware Overlay,requested_1997_window,186060522.0,current_portfolio_nav,retrospective_holdings_replay,2001-10-31,1997-02-28,2026-07-31,354,29.5,43.03082007064883,0.1368955553213851,0.14096739167039984,0.15465319260093985,0.7712387885118303,0.6779312560927456,1.248160462176867,-0.4739079988372913,33,0.28886525582444533,0.06578061512085637,0.09170084942152333,-0.42321870320840493,4.2289651770261285,0.655367231638418,-0.19031081023627527,0.1530188324314914,8192397366.432998,8006336844.432998,0.1406219522560177,0.13969656389633922,0.0009253883596784807,0.0028010085749541336,0.0037263969346326142,41187351.3836669,141417817.96677876,182605169.35044566,8809206344.108278,616808977.6752806,0.195378313090902,0.9062205229121533,0.2520237658465795,1948,0.05000000000000546
clean_sheet,Clean-Sheet Quant,requested_1997_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2006-10-31,1997-02-28,2026-07-31,354,29.5,10.086227273687726,0.08496667576567729,0.08764433858620305,0.10813844775696514,0.6114076413067481,0.5138680888633358,1.0066141705972342,-0.360341004145043,39,0.23579519063413845,0.044424665466506974,0.06374437217639621,-0.1443427860238356,4.774126001870478,0.635593220338983,-0.12718325651394502,0.11622370287449302,1108622.7273687725,1008622.7273687726,0.08811515730222252,0.08763974537891928,0.00047541192330324833,0.002673069613241985,0.0031484815365452334,4803.857245692186,28957.415639788196,33761.27288548038,1192091.389899441,83468.66253066855,0.25886439905674785,0.5761561503641803,0.29819265997498523,9,0.050000000000017135
llm_benchmark,LLM Analyst Benchmark,requested_1997_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2007-09-30,1997-02-28,2026-07-31,354,29.5,3.882828401778008,0.05522432822324341,0.0552725322810971,0.0530504263245068,0.6341933115665779,0.6267709179504242,1.0999657341740703,-0.13286052275561466,43,0.4156564122875216,0.02149238171296127,0.030871334329423777,-0.08242209195610505,4.543519551060132,0.7062146892655368,-0.05445311144007514,0.05348245553057418,488282.8401778008,388282.8401778008,0.05804751748918968,0.05782412059468767,0.00022339689450201483,0.002599792371444254,0.0028231892659462687,1619.9439620028077,16937.0376891468,18556.981651149606,525045.8566667803,36763.01648897951,0.1432280754845014,0.2031073446327684,0.0,0,0.008348236944477509
optimised_cvar_constrained,CVaR-Constrained Optimiser,requested_1997_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2013-09-30,1997-02-28,2026-07-31,354,29.5,10.68765066649174,0.08691139821300431,0.09029038153013358,0.1155713159107137,0.5942075414122018,0.5497035586479969,0.9529754407884805,-0.37090696284667646,36,0.23432129056291479,0.04972815648563488,0.07224958375494375,-0.24559753867256656,4.5295211629287815,0.655367231638418,-0.13439028191158642,0.12477541727778285,1168765.0666491739,1068765.0666491739,0.09019699244814272,0.08958925910564308,0.000607733342499639,0.0026778608926387726,0.0032855942351384115,6568.705533242902,28591.114560375056,35159.82009361796,1256761.8707173273,87996.80406815349,0.2835585234839163,0.7373445602009367,0.2733637538082881,4,0.05
optimised_dividend_income,Dividend-Income Optimiser,requested_1997_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2006-10-31,1997-02-28,2026-07-31,354,29.5,18.51982229816786,0.10597406876224968,0.11285909771083028,0.15349278691901683,0.5941296563287186,0.5195814954074985,0.9654159068185075,-0.4588286826750396,35,0.23096653013147536,0.06475734650475976,0.09497755380098405,-0.04022347103689628,5.6354994294354395,0.6242937853107344,-0.17981603368047194,0.18561373377988732,1951982.229816786,1851982.229816786,0.10940558044520521,0.10869889501016683,0.0007066854350383789,0.002724826247917145,0.0034315116829555237,11927.938315819916,44803.71044866822,56731.64876448814,2098947.777233565,146965.5474167792,0.3201716071787667,0.8081920903954801,0.24999999999999972,0,0.02951487126826032
optimised_mean_variance,Mean-Variance Optimiser,requested_1997_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2010-02-28,1997-02-28,2026-07-31,354,29.5,11.788451715487923,0.09023282354628614,0.0937391314207495,0.11883850713096912,0.6060702478449351,0.5816971093647939,0.9766902830821642,-0.378814884219983,35,0.23819767201619962,0.05471966884673337,0.07341016423333763,-0.21585594619988227,4.259287923475032,0.6412429378531074,-0.12395896413930163,0.124625839986086,1278845.1715487924,1178845.1715487924,0.09353978765603421,0.09291886754844292,0.000620920107591294,0.0026860440021567733,0.0033069641097480673,7113.671141893403,30426.883250504445,37540.55439239785,1375129.9521308448,96284.78058205242,0.29114635044214354,0.7592179593274462,0.3233637538082881,3,0.050000000000000024
optimised_regime_aware,Regime-Aware Optimiser,requested_1997_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2006-10-31,1997-02-28,2026-07-31,354,29.5,16.132288628329174,0.10109363016911477,0.10608146357582476,0.13797916754865247,0.6123135594384368,0.5800766440099996,1.0367716269260112,-0.39498620096405457,39,0.2559421820873047,0.0564800297362166,0.07938156055575524,0.20018816330405084,4.788775049831828,0.635593220338983,-0.1180281256070711,0.17507014004030763,1713228.8628329174,1613228.8628329174,0.10447938065205453,0.10380643231307185,0.0006729483389826818,0.0027128021439570826,0.0033857504829397644,9820.21783913583,39656.42266941019,49476.64050854602,1842218.5707464535,128989.70791353611,0.2964822386611248,0.7932528941970046,0.2733637538082882,13,0.05000000000004766
optimised_risk_parity,Risk-Parity Optimiser,requested_1997_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2010-08-31,1997-02-28,2026-07-31,354,29.5,17.591748167186328,0.10414930733241268,0.1059913757932966,0.11422547499311893,0.7382100561353743,0.7065145058467837,1.2151940937734358,-0.2910122164773168,33,0.35788637533204964,0.05246448307804027,0.06900189304620018,-0.3205334520951082,4.176572020139866,0.6497175141242938,-0.12916038562543875,0.11595682194615398,1859174.8167186328,1759174.8167186328,0.10745706472593208,0.10686963785300607,0.0005874268729260113,0.0027203305205933948,0.003307757393519406,9371.998848249383,44645.927388661104,54017.92623691048,1999152.8557134797,139978.03899484687,0.27123536382643515,0.7874942834646252,0.40430678482490084,4,0.050000000000000086
optimised_score_weighted,Score-Weighted Optimiser,requested_1997_window,100000.0,fixed_research_capital,retrospective_holdings_replay,2006-10-31,1997-02-28,2026-07-31,354,29.5,14.806047038281577,0.09809035496176577,0.10235758077257306,0.13049504326789987,0.6182924249933902,0.591042480549208,1.0364727529113065,-0.3364369120590964,37,0.29155645960909254,0.056126680497164315,0.0758467112229987,0.10869828464809413,4.563747655127536,0.6440677966101694,-0.11336025916003634,0.15488318386715716,1580604.7038281576,1480604.7038281576,0.1014165224147694,0.10079575783358274,0.0006207645811866502,0.0027054028718169754,0.0033261674530036256,8513.880363485776,36781.23691589965,45295.11727938543,1699609.0840931586,119004.38026500097,0.2892363983875583,0.7934922194943522,0.35,9,0.05000000000000322
