strategy,strategy_label,ticker,yfinance_ticker,security_id,company_name,region,country,currency,sector,target_weight,cash_weight,initial_capital_usd,capital_source,evidence_type,source_files
current_portfolio,Current Portfolio,OR.PA,OR.PA,OR.PA,L'Oreal SA,EU ex-DACH,France,EUR,Consumer Staples,0.208592003973181,2.220446049250313e-16,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv
current_portfolio,Current Portfolio,ASML.AS,ASML.AS,ASML.AS,ASML Holding,EU ex-DACH,Netherlands,EUR,Technology,0.1743233176061584,2.220446049250313e-16,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv
current_portfolio,Current Portfolio,ULVR.L,ULVR.L,ULVR.L,Unilever PLC,UK,United Kingdom,GBP,Consumer Staples,0.1420412217531661,2.220446049250313e-16,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv
current_portfolio,Current Portfolio,SIE.DE,SIE.DE,SIE.DE,Siemens AG,DACH,Germany,EUR,Industrials,0.1378197169108517,2.220446049250313e-16,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv
current_portfolio,Current Portfolio,NESN.SW,NESN.SW,NESN.SW,Nestle SA,DACH,Switzerland,CHF,Consumer Staples,0.1303700024832381,2.220446049250313e-16,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv
current_portfolio,Current Portfolio,NOVN.SW,NOVN.SW,NOVN.SW,Novartis AG,DACH,Switzerland,CHF,Healthcare,0.10951080208592,2.220446049250313e-16,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv
current_portfolio,Current Portfolio,000651.SZ,000651.SZ,000651.SZ,Gree Electric Appliances,Mainland China,China,CNY,Consumer Discretionary,0.0576111249068785,2.220446049250313e-16,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv
current_portfolio,Current Portfolio,0002.HK,0002.HK,0002.HK,CLP Holdings,Hong Kong,Hong Kong,HKD,Utilities,0.0397318102806059,2.220446049250313e-16,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv
portfolio_aware_overlay,Portfolio-Aware Overlay,OR.PA,OR.PA,OR.PA,L'Oreal SA,EU ex-DACH,France,EUR,Consumer Staples,0.16687360317854483,0.0,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv;reports/outputs/proposed_portfolio.csv
portfolio_aware_overlay,Portfolio-Aware Overlay,ASML.AS,ASML.AS,ASML.AS,ASML Holding,EU ex-DACH,Netherlands,EUR,Technology,0.13945865408492672,0.0,186060522.0,current_portfolio_nav,retrospective_holdings_replay,reports/outputs/current_portfolio_enriched.csv;reports/outputs/proposed_portfolio.csv
