document_id,security_id,sentiment_score,positive_score,negative_score,neutral_score,uncertainty_score,management_confidence_score,dividend_language_score,cashflow_language_score,regulatory_risk_score,litigation_risk_score,governance_risk_score,credit_stress_score,model_name,model_version
DOC-001-1,WOLF001,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-001-2,WOLF001,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-001-3,WOLF001,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-002-1,WOLF002,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-002-2,WOLF002,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-002-3,WOLF002,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-003-1,WOLF003,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-003-2,WOLF003,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-003-3,WOLF003,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-004-1,WOLF004,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-004-2,WOLF004,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-004-3,WOLF004,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-005-1,WOLF005,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-005-2,WOLF005,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-005-3,WOLF005,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-006-1,WOLF006,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-006-2,WOLF006,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-006-3,WOLF006,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-007-1,WOLF007,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-007-2,WOLF007,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-007-3,WOLF007,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-008-1,WOLF008,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-008-2,WOLF008,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-008-3,WOLF008,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-009-1,WOLF009,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-009-2,WOLF009,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-009-3,WOLF009,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-010-1,WOLF010,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-010-2,WOLF010,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-010-3,WOLF010,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-011-1,WOLF011,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-011-2,WOLF011,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-011-3,WOLF011,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-012-1,WOLF012,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-012-2,WOLF012,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-012-3,WOLF012,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-013-1,WOLF013,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-013-2,WOLF013,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-013-3,WOLF013,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-014-1,WOLF014,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-014-2,WOLF014,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-014-3,WOLF014,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-015-1,WOLF015,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-015-2,WOLF015,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-015-3,WOLF015,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-016-1,WOLF016,5.0,0.0,100.0,50.0,0.0,30.0,50.0,35.0,0.0,100.0,0.0,100.0,rule_based_financial_sentiment,v0.1
DOC-016-2,WOLF016,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-016-3,WOLF016,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-017-1,WOLF017,85.0,100.0,0.0,50.0,0.0,90.0,50.0,63.33333333333333,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-017-2,WOLF017,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-017-3,WOLF017,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-018-1,WOLF018,50.0,0.0,0.0,100.0,0.0,50.0,63.33333333333333,50.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-018-2,WOLF018,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-018-3,WOLF018,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-019-1,WOLF019,85.0,100.0,0.0,50.0,0.0,50.0,76.66666666666666,76.66666666666666,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-019-2,WOLF019,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-019-3,WOLF019,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
DOC-020-1,WOLF020,0.0,0.0,100.0,50.0,66.66666666666666,30.0,50.0,35.0,0.0,0.0,0.0,0.0,rule_based_financial_sentiment,v0.1
DOC-020-2,WOLF020,1.666666666666667,0.0,100.0,50.0,33.33333333333333,30.0,50.0,35.0,100.0,0.0,100.0,0.0,rule_based_financial_sentiment,v0.1
