frame_name,matched,equal,row_count_left,row_count_right,missing_keys_left,missing_keys_right,differing_numeric_cells,maximum_absolute_difference,maximum_relative_difference
drl_target_weights,False,False,24,0,0,24,0,0.0,0.0
feature_snapshots,False,False,24,23860,24,0,0,0.0,0.0
final_recommendations,False,False,24,0,0,24,0,0.0,0.0
ml_forecasts,False,False,24,276,252,0,0,0.0,0.0
optimiser_weights,False,False,7,0,0,7,0,0.0,0.0
point_in_time_fundamentals,False,False,24,0,0,24,0,0.0,0.0
price_inputs,True,True,0,0,0,0,0,0.0,0.0
regime_outputs,True,True,1,276,0,0,0,0.0,0.0
risk_report,False,False,1,276,275,0,0,0.0,0.0
stock_scorecard,True,True,24,276,0,0,0,0.0,0.0
