risky_security_id,risky_ticker,risky_company_name,risk_reason,suggested_security_id,suggested_ticker,suggested_company_name,substitution_type,expected_risk_reduction,dividend_yield_change,expected_return_change,regime_suitability_change,liquidity_change,substitution_commentary
WOLF006,WLF006,Wolf United States Technology 6,No suitable equity substitute found; consider cash allocation.,CASH,CASH,Cash allocation,cash_allocation,1.0,-0.037298186098711425,-0.35,0.0,0.0,Cash allocation is a risk-control fallback in mock mode.
WOLF022,WLF022,Wolf United States Financials 22,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF003,WLF003,Wolf France Utilities 3,same_region_defensive_name,0.23756886838765828,-0.026996411629508978,0.0,31.869937677849258,70.83333333333333,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF012,WLF012,Wolf Netherlands Technology 12,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF011,WLF011,Wolf France Industrials 11,same_region_defensive_name,0.3687792491400879,0.015085500676687971,-0.03468915058283456,-8.11527412291096,-54.16666666666667,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF015,WLF015,Wolf China Utilities 15,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF021,WLF021,Wolf United Kingdom Utilities 21,same_sector_safer_name,0.3437136160730364,0.018546769780373815,0.0,2.882411840508368,20.833333333333343,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF005,WLF005,Wolf United Kingdom Industrials 5,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF021,WLF021,Wolf United Kingdom Utilities 21,same_region_defensive_name,0.3862364042190891,-0.0167991728759717,0.21466848855024434,13.86869039671894,37.500000000000014,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF014,WLF014,Wolf United States Consumer Staples 14,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF021,WLF021,Wolf United Kingdom Utilities 21,same_region_defensive_name,0.6458867019036044,0.0053387600624393294,0.19784201364573203,19.102399991340924,79.16666666666667,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF009,WLF009,Wolf Germany Utilities 9,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF021,WLF021,Wolf United Kingdom Utilities 21,same_sector_safer_name,0.24886615896233893,-0.01229268626377892,0.15573756333160213,16.67239254181446,75.00000000000001,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF002,WLF002,Wolf Switzerland Consumer Staples 2,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF021,WLF021,Wolf United Kingdom Utilities 21,same_region_defensive_name,0.646380641109524,0.001593809269280988,0.3327392171662832,9.924742802279226,16.666666666666686,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF023,WLF023,Wolf China Industrials 23,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF003,WLF003,Wolf France Utilities 3,same_region_defensive_name,0.5241205758942431,-0.01727853751156303,0.41527275522770024,43.556723279090654,25.0,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF004,WLF004,Wolf Netherlands Financials 4,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF003,WLF003,Wolf France Utilities 3,same_region_defensive_name,0.6567656521965786,0.010340414515764576,0.4210340615076769,30.537576373365766,29.166666666666657,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF020,WLF020,Wolf Netherlands Consumer Staples 20,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF003,WLF003,Wolf France Utilities 3,same_region_defensive_name,0.6262488296050389,-0.002922705287962804,0.30685180058516437,32.73942319496161,41.666666666666664,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF001,WLF001,Wolf Germany Healthcare 1,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF003,WLF003,Wolf France Utilities 3,same_region_defensive_name,0.21807554267205742,-0.03667942815956158,0.3688706871072086,55.395926559842245,58.33333333333333,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF016,WLF016,Wolf Hong Kong Financials 16,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF003,WLF003,Wolf France Utilities 3,same_region_defensive_name,0.7247560705657646,0.012519777733260556,0.6,43.25647302337703,4.166666666666657,"Suggested replacement has better downside, dividend or regime characteristics."
WOLF010,WLF010,Wolf Switzerland Financials 10,"Elevated CVaR, drawdown, dividend or tail risk.",WOLF003,WLF003,Wolf France Utilities 3,same_region_defensive_name,0.7674590499769873,-0.015394270969776476,0.6,42.33313169642847,45.833333333333336,"Suggested replacement has better downside, dividend or regime characteristics."
