ticker,nu_minus_25pct_tail_risk_delta,nu_plus_25pct_tail_risk_delta,xi_downside_skew_delta,sigma_plus_25pct_var_delta,sensitivity_commentary
WLF001,1.0699186975357486,0.0,0.0934384542948391,0.060592880902819946,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF002,1.3849454561110246,-0.46021817555589983,0.07253720003518549,0.1312162170585189,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF003,0.7149733056570087,0.0,0.10404832956388887,0.08972696314821936,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF004,1.4071050038112762,-0.37157998475489684,0.07432710080300686,0.13386332425391162,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF005,1.4319729419773175,0.0,0.08417686255365453,0.1045919409098722,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF006,1.4600224986761,0.0,0.08350006548370725,0.14673323728028165,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF007,0.15718569746521904,0.0,0.11958747127355795,0.05645043894151035,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF008,0.6024932945874513,0.0,0.10700021207632793,0.05520407847797248,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF009,1.2772101070064146,0.0,0.08846397397084982,0.08972529752075441,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF010,1.458733412184559,-0.16506635126176583,0.07849140332979765,0.12093653854268736,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF011,0.2085226800256743,0.0,0.11829673417368647,0.06665657318139215,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF012,1.4466298041357382,-0.21348078345704646,0.07795401451904449,0.14290574929699992,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF013,1.2740210688254505,0.0,0.08817123528083148,0.09392853698062792,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF014,1.0988674018559221,-1.0988674018559221,0.048807147662393136,0.15562602882857726,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF015,1.2690397388490955,-0.923841044603618,0.06303577225595336,0.13673422053408602,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF016,1.4384438611333952,0.0,0.08338057971234636,0.1128202994783934,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF017,0.4234808513163175,0.0,0.11220254522901563,0.058360581275723876,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF018,1.3666069211333198,0.0,0.08567333109602815,0.10462513118250144,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF019,0.8440580432874043,0.0,0.10014945681388598,0.05771621778049761,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF020,1.271203952778552,-0.9151841888857932,0.06310970766191781,0.14944782373784513,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF021,0.30427095485430833,0.0,0.11552339486396379,0.07237744647631496,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF022,1.2155021807215038,-1.1379912771139846,0.05802774861955562,0.13347584528936998,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF023,1.465324467087381,-0.13870213165047396,0.0790861512772798,0.10984861479349681,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
WLF024,0.8144167744580493,0.0,0.10116833780294665,0.06554072485537707,"Mock sensitivity checks tail thickness, skewness and volatility shocks."
