security_id,ticker,issuer_id,company_name,country,region,sector,currency,industry,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,liquidity_observation_count,market_cap_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,price_data_quality_score,price_data_exclusion_flag,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,instrument_type,listing_status,risk_management_flags,target_weight,portfolio_method,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,eligible_security_count,candidate_security_count,baseline_weight,selected_weight,selected_weights_source
000333.SHE,000333.SHE,NAME:mideagroupcoltd,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,CNY,"Furnishings, Fixtures & Appliances",0.0,0.0,Hold,70.64707669691002,70.64707669691002,91.5083824342606,72.33369707736512,52.77083333333333,84.07541813822725,0.35,0.0504,0.1898108212580659,-0.1391721448037784,0.35,0.7690006288669202,0.0073292569603072,-0.0591045304800158,-0.0591045304800158,0.295166429618148,0.2682521114999183,8.443504354287978,46.84574369096777,32.19629883359243,88.87303851640513,457035391.3178432,60,94144678368.21568,0.0504,0.0662600779733602,94.78087851272028,64.82944938448617,68.29395415216203,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.05,cvar_constrained,True,False,True,optimal,142,140,0.05000000000000002,0.05000000000000002,baseline_optimiser
ALV.XETRA,ALV.XETRA,NAME:allianzsevnaon,Allianz SE VNA O.N.,Germany,DACH,Financials,EUR,Insurance - Diversified,0.0,0.0,Hold,68.89547209285382,68.89547209285382,79.32501172541834,80.75277000549312,57.4375,90.2262276750101,0.35,0.0392,0.1877687089703354,-0.1276759357356796,0.35,0.7620662381835979,0.0115460131165656,-0.0541730350230518,-0.0541730350230518,0.2469432753940237,0.2707506905256276,7.739005003293116,44.53740988955831,31.54290212926196,80.59914407988587,292144519.087274,60,188344719773.0716,0.0392,0.1871640693346821,42.50713266761769,86.73431595222107,71.62295404055709,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.05,cvar_constrained,True,False,True,optimal,142,140,0.05000000000000002,0.05000000000000002,baseline_optimiser
601398.SHG,601398.SHG,NAME:industrialandcommercialbankofchinaltd,Industrial and Commercial Bank of China Ltd,China,Mainland China,Financials,CNY,Banks - Diversified,0.0,0.0,Buy,67.32871719832275,67.32871719832275,90.34328659579224,87.73616886859945,66.45416666666668,81.00001336983581,0.35,0.0409999999999999,0.1836207784780088,-0.116615138582248,0.35,0.7525863610369018,0.019031270418472,-0.045236002048831,-0.045236002048831,0.2419432753940237,0.2726533406809596,6.462286006975858,44.48771567671201,30.814699625087137,87.94579172610555,438453247.5124157,60,396674250329.9042,0.0409999999999999,0.6901903603142046,42.50713266761769,93.9106472282124,77.50378796367727,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
601816.SHG,601816.SHG,NAME:beijingshanghaihighspeedrailwaycoltd,Beijing-Shanghai High Speed Railway Co Ltd,China,Mainland China,Industrials,CNY,Railroads,0.0,0.0,Hold,66.264185563239,66.264185563239,81.83395793621301,65.61455853528193,46.9375,85.54950311424149,0.35,0.0264,0.1512950817700581,-0.0379820560113446,0.35,0.6821093555399864,0.0768193229863812,0.0238660443668608,0.0238660443668608,0.2932908740625924,0.2709754157542854,0.0,47.05897965194176,25.528488571731405,68.83024251069901,144225099.18410784,60,36446941279.41351,0.0264,0.0829323543707104,70.0176424469945,82.392623618073,56.43287358154729,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.05,cvar_constrained,True,False,True,optimal,142,140,0.05000000000000002,0.05000000000000002,baseline_optimiser
600036.SHG,600036.SHG,NAME:chinamerchantsbankcoltd,China Merchants Bank Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Hold,65.9170585470536,65.9170585470536,95.95954907796056,86.59090374292659,52.60416666666667,83.2973760420765,0.35,0.1031,0.1665442861478496,-0.0778732753256787,0.35,0.7163413647339931,0.0493003064636378,-0.0089901936881095,-0.0089901936881095,0.2904988309495793,0.2716176764648145,1.28431338401565,46.9827458739944,28.156285489623304,90.87018544935806,542763029.738678,60,144633145484.21426,0.1031,0.432604004035129,42.50713266761769,95.48775947889516,73.29416557485854,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.05,cvar_constrained,True,False,True,optimal,142,140,0.05000000000000002,0.05000000000000002,baseline_optimiser
NOVN.SW,NOVN.SW,NAME:novartisag,Novartis AG,Switzerland,DACH,Healthcare,CHF,Drug Manufacturers - General,0.10951080208592,8820.0,Hold,65.16045127685616,65.16045127685616,75.65542595504594,63.81642061643673,74.32916666666668,84.07541813822725,0.35,0.0297,0.1931373290312791,-0.1436395601427011,0.35,0.7748527166852137,0.001690219972085,-0.0659078451888626,-0.0659078451888626,0.2571975407292591,0.2724775240250243,9.415406455551803,45.288812657539815,32.562143105845855,86.87589158345222,415891681.521646,60,293874366051.8231,0.0297,0.0518725066252012,77.35803892340972,75.09767770175114,55.87043347105013,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.05,cvar_constrained,True,False,True,optimal,142,140,0.05000000000000002,0.05000000000000002,baseline_optimiser
AD.AS,AD.AS,NAME:koninklijkeaholddelhaizenv,Koninklijke Ahold Delhaize NV,Netherlands,EU ex-DACH,Consumer Staples,EUR,Grocery Stores,0.0,0.0,Hold,65.09805454662451,65.09805454662451,68.24960448853264,73.62097779445419,72.52083333333334,86.71868425443364,0.35,0.0424,0.2074894153793908,-0.1855556393621061,0.35,0.8083185623193712,-0.0247036913110134,-0.0973249866938002,-0.0973249866938002,0.2425894760262542,0.2953314326312387,13.903569527685743,47.13921401271047,35.23456299069557,61.62624821683309,94561549.74311069,60,33767453676.763763,0.0424,0.1492844038841335,48.819984828888686,72.85359105765579,70.2906274053898,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.05,cvar_constrained,True,False,True,optimal,142,140,0.05000000000000002,0.05000000000000002,baseline_optimiser
0939.HK,0939.HK,NAME:chinaconstructionbankcorp,China Construction Bank Corp,Hong Kong,Hong Kong,Financials,HKD,Banks - Diversified,0.0,0.0,Hold,65.06928644302178,65.06928644302178,92.54887737089908,85.11813312776988,57.10416666666667,90.2262276750101,0.35,0.0495,0.2100714937580514,-0.1937796380471858,0.35,0.8151588502702147,-0.0293768241532246,-0.1029018469685426,-0.1029018469685426,0.2824988309495793,0.2779107848666696,14.700263852648945,47.27810453574691,35.76861806072891,80.527817403709,291154105.222654,60,292648429897.1778,0.0495,1.049362946975455,42.50713266761769,90.3272563507708,75.16939605692558,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
PG.US,PG.US,NAME:proctergamblecompany,Procter & Gamble Company,United States,US,Consumer Staples,USD,Household & Personal Products,0.0,0.0,Hold,64.60684292834337,64.60684292834337,77.2356715653646,64.25208451734511,66.45416666666668,85.54950311424149,0.35,0.0297,0.1963597563700154,-0.1477415955424349,0.35,0.7805401403780918,-0.0037349335810503,-0.0724608483105557,-0.0724608483105557,0.2269575407292591,0.2724777232989194,10.351549758650822,43.66052795837388,32.90919639735891,97.9315263908702,1304269098.3,60,341621932032.0,0.0297,0.0443384881933785,83.07373898557907,67.94358561974859,54.557616656445575,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.05,cvar_constrained,True,False,True,optimal,142,140,0.05000000000000002,0.05000000000000002,baseline_optimiser
600919.SHG,600919.SHG,NAME:bankofjiangsucoltd,Bank of Jiangsu Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Hold,64.24676147910728,64.24676147910728,91.76696705228298,84.23081192760881,56.77083333333333,86.28947834408092,0.35,0.048,0.1879099532510827,-0.1308728507041341,0.35,0.7632159609205673,0.0109900827773223,-0.0547784008605566,-0.0547784008605566,0.2513877198384682,0.2796130472479695,7.825485837222375,45.79930575068324,31.696997969329427,71.82596291012838,173359007.74210712,60,31518623133.498875,0.048,2.6251294007966086,42.50713266761769,85.31767220353618,79.16567826066344,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,Equity,Active,narrative_review;,0.0,cvar_constrained,True,False,True,optimal,142,140,0.0,0.0,baseline_optimiser
