ticker,feature_group,attribution_score,rank,attribution_description
WLF021,liquidity,5.782469410705223e-11,1,liquidity had high attribution in the model allocation for WLF021.
WLF021,fundamentals,7.77936559097283e-16,2,fundamentals had high attribution in the model allocation for WLF021.
WLF021,narrative,6.204019121863904e-16,3,narrative had high attribution in the model allocation for WLF021.
WLF021,dividend quality,5.533580835017492e-16,4,dividend quality had high attribution in the model allocation for WLF021.
WLF021,regime,4.480075359504975e-16,5,regime had high attribution in the model allocation for WLF021.
WLF021,portfolio state,1.3981871216373067e-16,6,portfolio state had high attribution in the model allocation for WLF021.
WLF021,temporal returns,1.4429245624253828e-17,7,temporal returns had high attribution in the model allocation for WLF021.
WLF021,distributional forecast,1.0663862167959756e-17,8,distributional forecast had high attribution in the model allocation for WLF021.
WLF021,volatility,8.941813891865832e-18,9,volatility had high attribution in the model allocation for WLF021.
WLF021,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF021.
WLF021,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF021.
WLF021,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF021.
WLF003,liquidity,6.938963292846267e-11,1,liquidity had high attribution in the model allocation for WLF003.
WLF003,fundamentals,9.209717499936447e-16,2,fundamentals had high attribution in the model allocation for WLF003.
WLF003,regime,5.966101924952266e-16,3,regime had high attribution in the model allocation for WLF003.
WLF003,dividend quality,4.739663998931771e-16,4,dividend quality had high attribution in the model allocation for WLF003.
WLF003,narrative,4.4166340747728104e-16,5,narrative had high attribution in the model allocation for WLF003.
WLF003,portfolio state,1.3981871216373067e-16,6,portfolio state had high attribution in the model allocation for WLF003.
WLF003,distributional forecast,1.2193968378540372e-17,7,distributional forecast had high attribution in the model allocation for WLF003.
WLF003,temporal returns,1.1752892596553575e-17,8,temporal returns had high attribution in the model allocation for WLF003.
WLF003,volatility,9.755911188364513e-18,9,volatility had high attribution in the model allocation for WLF003.
WLF003,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF003.
WLF003,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF003.
WLF003,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF003.
WLF024,liquidity,1.734740823211567e-11,1,liquidity had high attribution in the model allocation for WLF024.
WLF024,fundamentals,1.1227394799236358e-15,2,fundamentals had high attribution in the model allocation for WLF024.
WLF024,narrative,4.2697272865938317e-16,3,narrative had high attribution in the model allocation for WLF024.
WLF024,regime,3.967171678593643e-16,4,regime had high attribution in the model allocation for WLF024.
WLF024,dividend quality,3.778985566958006e-16,5,dividend quality had high attribution in the model allocation for WLF024.
WLF024,portfolio state,1.3981871216373067e-16,6,portfolio state had high attribution in the model allocation for WLF024.
WLF024,temporal returns,1.5873074236361157e-17,7,temporal returns had high attribution in the model allocation for WLF024.
WLF024,distributional forecast,1.0207317612646647e-17,8,distributional forecast had high attribution in the model allocation for WLF024.
WLF024,volatility,8.815130891828925e-18,9,volatility had high attribution in the model allocation for WLF024.
WLF024,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF024.
WLF024,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF024.
WLF024,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF024.
WLF006,liquidity,6.360716351775744e-11,1,liquidity had high attribution in the model allocation for WLF006.
WLF006,fundamentals,9.809465237479353e-16,2,fundamentals had high attribution in the model allocation for WLF006.
WLF006,regime,5.912608157923442e-16,3,regime had high attribution in the model allocation for WLF006.
WLF006,narrative,5.663216583831295e-16,4,narrative had high attribution in the model allocation for WLF006.
WLF006,dividend quality,4.793992855123582e-16,5,dividend quality had high attribution in the model allocation for WLF006.
WLF006,portfolio state,1.3981871216373067e-16,6,portfolio state had high attribution in the model allocation for WLF006.
WLF006,distributional forecast,1.7266768456818218e-17,7,distributional forecast had high attribution in the model allocation for WLF006.
WLF006,volatility,1.235098034484864e-17,8,volatility had high attribution in the model allocation for WLF006.
WLF006,temporal returns,7.415253317074204e-18,9,temporal returns had high attribution in the model allocation for WLF006.
WLF006,sentiment,0.0,10,sentiment had high attribution in the model allocation for WLF006.
WLF006,risk contribution,0.0,11,risk contribution had high attribution in the model allocation for WLF006.
WLF006,stress tests,0.0,12,stress tests had high attribution in the model allocation for WLF006.
WLF022,liquidity,1332.9264636086416,1,liquidity had high attribution in the model allocation for WLF022.
WLF022,fundamentals,0.06536874437766604,2,fundamentals had high attribution in the model allocation for WLF022.
WLF022,narrative,0.03385637182322117,3,narrative had high attribution in the model allocation for WLF022.
WLF022,dividend quality,0.026882226002844144,4,dividend quality had high attribution in the model allocation for WLF022.
WLF022,regime,0.024728502626691514,5,regime had high attribution in the model allocation for WLF022.
WLF022,portfolio state,0.009208525597617439,6,portfolio state had high attribution in the model allocation for WLF022.
WLF022,distributional forecast,0.0010935579459399344,7,distributional forecast had high attribution in the model allocation for WLF022.
