row_type,seed,total_net_return,sharpe,information_ratio,cvar,expected_shortfall,maximum_drawdown,turnover,dividend_yield,transaction_costs,constraint_violations,policy_weight_stability,oos_observations,active_return_ci_lower_95
seed,11.0,0.14257270649512277,1.354770120709572,-1.7593446141337292,-0.04854486770632908,-0.04854486770632908,-0.056702436298674996,0.125702700112015,0.0,0.0002388351302128285,0.0,0.8883340156335179,12.0,-0.0005541066516518607
seed,23.0,0.14457281760544838,1.380491628136627,-0.6410949686226365,-0.04743484632826629,-0.04743484632826629,-0.05510389104674418,0.03660697489976883,0.0,6.955325230956078e-05,0.0,0.9646857721526441,12.0,-0.00048769859057849426
seed,37.0,0.14375462478151002,1.3685588705615697,-1.2009738334795268,-0.04830315220581562,-0.04830315220581562,-0.05570009050016078,0.03602342214435339,0.0,6.844450207427144e-05,0.0,0.9652291431116563,12.0,-0.0004664336995032288
seed,53.0,0.14240146029999257,1.3792932989187034,-0.9375698108851814,-0.04698703783918425,-0.04698703783918425,-0.05425649186410808,0.06373574491590261,0.0,0.00012109791534021497,0.0,0.9400831031386075,12.0,-0.0008984997434080594
seed,71.0,0.14329496686606724,1.3570807874807318,-1.5771446688997168,-0.04906347854532064,-0.04906347854532064,-0.05664216584745818,0.11539733177050948,0.0,0.00021925493036396802,0.0,0.8965415027599759,12.0,-0.00046248369297721605
mean,,0.1433193152096282,1.3680389411614409,-1.2232255792041582,-0.048066676524983185,-0.048066676524983185,-0.05568101511142924,0.07549323476850986,0.0,0.00014343714606016874,0.0,0.9309747073592802,12.0,-0.0005738444756237719
median,,0.14329496686606724,1.3685588705615697,-1.2009738334795268,-0.04830315220581562,-0.04830315220581562,-0.05570009050016078,0.06373574491590261,0.0,0.00012109791534021497,0.0,0.9400831031386075,12.0,-0.00048769859057849426
standard_deviation,,0.0007951399536246073,0.01075307431654334,0.4083265231655816,0.0007540598001018141,0.0007540598001018141,0.0009305712780626524,0.03826636447436595,0.0,7.27060925012953e-05,0.0,0.03285312557951816,0.0,0.00016562006934181536
interquartile_range,,0.0011819182863872513,0.02221251143797165,0.6395748580145354,0.0011100213780627852,0.0011100213780627852,0.0015382748007140012,0.07879035687074065,0.0,0.00014970167805440724,0.0,0.06814426939266816,0.0,8.767295214863187e-05
best_seed,23.0,0.14457281760544838,1.380491628136627,-0.6410949686226365,-0.04743484632826629,-0.04743484632826629,-0.05510389104674418,0.03660697489976883,0.0,6.955325230956078e-05,0.0,0.9646857721526441,12.0,-0.00048769859057849426
worst_seed,53.0,0.14240146029999257,1.3792932989187034,-0.9375698108851814,-0.04698703783918425,-0.04698703783918425,-0.05425649186410808,0.06373574491590261,0.0,0.00012109791534021497,0.0,0.9400831031386075,12.0,-0.0008984997434080594
