feature_order,feature_name,feature_group
0,current_weight,portfolio
1,baseline_weight,portfolio
2,cash_weight,portfolio
3,nav,portfolio
4,sector_exposure,portfolio
5,country_exposure,portfolio
6,region_exposure,portfolio
7,currency_exposure,portfolio
8,hhi,portfolio
9,effective_holdings,portfolio
10,turnover_used,portfolio
11,remaining_turnover_budget,portfolio
12,max_name_headroom,portfolio
13,sector_limit_headroom,portfolio
14,country_limit_headroom,portfolio
15,currency_limit_headroom,portfolio
16,daily_return_mean_60d,temporal
17,cumulative_return_60d,temporal
18,volatility_20d,temporal
19,volatility_60d,temporal
20,volatility_ratio_20d_60d,temporal
21,rolling_drawdown,temporal
22,downside_volatility,temporal
23,relative_strength,temporal
24,volume_adv_proxy,temporal
25,liquidity_score,temporal
26,rolling_corr_portfolio,temporal
27,rolling_corr_change,temporal
28,final_recommendation_score,fundamental_scorecard
29,dividend_safety_score,fundamental_scorecard
30,dividend_yield,fundamental_scorecard
31,free_cash_flow_yield,fundamental_scorecard
32,cashflow_quality_score,fundamental_scorecard
33,balance_sheet_strength_score,fundamental_scorecard
34,valuation_score,fundamental_scorecard
35,portfolio_fit_score,fundamental_scorecard
36,expected_dividend_contribution,fundamental_scorecard
37,payout_ratio,fundamental_scorecard
38,fcf_dividend_cover,fundamental_scorecard
39,leverage_metric,fundamental_scorecard
40,interest_coverage,fundamental_scorecard
41,expected_total_return_12m,distributional_forecast
42,expected_dividend_return_12m,distributional_forecast
43,distribution_mu_12m,distributional_forecast
44,distribution_sigma_12m,distributional_forecast
45,distribution_nu_12m,distributional_forecast
46,distribution_xi_12m,distributional_forecast
47,p5_return_12m,distributional_forecast
48,p50_return_12m,distributional_forecast
49,p95_return_12m,distributional_forecast
50,var_5_12m,distributional_forecast
51,cvar_5_12m,distributional_forecast
52,expected_shortfall_5_12m,distributional_forecast
53,dividend_cut_probability,distributional_forecast
54,large_drawdown_probability_12m,distributional_forecast
55,forecast_uncertainty_score,distributional_forecast
56,tail_risk_score,distributional_forecast
57,skewness_risk_score,regime_information
58,crisis_probability,regime_information
59,steady_state_probability,regime_information
60,inflation_probability,regime_information
61,walking_on_ice_probability,regime_information
62,low_chaos_probability,regime_information
63,intermediate_chaos_probability,regime_information
64,high_chaos_probability,regime_information
65,wolf_chaos_index,regime_information
66,regime_deterioration_probability,regime_information
67,regime_suitability_score,regime_information
68,sentiment_score,regime_information
69,narrative_reframing_score,regime_information
70,distress_similarity,regime_information
71,credit_stress_similarity,regime_information
72,governance_risk_similarity,regime_information
73,regulatory_risk_similarity,regime_information
74,negative_news_intensity,regime_information
75,event_severity_score,regime_information
76,contribution_to_volatility,risk_stress_constraint
77,contribution_to_var_5,risk_stress_constraint
78,contribution_to_cvar_5,risk_stress_constraint
79,contribution_to_expected_shortfall_5,risk_stress_constraint
80,contribution_to_drawdown_risk,risk_stress_constraint
81,worst_stress_scenario_loss,risk_stress_constraint
82,crisis_scenario_loss,risk_stress_constraint
83,europe_recession_loss,risk_stress_constraint
84,china_policy_stress_loss,risk_stress_constraint
85,uk_rate_shock_loss,risk_stress_constraint
86,credit_stress_loss,risk_stress_constraint
87,dividend_cut_shock_loss,risk_stress_constraint
88,liquidity_shock_loss,risk_stress_constraint
89,hard_eligibility_mask,risk_stress_constraint
90,review_required_flag,risk_stress_constraint
91,exclusion_flag,risk_stress_constraint
