provider,dataset,status,rows,error
frankfurter,fx_rates,completed,25655,
fred,GDP,completed,255,
fred,real_gdp,completed,255,
fred,CPI,completed,564,
fred,core_cpi,completed,560,
fred,unemployment,completed,203,
fred,policy_rate,completed,120,
fred,effective_policy_rate_daily,completed,3663,
fred,treasury_2y,completed,2507,
fred,treasury_10y,completed,2507,
fred,treasury_30y,completed,2507,
fred,treasury_10y_2y_spread,completed,2508,
fred,treasury_10y_breakeven_inflation,completed,2508,
fred,trade_weighted_usd,completed,2500,
fred,credit_spread,completed,787,
fred,credit_spread_long_history,completed,120,
fred,usd_per_euro,completed,2502,
fred,usd_per_gbp,completed,2502,
fred,cny_per_usd,completed,2502,
fred,hkd_per_usd,completed,2502,
fred,chf_per_usd,completed,2502,
fred,volatility,completed,2554,
ecb,eurusd_daily,completed,2569,
ecb,eurgbp_daily,completed,2569,
ecb,eurchf_daily,completed,2569,
china_data,china-gdp,completed,66,
china_data,china-cpi,completed,16,
