base_currency,quote_currency,rate_date,rate,source,retrieved_at,ingestion_run_id
USD,CHF,2026-07-01,0.80879,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-01,6.7882,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-01,6.5585,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-01,0.87661,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-01,0.7548,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-01,7.849,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-01,9.7293,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-02,0.80731,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-02,6.7888,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-02,6.5535,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-02,0.87638,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-02,0.75224,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-02,7.8518,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-02,9.7117,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-03,0.80428,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-03,6.782,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-03,6.5391,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-03,0.8739,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-03,0.74934,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-03,7.8494,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-03,9.6694,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-04,0.80378,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-04,6.7809,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-04,6.5353,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-04,0.87353,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-04,0.74896,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-04,7.8494,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-04,9.6603,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-05,0.80364,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-05,6.7798,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-05,6.5342,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-05,0.87341,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-05,0.74881,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-05,7.8496,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-05,9.6572,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-06,0.80443,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-06,6.7853,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-06,6.5384,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-06,0.87386,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-06,0.74872,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-06,7.8493,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-06,9.6482,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-07,0.80611,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-07,6.7917,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-07,6.5396,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-07,0.87446,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-07,0.74823,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-07,7.8489,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-07,9.6522,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-08,0.8074,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-08,6.7939,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-08,6.5459,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-08,0.87471,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-08,0.7482,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-08,7.8472,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-08,9.6802,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-09,0.8076,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-09,6.794,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-09,6.5427,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-09,0.87491,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-09,0.74712,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-09,7.8424,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-09,9.6817,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-10,0.80664,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-10,6.7816,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-10,6.538,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-10,0.87394,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-10,0.74556,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-10,7.8449,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-10,9.6576,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-11,0.80657,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-11,6.7808,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-11,6.5381,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-11,0.87394,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-11,0.74544,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-11,7.8447,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-11,9.6532,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-12,0.80649,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-12,6.779,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-12,6.5383,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-12,0.87394,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-12,0.7453,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-12,7.845,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-12,9.6507,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-13,0.80873,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-13,6.7758,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-13,6.5434,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-13,0.87515,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-13,0.74635,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-13,7.8445,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-13,9.6561,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-14,0.8108,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-14,6.7754,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-14,6.5477,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-14,0.87541,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-14,0.74719,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-14,7.8445,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-14,9.6691,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-15,0.80992,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-15,6.772,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-15,6.5455,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-15,0.8749,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-15,0.74618,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-15,7.8461,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-15,9.6651,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-16,0.80778,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-16,6.7676,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-16,6.5297,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-16,0.87244,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-16,0.74215,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-16,7.847,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-16,9.6353,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-17,0.80736,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-17,6.7704,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-17,6.5301,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-17,0.87266,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-17,0.7424,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-17,7.8464,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-17,9.6408,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-18,0.8073,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-18,6.7726,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-18,6.5315,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-18,0.87281,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-18,0.74261,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-18,7.8464,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-18,9.6443,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-19,0.80737,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-19,6.7722,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-19,6.5323,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-19,0.87294,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-19,0.74281,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-19,7.8464,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-19,9.646,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-20,0.80785,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-20,6.7692,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-20,6.5388,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-20,0.87395,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-20,0.74294,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-20,7.847,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-20,9.6587,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-21,0.80925,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-21,6.7641,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-21,6.544,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-21,0.87426,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-21,0.74445,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-21,7.8477,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-21,9.6709,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-22,0.81173,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-22,6.7675,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-22,6.5485,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-22,0.87516,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-22,0.74657,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-22,7.8473,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-22,9.6921,frankfurter,2026-07-24 08:35:48.040344,
USD,CHF,2026-07-23,0.81363,frankfurter,2026-07-24 08:35:48.040344,
USD,CNY,2026-07-23,6.7688,frankfurter,2026-07-24 08:35:48.040344,
USD,DKK,2026-07-23,6.553,frankfurter,2026-07-24 08:35:48.040344,
USD,EUR,2026-07-23,0.8758,frankfurter,2026-07-24 08:35:48.040344,
USD,GBP,2026-07-23,0.74754,frankfurter,2026-07-24 08:35:48.040344,
USD,HKD,2026-07-23,7.8474,frankfurter,2026-07-24 08:35:48.040344,
USD,SEK,2026-07-23,9.7102,frankfurter,2026-07-24 08:35:48.040344,
