ticker,company_name,portfolio_aware_recommendation,clean_sheet_recommendation,llm_recommendation,branch_classification,recommendation_agreement,score_dispersion,portfolio_aware_rank,clean_sheet_rank,llm_score,disagreement_flag,final_review_required,target_weight_portfolio_aware,clean_sheet_target_weight,passes_hard_filters,dividend_safety_score,cash_flow_quality_score,balance_sheet_strength_score,final_recommendation_score,risk_management_flags,final_recommendation,final_target_weight,confidence_adjustment,baseline_weight,raw_drl_weight,projected_drl_weight,accepted_target_weight,acceptance_selected_weights_source,drl_challenger_status,final_selected_weights_source,drl_rejection_reasons,final_selected_weight
000001.SHE,Ping An Bank Co Ltd,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,7.26052153384719,20.0,26.0,58.20223284892464,True,True,0.05,0.0,True,76.74571033238814,83.83061238612993,42.50712758374911,61.96789745592957,narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.047500000000000014,0.047500000000000014,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.049999999999999996
000009.SHE,China Baoan Group Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,18.54343655667254,1371.0,1345.0,22.10980587268051,False,False,0.0,0.0,False,13.602583709186066,24.17479611670899,28.14168869726345,34.27117496912284,narrative_review;regime_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000039.SHE,China International Marine Containers Group Ltd,Avoid,Avoid,Avoid,Reject,1.0,27.3665521697284,1050.0,1135.0,43.73340648653437,False,False,0.0,0.0,False,28.46649689638708,66.978896665847,63.30419286522395,46.63762040326046,liquidity_stress;narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000062.SHE,Shenzhen Huaqiang Industry Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,20.369913662185493,1318.0,1319.0,22.39034627408637,False,False,0.0,0.0,False,37.18574355496623,9.080458736401482,23.927867044638703,36.98355128269176,narrative_review;narrative_exclusion;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000063.SHE,ZTE Corp,Avoid,Avoid,Avoid,Reject,1.0,23.46130675375564,1232.0,1157.0,33.402721709245405,False,False,0.0,0.0,False,29.10436973323801,18.92172397370421,57.482750552504186,45.61514352059881,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
0001.HK,CK Hutchison Holdings Limited,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,7.7883936417454525,240.0,185.0,55.130488029915526,True,True,0.049019039720173,0.0,True,52.4463218148686,81.7979315585415,47.28385463574536,63.38270201705477,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,Hold,0.0,Review required or no LLM support,0.0,0.0,0.0,0.0,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000100.SHE,TCL Corp,Hold,Avoid,Hold,Reject,0.6666666666666666,16.766447659911883,432.0,588.0,45.14579704100591,True,True,0.0,0.0,True,50.37409009641361,73.00869475810136,19.73316039915374,60.55080577952791,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Watchlist,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000157.SHE,Zoomlion Heavy Industry Science and Technology Co Ltd,Avoid,Avoid,Avoid,Reject,1.0,25.886198089107328,1047.0,1113.0,35.2467865383277,False,False,0.0,0.0,False,38.82034367131492,26.58575291190972,57.18532689897278,47.93240285470096,narrative_review;narrative_exclusion;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Avoid,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
000166.SHE,Shenwan Hongyuan Group Co Ltd,Hold,Avoid,Avoid,Reject,0.6666666666666666,22.89529042564246,1214.0,1307.0,25.011332742703186,True,True,0.0,0.0,True,37.84654545150159,21.49330439309267,42.50712758374911,37.85043913966206,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,Watchlist,0.0,Review required or no LLM support,,,,,,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
0002.HK,CLP Holdings,Hold,Hold,Hold,Reject,1.0,8.698557715166897,665.0,326.0,45.38351206617124,False,False,0.0,0.0,True,47.85561461708066,54.54845889192912,56.269421413071306,54.35932099106415,narrative_review;ml_dividend_cut_risk;,Watchlist,0.0,Review required or no LLM support,0.0,0.0,0.0,0.0,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'drl_worsened_oos_drawdown', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard', 'insufficient_prospective_shadow_cycles')",0.0
