security_id,ticker,company_name,country,region,sector,currency,horizon,horizon_months,expected_total_return,expected_price_return,expected_dividend_return,expected_volatility,expected_max_drawdown,p5_return,p50_return,p95_return,var_5,var_1,cvar_5,cvar_1,expected_shortfall_5,expected_shortfall_1,dividend_cut_probability,large_drawdown_probability,ml_expected_risk_adjusted_score,forecast_uncertainty_score,dominant_regime,regime_suitability_score,distribution_name,distribution_mu,distribution_sigma,distribution_nu,distribution_xi,tail_risk_score,skewness_risk_score,distribution_model_confidence,distribution_family,distribution_degrees_of_freedom,distribution_skewness,forecast_commentary
0001.HK,0001.HK,CK Hutchison Holdings Limited,Hong Kong,Hong Kong,Industrials,HKD,9m,9,0.26249999999999996,0.23849999999999996,0.024,0.21843452783400605,-0.30229454321078514,-0.3253665173560395,0.26249999999999996,0.7545099869030006,-0.3253665173560395,-0.3434045368419304,-0.21064936886728758,-0.46354352715063374,-0.21064936886728758,-0.46354352715063374,0.28745893807676787,0.30434300982488555,60.43671891442875,44.192732129551956,steady_state_low_chaos,65.31533092696073,student_t,0.26249999999999996,0.21843452783400605,9.806734149444074,0.64577019681906,30.092766981041088,54.49689279706769,69.30227433517958,student_t,9.806734149444074,0.64577019681906,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
000001.SHE,000001.SHE,Ping An Bank Co Ltd,China,Mainland China,Financials,CNY,9m,9,0.2625,0.222825,0.039675,0.1361535667938274,-0.2138144520178752,-0.08940036125021894,0.2625,0.5624781307600237,-0.08940036125021894,-0.11187690068649181,-0.03123296346560736,-0.18676136242309688,-0.03123296346560736,-0.18676136242309688,0.3109432753940238,0.2470475753541064,77.84673504357995,26.677394558363698,steady_state_low_chaos,83.47307275560858,student_t,0.2625,0.1361535667938274,10.285751144882841,0.6852968741503364,4.461851923658195,48.41586551533287,76.62215719178553,student_t,10.285751144882841,0.6852968741503364,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
000009.SHE,000009.SHE,China Baoan Group Co Ltd,China,Mainland China,Industrials,CNY,9m,9,-0.1875,-0.190425,0.002925,0.3293357907505536,-0.4230995719930664,-1.33214546959236,-0.1875,0.655701082572641,-1.33214546959236,-1.206284932780123,-0.9373388787548764,-1.3874196176929274,-0.9373388787548764,-1.3874196176929274,0.95,0.39016983766689184,0,81.35038575985936,steady_state_low_chaos,20.300362870466916,student_t,-0.1875,0.3293357907505536,6.298301623331082,0.3423584686109235,100.0,100.0,45.0,student_t,6.298301623331082,0.3423584686109235,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
0700.HK,0700.HK,Tencent Holdings Ltd,Hong Kong,Hong Kong,Communication Services,HKD,9m,9,0.2625,0.254175,0.008325,0.28371348075840197,-0.37112966526494484,-0.523819198382373,0.2625,0.9124081261149235,-0.523819198382373,-0.5296951344925322,-0.35392214765627694,-0.6857375489096533,-0.35392214765627694,-0.6857375489096533,0.2755130962848147,0.3422325474692387,50.73344910677588,58.77598890088154,steady_state_low_chaos,71.6315525397201,student_t,0.2625,0.28371348075840197,9.475622140168355,0.618376626742616,50.56030680803957,58.7112881934437,63.553230068973555,student_t,9.475622140168355,0.618376626742616,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
AC.PA,AC.PA,Accor S. A.,France,EU ex-DACH,Consumer Discretionary,EUR,9m,9,-0.015717876888958333,-0.037092876888958334,0.021375,0.2508816386338959,-0.334114015841558,-0.7420946567838353,-0.015717876888958333,0.5696858067130373,-0.7420946567838353,-0.7260933206417362,-0.5643187659714831,-0.8640782218903789,-0.5643187659714831,-0.8640782218903789,0.5131952484394172,0.30986921744087176,0,53.683140995714,steady_state_low_chaos,51.81450333867345,student_t,-0.015717876888958333,0.2508816386338959,8.848526831833613,0.5621573151788108,80.61696656735474,67.36041304941372,54.74169640074926,student_t,8.848526831833613,0.5621573151788108,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
ACA.PA,ACA.PA,Credit Agricole SA,France,EU ex-DACH,Financials,EUR,9m,9,0.26249999999999996,0.21869999999999998,0.0438,0.1900140738084036,-0.269572614617437,-0.23136875894572329,0.26249999999999996,0.6837258530034811,-0.23136875894572329,-0.2599665993020327,-0.1474265844233465,-0.3644743398966547,-0.1474265844233465,-0.3644743398966547,0.24694327539402372,0.2725513583302976,69.26476321807849,37.44921840559523,steady_state_low_chaos,73.78928520457505,student_t,0.26249999999999996,0.1900140738084036,10.286713315120927,0.6864437216701771,21.060940631906643,48.23942743535737,72.49885072671974,student_t,10.286713315120927,0.6864437216701771,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
ADP.PA,ADP.PA,Aeroports de Paris SA,France,EU ex-DACH,Industrials,EUR,9m,9,-0.1875,-0.206625,0.019125,0.2785218333749267,-0.3660020814007488,-0.9868251986284784,-0.1875,0.46027221657876716,-0.9868251986284784,-0.9737687142063006,-0.795699845683125,-1.1269557225625104,-0.795699845683125,-1.1269557225625104,0.40312501067191137,0.3411463316364916,0,59.22083514494197,steady_state_low_chaos,31.8568205854281,student_t,-0.1875,0.2785218333749267,8.976036640947438,0.5746176365677547,100.0,65.44344052803774,50.18348392079434,student_t,8.976036640947438,0.5746176365677547,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
AI.PA,AI.PA,Air Liquide SA,France,EU ex-DACH,Materials,EUR,9m,9,-0.08132466187009266,-0.09587466187009265,0.01455,0.1533272241355454,-0.23038147762139213,-0.475575082139577,-0.08132466187009266,0.25628679093224194,-0.475575082139577,-0.5021279376681634,-0.41181934324754715,-0.5864579109427134,-0.41181934324754715,-0.5864579109427134,0.2799575407292591,0.24844785940346667,1.004394991042668,29.950624525058316,steady_state_low_chaos,50.171629116856934,student_t,-0.08132466187009266,0.1533272241355454,10.395691243048297,0.6949749779085371,58.8313347496496,46.92692647560967,63.25312734124615,student_t,10.395691243048297,0.6949749779085371,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
AIR.PA,AIR.PA,Airbus Group SE,France,EU ex-DACH,Industrials,EUR,9m,9,-0.14411484235129346,-0.15528984235129345,0.011175000000000001,0.2538479485416205,-0.3370986947652665,-0.8327534743339563,-0.14411484235129346,0.43138346322509613,-0.8327534743339563,-0.8487928890323548,-0.6941679043484968,-0.9884092607302462,-0.6941679043484968,-0.9884092607302462,0.28128619414720063,0.3107952425040389,0,51.73338324918155,steady_state_low_chaos,53.39929714162355,student_t,-0.14411484235129346,0.2538479485416205,9.766902798370808,0.6425537966284474,99.1668434783567,54.991723595623476,51.959530591067306,student_t,9.766902798370808,0.6425537966284474,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
AKE.PA,AKE.PA,Arkema SA,France,EU ex-DACH,Materials,EUR,9m,9,0.14420571330079227,0.09995571330079225,0.044250000000000005,0.2905363345929798,-0.377556144112978,-0.7286555655529159,0.14420571330079227,0.8349505770876976,-0.7286555655529159,-0.6887880755566346,-0.4947579864439418,-0.8485830595827735,-0.4947579864439418,-0.8485830595827735,0.5555130962848146,0.3419257013869293,11.463406723839661,63.98882385653145,steady_state_low_chaos,51.26553310983711,student_t,0.14420571330079227,0.2905363345929798,8.358690600991448,0.5206323318112072,70.67971234913455,73.74887202904505,56.26774110835961,student_t,8.358690600991448,0.5206323318112072,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
AM.PA,AM.PA,Dassault Aviation SA,France,EU ex-DACH,Industrials,EUR,9m,9,0.26249999999999996,0.25094999999999995,0.011550000000000001,0.2667898830273952,-0.35210129544787033,-0.45783995216022355,0.26249999999999996,0.8662893407968587,-0.45783995216022355,-0.47715120086998997,-0.3152534189595212,-0.6238856365350574,-0.3152534189595212,-0.6238856365350574,0.2269575407292591,0.32583836984358283,52.81061258796701,54.188502960990775,steady_state_low_chaos,56.495751864995334,student_t,0.26249999999999996,0.2667898830273952,9.833786138647135,0.649032885875107,45.03620270850303,53.99494063459892,65.6417082276844,student_t,9.833786138647135,0.649032885875107,"Deterministic mock ML forecast uses quality, valuation, income, risk, sentiment, narrative and regime inputs."
