document_id,security_id,ticker,concept_id,concept_text,concept_category,concept_polarity,concept_severity,concept_confidence,publication_timestamp,source_type
NARR-001-1,WOLF001,WLF001,NARR-001-1-dividend_increase,dividend increase,dividend,positive,45,80,2026-07-22,news
NARR-001-1,WOLF001,WLF001,NARR-001-1-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-07-22,news
NARR-001-1,WOLF001,WLF001,NARR-001-1-cash_flow,cash flow,cash_flow,positive,35,80,2026-07-22,news
NARR-001-1,WOLF001,WLF001,NARR-001-1-resilient_demand,resilient demand,demand,positive,35,80,2026-07-22,news
NARR-001-1,WOLF001,WLF001,NARR-001-1-margin_expansion,margin expansion,margin,positive,35,80,2026-07-22,news
NARR-001-1,WOLF001,WLF001,NARR-001-1-guidance_raised,guidance raised,guidance,positive,40,80,2026-07-22,news
NARR-001-1,WOLF001,WLF001,NARR-001-1-share_buyback,share buyback,buyback,positive,35,80,2026-07-22,news
NARR-001-1,WOLF001,WLF001,NARR-001-1-major_contract_win,major contract win,order_book,positive,40,80,2026-07-22,news
NARR-001-1,WOLF001,WLF001,NARR-001-1-pricing_power,pricing power,pricing_power,positive,35,80,2026-07-22,news
NARR-001-2,WOLF001,WLF001,NARR-001-2-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-07-01,news
NARR-001-2,WOLF001,WLF001,NARR-001-2-annual_report_released,annual report released,growth,neutral,20,80,2026-07-01,news
NARR-001-2,WOLF001,WLF001,NARR-001-2-board_meeting_update,board meeting update,management,neutral,20,80,2026-07-01,news
NARR-001-2,WOLF001,WLF001,NARR-001-2-quarterly_trading_update,quarterly trading update,growth,neutral,20,80,2026-07-01,news
NARR-001-3,WOLF001,WLF001,NARR-001-3-weak_demand,weak demand,demand,negative,70,80,2026-06-10,analyst_commentary
NARR-001-3,WOLF001,WLF001,NARR-001-3-margin_pressure,margin pressure,margin,negative,70,80,2026-06-10,analyst_commentary
NARR-001-3,WOLF001,WLF001,NARR-001-3-guidance_cut,guidance cut,guidance,negative,75,80,2026-06-10,analyst_commentary
NARR-001-3,WOLF001,WLF001,NARR-001-3-profit_warning,profit warning,profit_warning,negative,85,80,2026-06-10,analyst_commentary
NARR-001-3,WOLF001,WLF001,NARR-001-3-cost_pressure,cost pressure,cost_pressure,negative,65,80,2026-06-10,analyst_commentary
NARR-001-4,WOLF001,WLF001,NARR-001-4-debt_refinancing_pressure,debt refinancing pressure,refinancing,negative,85,80,2026-05-20,news
NARR-001-4,WOLF001,WLF001,NARR-001-4-credit_downgrade,credit downgrade,credit_stress,negative,85,80,2026-05-20,news
NARR-001-4,WOLF001,WLF001,NARR-001-4-liquidity_pressure,liquidity pressure,liquidity,negative,85,80,2026-05-20,news
NARR-001-4,WOLF001,WLF001,NARR-001-4-impairment,impairment,impairment,negative,75,80,2026-05-20,news
NARR-001-4,WOLF001,WLF001,NARR-001-4-distress,distress,distress,negative,90,80,2026-05-20,news
NARR-001-5,WOLF001,WLF001,NARR-001-5-regulatory_probe,regulatory probe,regulation,negative,85,80,2026-04-29,news
NARR-001-5,WOLF001,WLF001,NARR-001-5-litigation_risk,litigation risk,litigation,negative,80,80,2026-04-29,news
NARR-001-5,WOLF001,WLF001,NARR-001-5-governance_concern,governance concern,governance,negative,85,80,2026-04-29,news
NARR-001-5,WOLF001,WLF001,NARR-001-5-management_resignation,management resignation,management,negative,75,80,2026-04-29,news
NARR-002-1,WOLF002,WLF002,NARR-002-1-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-07-17,news
NARR-002-1,WOLF002,WLF002,NARR-002-1-annual_report_released,annual report released,growth,neutral,20,80,2026-07-17,news
NARR-002-1,WOLF002,WLF002,NARR-002-1-board_meeting_update,board meeting update,management,neutral,20,80,2026-07-17,news
NARR-002-1,WOLF002,WLF002,NARR-002-1-quarterly_trading_update,quarterly trading update,growth,neutral,20,80,2026-07-17,news
NARR-002-2,WOLF002,WLF002,NARR-002-2-weak_demand,weak demand,demand,negative,70,80,2026-06-26,analyst_commentary
NARR-002-2,WOLF002,WLF002,NARR-002-2-margin_pressure,margin pressure,margin,negative,70,80,2026-06-26,analyst_commentary
NARR-002-2,WOLF002,WLF002,NARR-002-2-guidance_cut,guidance cut,guidance,negative,75,80,2026-06-26,analyst_commentary
NARR-002-2,WOLF002,WLF002,NARR-002-2-profit_warning,profit warning,profit_warning,negative,85,80,2026-06-26,analyst_commentary
NARR-002-2,WOLF002,WLF002,NARR-002-2-cost_pressure,cost pressure,cost_pressure,negative,65,80,2026-06-26,analyst_commentary
NARR-002-3,WOLF002,WLF002,NARR-002-3-debt_refinancing_pressure,debt refinancing pressure,refinancing,negative,85,80,2026-06-05,news
NARR-002-3,WOLF002,WLF002,NARR-002-3-credit_downgrade,credit downgrade,credit_stress,negative,85,80,2026-06-05,news
NARR-002-3,WOLF002,WLF002,NARR-002-3-liquidity_pressure,liquidity pressure,liquidity,negative,85,80,2026-06-05,news
NARR-002-3,WOLF002,WLF002,NARR-002-3-impairment,impairment,impairment,negative,75,80,2026-06-05,news
NARR-002-3,WOLF002,WLF002,NARR-002-3-distress,distress,distress,negative,90,80,2026-06-05,news
NARR-002-4,WOLF002,WLF002,NARR-002-4-regulatory_probe,regulatory probe,regulation,negative,85,80,2026-05-15,news
NARR-002-4,WOLF002,WLF002,NARR-002-4-litigation_risk,litigation risk,litigation,negative,80,80,2026-05-15,news
NARR-002-4,WOLF002,WLF002,NARR-002-4-governance_concern,governance concern,governance,negative,85,80,2026-05-15,news
NARR-002-4,WOLF002,WLF002,NARR-002-4-management_resignation,management resignation,management,negative,75,80,2026-05-15,news
NARR-002-5,WOLF002,WLF002,NARR-002-5-dividend_increase,dividend increase,dividend,positive,45,80,2026-04-24,news
NARR-002-5,WOLF002,WLF002,NARR-002-5-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-04-24,news
NARR-002-5,WOLF002,WLF002,NARR-002-5-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-04-24,news
NARR-002-5,WOLF002,WLF002,NARR-002-5-cash_flow,cash flow,cash_flow,positive,35,80,2026-04-24,news
NARR-002-5,WOLF002,WLF002,NARR-002-5-deleveraging,deleveraging,debt,positive,35,80,2026-04-24,news
NARR-003-1,WOLF003,WLF003,NARR-003-1-weak_demand,weak demand,demand,negative,70,80,2026-07-12,analyst_commentary
NARR-003-1,WOLF003,WLF003,NARR-003-1-margin_pressure,margin pressure,margin,negative,70,80,2026-07-12,analyst_commentary
NARR-003-1,WOLF003,WLF003,NARR-003-1-guidance_cut,guidance cut,guidance,negative,75,80,2026-07-12,analyst_commentary
NARR-003-1,WOLF003,WLF003,NARR-003-1-profit_warning,profit warning,profit_warning,negative,85,80,2026-07-12,analyst_commentary
NARR-003-1,WOLF003,WLF003,NARR-003-1-cost_pressure,cost pressure,cost_pressure,negative,65,80,2026-07-12,analyst_commentary
NARR-003-2,WOLF003,WLF003,NARR-003-2-debt_refinancing_pressure,debt refinancing pressure,refinancing,negative,85,80,2026-06-21,news
NARR-003-2,WOLF003,WLF003,NARR-003-2-credit_downgrade,credit downgrade,credit_stress,negative,85,80,2026-06-21,news
NARR-003-2,WOLF003,WLF003,NARR-003-2-liquidity_pressure,liquidity pressure,liquidity,negative,85,80,2026-06-21,news
NARR-003-2,WOLF003,WLF003,NARR-003-2-impairment,impairment,impairment,negative,75,80,2026-06-21,news
NARR-003-2,WOLF003,WLF003,NARR-003-2-distress,distress,distress,negative,90,80,2026-06-21,news
NARR-003-3,WOLF003,WLF003,NARR-003-3-regulatory_probe,regulatory probe,regulation,negative,85,80,2026-05-31,news
NARR-003-3,WOLF003,WLF003,NARR-003-3-litigation_risk,litigation risk,litigation,negative,80,80,2026-05-31,news
NARR-003-3,WOLF003,WLF003,NARR-003-3-governance_concern,governance concern,governance,negative,85,80,2026-05-31,news
NARR-003-3,WOLF003,WLF003,NARR-003-3-management_resignation,management resignation,management,negative,75,80,2026-05-31,news
NARR-003-4,WOLF003,WLF003,NARR-003-4-dividend_increase,dividend increase,dividend,positive,45,80,2026-05-10,news
NARR-003-4,WOLF003,WLF003,NARR-003-4-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-05-10,news
NARR-003-4,WOLF003,WLF003,NARR-003-4-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-05-10,news
NARR-003-4,WOLF003,WLF003,NARR-003-4-cash_flow,cash flow,cash_flow,positive,35,80,2026-05-10,news
NARR-003-4,WOLF003,WLF003,NARR-003-4-deleveraging,deleveraging,debt,positive,35,80,2026-05-10,news
NARR-003-5,WOLF003,WLF003,NARR-003-5-dividend_increase,dividend increase,dividend,positive,45,80,2026-04-19,news
NARR-003-5,WOLF003,WLF003,NARR-003-5-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-04-19,news
NARR-003-5,WOLF003,WLF003,NARR-003-5-cash_flow,cash flow,cash_flow,positive,35,80,2026-04-19,news
NARR-003-5,WOLF003,WLF003,NARR-003-5-resilient_demand,resilient demand,demand,positive,35,80,2026-04-19,news
NARR-003-5,WOLF003,WLF003,NARR-003-5-margin_expansion,margin expansion,margin,positive,35,80,2026-04-19,news
NARR-003-5,WOLF003,WLF003,NARR-003-5-guidance_raised,guidance raised,guidance,positive,40,80,2026-04-19,news
NARR-003-5,WOLF003,WLF003,NARR-003-5-share_buyback,share buyback,buyback,positive,35,80,2026-04-19,news
NARR-003-5,WOLF003,WLF003,NARR-003-5-major_contract_win,major contract win,order_book,positive,40,80,2026-04-19,news
NARR-003-5,WOLF003,WLF003,NARR-003-5-pricing_power,pricing power,pricing_power,positive,35,80,2026-04-19,news
NARR-004-1,WOLF004,WLF004,NARR-004-1-debt_refinancing_pressure,debt refinancing pressure,refinancing,negative,85,80,2026-07-07,news
NARR-004-1,WOLF004,WLF004,NARR-004-1-credit_downgrade,credit downgrade,credit_stress,negative,85,80,2026-07-07,news
NARR-004-1,WOLF004,WLF004,NARR-004-1-liquidity_pressure,liquidity pressure,liquidity,negative,85,80,2026-07-07,news
NARR-004-1,WOLF004,WLF004,NARR-004-1-impairment,impairment,impairment,negative,75,80,2026-07-07,news
NARR-004-1,WOLF004,WLF004,NARR-004-1-distress,distress,distress,negative,90,80,2026-07-07,news
NARR-004-2,WOLF004,WLF004,NARR-004-2-regulatory_probe,regulatory probe,regulation,negative,85,80,2026-06-16,news
NARR-004-2,WOLF004,WLF004,NARR-004-2-litigation_risk,litigation risk,litigation,negative,80,80,2026-06-16,news
NARR-004-2,WOLF004,WLF004,NARR-004-2-governance_concern,governance concern,governance,negative,85,80,2026-06-16,news
NARR-004-2,WOLF004,WLF004,NARR-004-2-management_resignation,management resignation,management,negative,75,80,2026-06-16,news
NARR-004-3,WOLF004,WLF004,NARR-004-3-dividend_increase,dividend increase,dividend,positive,45,80,2026-05-26,news
NARR-004-3,WOLF004,WLF004,NARR-004-3-ordinary_dividend_confirmed,ordinary dividend confirmed,dividend,positive,30,80,2026-05-26,news
NARR-004-3,WOLF004,WLF004,NARR-004-3-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-05-26,news
NARR-004-3,WOLF004,WLF004,NARR-004-3-cash_flow,cash flow,cash_flow,positive,35,80,2026-05-26,news
NARR-004-3,WOLF004,WLF004,NARR-004-3-deleveraging,deleveraging,debt,positive,35,80,2026-05-26,news
NARR-004-4,WOLF004,WLF004,NARR-004-4-dividend_increase,dividend increase,dividend,positive,45,80,2026-05-05,news
NARR-004-4,WOLF004,WLF004,NARR-004-4-strong_cash_flow,strong cash flow,cash_flow,positive,45,80,2026-05-05,news
NARR-004-4,WOLF004,WLF004,NARR-004-4-cash_flow,cash flow,cash_flow,positive,35,80,2026-05-05,news
