security_id,ticker,transition_order,from_state,intermediate_state,to_state,transition_probability,transition_count,window_days
WOLF001,WLF001,1,governance_risk,,credit_stress,0.5,1,180
WOLF001,WLF001,1,credit_stress,,distress,1.0,1,180
WOLF001,WLF001,1,distress,,governance_risk,1.0,1,180
WOLF001,WLF001,1,governance_risk,,positive_stable,0.5,1,180
WOLF001,WLF001,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF001,WLF001,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF001,WLF001,2,distress,governance_risk,positive_stable,1.0,1,180
WOLF002,WLF002,1,positive_stable,,governance_risk,1.0,1,180
WOLF002,WLF002,1,governance_risk,,credit_stress,1.0,1,180
WOLF002,WLF002,1,credit_stress,,distress,1.0,1,180
WOLF002,WLF002,1,distress,,governance_risk,1.0,1,180
WOLF002,WLF002,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF002,WLF002,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF002,WLF002,2,credit_stress,distress,governance_risk,1.0,1,180
WOLF003,WLF003,1,positive_stable,,positive_stable,0.5,1,180
WOLF003,WLF003,1,positive_stable,,governance_risk,0.5,1,180
WOLF003,WLF003,1,governance_risk,,credit_stress,1.0,1,180
WOLF003,WLF003,1,credit_stress,,distress,1.0,1,180
WOLF003,WLF003,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF003,WLF003,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF003,WLF003,2,governance_risk,credit_stress,distress,1.0,1,180
WOLF004,WLF004,1,governance_risk,,positive_stable,0.5,1,180
WOLF004,WLF004,1,positive_stable,,positive_stable,0.5,1,180
WOLF004,WLF004,1,positive_stable,,governance_risk,0.5,1,180
WOLF004,WLF004,1,governance_risk,,credit_stress,0.5,1,180
WOLF004,WLF004,2,governance_risk,positive_stable,positive_stable,1.0,1,180
WOLF004,WLF004,2,positive_stable,positive_stable,governance_risk,1.0,1,180
WOLF004,WLF004,2,positive_stable,governance_risk,credit_stress,1.0,1,180
WOLF005,WLF005,1,distress,,governance_risk,1.0,1,180
WOLF005,WLF005,1,governance_risk,,positive_stable,1.0,1,180
WOLF005,WLF005,1,positive_stable,,positive_stable,0.5,1,180
