security_id,ticker,as_of_date,new_risk_concept_count_30d,recurring_risk_concept_count_90d,concept_reoccurrence_intensity,concept_acceleration_score,semantic_drift_30d,semantic_drift_90d,narrative_instability_score,risk_reframing_score,positive_reframing_score,distress_similarity_score,dividend_risk_similarity_score,credit_stress_similarity_score,governance_risk_similarity_score,regulatory_risk_similarity_score,markov_neutral_to_negative_prob,markov_negative_to_distress_prob,markov_positive_to_dividend_risk_prob,markov_credit_stress_to_distress_prob,reframing_review_required_flag,reframing_exclusion_flag,narrative_reframing_score
WOLF001,WLF001,2026-07-24,13,0,27,5.925925925925926,18.031194496789816,13.082067599940245,13.082067599940245,82.6165210035364,89.28403137964222,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,76.33470859368775
WOLF002,WLF002,2026-07-24,8,0,23,3.6363636363636367,15.059986019758753,16.975973060822447,16.975973060822447,92.041302508841,65.78403137964222,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,66.1875587016106
WOLF003,WLF003,2026-07-24,5,0,28,0.0,11.795885322140586,22.685474825941416,18.14837986075313,92.0,56.75,92.0,44.99999999999999,92.0,92.0,44.99999999999999,0.0,0.0,0.0,1.0,True,True,63.650405034811726
WOLF004,WLF004,2026-07-24,5,0,27,0.0,17.55206368398101,24.171079064456947,19.336863251565557,92.0,68.5,69.56961026410761,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,0.0,True,False,69.65534264749249
WOLF005,WLF005,2026-07-24,4,0,27,0.0,37.207829580613726,24.36408482280592,19.491267858244736,92.0,78.89201568982111,92.0,62.720397857464086,78.3884269650203,92.082605017682,80.1620333377176,0.0,0.0,0.0,0.0,True,True,68.85018695789411
WOLF006,WLF006,2026-07-24,1,0,28,0.0,24.186120717030335,18.011098758187636,14.408879006550109,68.5206512544205,92.0,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,81.6155523093153
WOLF007,WLF007,2026-07-24,9,0,27,3.7037037037037033,17.73830227620271,15.952758105240072,13.082067599940245,76.36086833922734,92.0,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,79.20317918128536
WOLF008,WLF008,2026-07-24,0,0,23,0.0,0.0,15.890678574499503,16.975973060822447,92.027535005894,58.85602091976148,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,64.46037471267188
WOLF009,WLF009,2026-07-24,0,0,28,0.0,0.0,22.185259528911775,18.14837986075313,92.0,44.99999999999999,92.0,44.99999999999999,92.0,92.0,44.99999999999999,0.0,0.0,0.0,1.0,True,True,60.712905034811726
WOLF010,WLF010,2026-07-24,0,0,27,0.0,0.0,26.315337993875023,19.336863251565557,76.33333333333333,60.666666666666664,69.56961026410761,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,0.0,True,False,73.18034264749248
WOLF011,WLF011,2026-07-24,0,0,27,0.0,0.0,30.69697514882203,19.491267858244736,68.5,68.5,92.0,62.720397857464086,78.3884269650203,92.082605017682,80.1620333377176,0.0,0.0,0.0,0.0,True,True,74.47718303543883
WOLF012,WLF012,2026-07-24,0,0,28,0.0,0.0,20.962211496616522,14.408879006550109,44.99999999999999,92.0,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,89.84778024836247
WOLF013,WLF013,2026-07-24,0,0,27,0.0,0.0,18.031194496789816,13.082067599940245,68.541302508841,89.28403137964222,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,81.26103506683116
WOLF014,WLF014,2026-07-24,0,0,23,0.0,0.0,15.059986019758753,16.975973060822447,92.041302508841,65.78403137964222,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,66.1875587016106
WOLF015,WLF015,2026-07-24,0,0,28,0.0,0.0,11.795885322140586,18.14837986075313,92.0,44.99999999999999,92.0,44.99999999999999,92.0,92.0,44.99999999999999,0.0,0.0,0.0,1.0,True,True,60.712905034811726
WOLF016,WLF016,2026-07-24,0,0,27,0.0,0.0,17.55206368398101,19.336863251565557,92.0,44.99999999999999,69.56961026410761,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,0.0,True,False,63.78034264749248
WOLF017,WLF017,2026-07-24,0,0,27,0.0,0.0,37.207829580613726,19.491267858244736,92.0,44.99999999999999,92.0,62.720397857464086,78.3884269650203,92.082605017682,80.1620333377176,0.0,0.0,0.0,0.0,True,True,60.37718303543883
WOLF018,WLF018,2026-07-24,0,0,28,0.0,0.0,24.186120717030335,14.408879006550109,44.99999999999999,92.0,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,89.84778024836247
WOLF019,WLF019,2026-07-24,4,0,27,2.962962962962963,20.36146628187273,19.04988427903772,13.643948119518589,92.0,68.5,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,67.71401297012036
WOLF020,WLF020,2026-07-24,4,0,23,4.545454545454545,32.24044659790836,32.24044659790836,15.982496464281374,44.99999999999999,92.0,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,89.45437588392966
WOLF021,WLF021,2026-07-24,6,0,28,7.199999999999999,14.257456266019375,14.257456266019375,16.16264697055094,44.99999999999999,92.0,92.0,44.99999999999999,92.0,92.0,44.99999999999999,0.0,0.0,0.0,1.0,True,True,89.40933825736226
WOLF022,WLF022,2026-07-24,3,0,27,3.4782608695652173,18.924015437719667,18.924015437719667,19.57400588386895,92.082605017682,86.56806275928444,69.56961026410761,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,0.0,True,False,74.08416092304904
WOLF023,WLF023,2026-07-24,8,0,27,7.826086956521739,20.966502323313,20.966502323313,20.66539098885401,92.041302508841,65.78403137964222,92.0,62.720397857464086,78.3884269650203,92.082605017682,80.1620333377176,0.0,0.0,0.0,0.0,True,True,65.2652042196027
WOLF024,WLF024,2026-07-24,10,0,28,8.333333333333334,16.205237563299818,16.205237563299818,14.866979623966538,92.0,44.99999999999999,92.0,62.720397857464086,92.0,92.082605017682,80.1620333377176,0.0,0.0,0.0,1.0,True,True,61.53325509400838
