security_id,ticker,company_name,country,region,sector,currency,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,instrument_type,listing_status,risk_management_flags,target_weight,portfolio_method,eligible_for_optimisation,fallback_eligibility_used
WOLF021,WLF021,Wolf United Kingdom Utilities 21,United Kingdom,UK,Utilities,GBP,0.0,0.0,Exclude,64.59449016599595,64.59449016599595,81.3571491391441,64.56469030290671,52.77083333333333,89.40933825736226,0.35,0.03866531646389881,0.17546047630621808,-0.10011903656490867,0.35,0.7367054653856158,0.03343108490258895,-0.02798008180458738,-0.02798008180458738,0.24591220028661395,0.2827783324718677,3.997154543512483,45.869695300648544,47.11976600379853,83.33333333333334,100256027.13482481,0.03866531646389881,0.08363723233827815,55.99131636829563,56.03751992475521,79.70863896068583,False,False,True,True,False,False,Equity,Active,narrative_review;narrative_exclusion;,0.04999999999999999,cvar_constrained,True,True
WOLF003,WLF003,Wolf France Utilities 3,France,EU ex-DACH,Utilities,EUR,0.0,0.0,Exclude,64.0,64.0,67.31110317854483,85.98059009942216,39.52083333333333,63.650405034811726,0.35,0.02788038770200813,0.21751991066235,-0.22183402715279021,0.35,0.8355020191115948,-0.04356842411509798,-0.11970039284692047,-0.11970039284692047,0.26191220028661394,0.3088532891630506,17.10005612098864,49.73988261116966,59.53629102784674,100.0,117123437.4931372,0.02788038770200813,0.49381265392117923,65.35546520398329,66.87673910497975,68.27787647453953,False,False,True,True,False,False,Equity,Active,narrative_review;narrative_exclusion;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.04999999999999999,cvar_constrained,True,True
WOLF024,WLF024,Wolf Hong Kong Technology 24,Hong Kong,Hong Kong,Technology,HKD,0.0,0.0,Exclude,64.0,64.0,82.39788459150734,57.17296925897317,62.4375,61.53325509400838,0.35,0.038152260457853665,0.158886605710005,-0.06807348125607299,0.35,0.7029560162404948,0.062119582368424575,0.006509270369922826,0.006509270369922826,0.29015376423912875,0.3118475817039941,0.0,51.60607750179857,43.41499253353915,25.0,36022716.26376881,0.038152260457853665,0.47754219298973477,75.32679935143236,85.9994697649613,54.42276931135193,False,False,True,True,False,False,Equity,Active,narrative_review;narrative_exclusion;ml_drawdown_risk;,0.04999999999999999,cvar_constrained,True,True
WOLF006,WLF006,Wolf United States Technology 6,United States,US,Technology,USD,0.0,0.0,Exclude,64.0,64.0,76.29456119112656,85.20966366979766,68.97916666666667,81.6155523093153,0.35,0.037298186098711425,0.35571693886128886,-0.6236792305042661,0.35,1.164724353112347,-0.2961394797636876,-0.4206404083651387,-0.4206404083651387,0.2265009594029103,0.367275664802685,60.09148690930554,54.57416682969728,100.0,91.66666666666666,111358268.68413502,0.037298186098711425,0.6844116272081104,51.49981591509811,89.1850652199845,69.05142000894573,False,False,True,True,False,False,Equity,Active,narrative_review;narrative_exclusion;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,0.04999999999999998,cvar_constrained,True,True
WOLF022,WLF022,Wolf United States Financials 22,United States,US,Financials,USD,0.0,0.0,Exclude,64.0,64.0,86.92708333333333,54.1106524215729,57.10416666666667,74.08416092304904,0.35,0.05487679933151711,0.32357780676210907,-0.5864302238937567,0.35,1.1064819070548655,-0.2440170288678406,-0.35726926123457875,-0.35726926123457875,0.383383945736726,0.39775474573815967,51.03846589065411,66.5385292786883,95.32419675733541,29.166666666666668,38859263.683080845,0.05487679933151711,0.37313705881340015,68.36460988600292,74.30146006469349,58.768530728303524,False,False,True,False,False,False,Equity,Active,narrative_review;ml_dividend_cut_risk;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,0.04999999999999998,cvar_constrained,True,True
WOLF019,WLF019,Wolf France Healthcare 19,France,EU ex-DACH,Healthcare,EUR,0.0,0.0,Exclude,64.0,64.0,76.3590477816406,70.48802504979376,56.77083333333333,67.71401297012036,0.35,0.054120429765673314,0.13991810371029725,-0.020507805490612374,0.35,0.6613299958285632,0.09619672046390992,0.04722538416530589,0.04722538416530589,0.33707674275133603,0.30349910897009486,0.0,53.16941410623672,38.392802285088365,50.0,58133181.29466018,0.054120429765673314,1.0692044538523149,65.33004156877328,81.39710439318254,58.53721442798219,False,False,True,True,False,False,Equity,Active,narrative_review;narrative_exclusion;ml_drawdown_risk;,0.04999999999999999,cvar_constrained,True,True
WOLF018,WLF018,Wolf Switzerland Technology 18,Switzerland,DACH,Technology,CHF,0.0,0.0,Exclude,63.343268760346206,63.343268760346206,63.74602681897194,50.120058050078256,61.10416666666667,89.84778024836247,0.35,0.023451092252821097,0.25363668165454895,-0.3445972415815336,0.35,0.9270096209757405,-0.1115599528259954,-0.20033279140508753,-0.20033279140508753,0.32768772939777213,0.3411105074024355,28.61897020072679,57.003628590930276,71.60141424260743,12.5,24357620.371945713,0.023451092252821097,0.386314740492425,89.82940043924182,72.58644715669004,57.48588014308075,False,False,True,True,False,False,Equity,Active,liquidity_stress;narrative_review;narrative_exclusion;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,0.04999999999999999,cvar_constrained,True,True
WOLF012,WLF012,Wolf Netherlands Technology 12,Netherlands,EU ex-DACH,Technology,EUR,0.0,0.0,Exclude,63.34075728530141,63.34075728530141,53.972679207019276,63.799277896788794,61.10416666666667,89.84778024836247,0.31016782400359344,0.021325365662748938,0.34643818011393923,-0.6427602428245743,0.31016782400359344,1.1041385941237443,-0.31987403101767864,-0.44112739405755735,-0.44112739405755735,0.22363259814407807,0.38098473162879576,63.01819915107962,56.00153201108064,98.36407064737115,87.5,107388292.31601933,0.021325365662748938,0.0979094151645132,83.328383650711,59.198700450449905,61.45031780034894,False,False,True,True,False,False,Equity,Active,narrative_review;narrative_exclusion;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,0.04999999999999998,cvar_constrained,True,True
WOLF015,WLF015,Wolf China Utilities 15,China,Mainland China,Utilities,CNY,0.0,0.0,Exclude,63.11612307611698,63.11612307611698,66.56467024666833,61.682278462398344,52.77083333333333,60.712905034811726,0.35,0.020118546683524998,0.331476898264451,-0.5830922937950213,0.35,1.1151886565597264,-0.25567678348506595,-0.3716936978776238,-0.3716936978776238,0.2522094355531017,0.41424836203533005,53.0990996968034,61.3783959953974,95.62650329059734,62.5,82599776.48260964,0.020118546683524998,0.34313418246642197,71.38949519963127,55.36542773305097,60.16365274970957,False,False,True,True,False,False,Equity,Active,narrative_review;narrative_exclusion;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,0.04999999999999998,cvar_constrained,True,True
WOLF005,WLF005,Wolf United Kingdom Industrials 5,United Kingdom,UK,Industrials,GBP,0.0,0.0,Exclude,59.8472146272723,59.8472146272723,81.30273259663936,50.69599990618777,74.32916666666668,68.85018695789411,0.13533151144975564,0.05546448933987051,0.253556220387569,-0.5512139254926717,0.13533151144975564,0.7086466599012242,-0.32547180888802735,-0.4142164860236765,-0.4142164860236765,0.25106670727414254,0.36162572697523854,59.17378371766807,55.24502196575059,70.9400069462579,45.83333333333333,55145540.67167692,0.05546448933987051,0.08150360115391225,76.85635128727112,38.315148510085365,76.39333306529839,False,False,True,True,False,False,Equity,Active,narrative_review;narrative_exclusion;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;,0.04999999999999998,cvar_constrained,True,True
