security_id,ticker,issuer_id,company_name,country,region,sector,currency,industry,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,liquidity_observation_count,market_cap_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,price_data_quality_score,price_data_exclusion_flag,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,instrument_type,listing_status,risk_management_flags,target_weight,portfolio_method,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,eligible_security_count,candidate_security_count,unconstrained_turnover,projected_turnover,turnover_constraint_applied,no_trade_band_applied,retention_eligible,turnover_constraint_skipped_for_hard_exit,turnover_constraint_skipped_for_infeasible_current
000333.SHE,000333.SHE,NAME:mideagroupcoltd,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,CNY,"Furnishings, Fixtures & Appliances",0.0,0.0,Hold,70.0164388611297,70.0164388611297,91.50838243426061,71.6719905516346,52.77083333333333,84.07541813822725,0.35,0.0504,0.1898108212580659,-0.1393651736607553,0.35,0.7690534669804814,0.0073073538200085775,-0.059126433620314486,-0.059126433620314486,0.295166429618148,0.2690119292474838,8.446633374330641,46.93341496953303,32.195370616134035,88.87303851640513,457035391.3178432,60,94144678368.21568,0.0504,0.06650385466659237,94.78087851272029,63.399850082282434,66.6173441071769,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;,0.05,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
HIG.US,HIG.US,NAME:hartfordfinancialservicesgroup,Hartford Financial Services Group,United States,US,Financials,USD,Insurance - Diversified,0.0,0.0,Hold,69.84803022964932,69.84803022964932,82.29671897289586,77.67815573470742,57.10416666666667,84.07541813822725,0.35,0.0167,0.19287713665688405,-0.14704663715098187,0.35,0.7757247326566863,0.0017812608838347899,-0.06572573694607463,-0.06572573694607463,0.2824988309495793,0.27430191239437746,9.389390992296375,46.86169617355935,32.70404735854442,78.67332382310984,258442551.05999997,60,39614644224.0,0.0167,0.1452240733873516,42.50713266761769,84.29263427537616,68.0553787243933,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;,0.05,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
601398.SHG,601398.SHG,NAME:industrialandcommercialbankofchinaltd,Industrial and Commercial Bank of China Ltd,China,Mainland China,Financials,CNY,Banks - Diversified,0.0,0.0,Hold,66.96616535201487,66.96616535201487,90.34061184543562,87.5040581067192,66.45416666666668,81.00001336983581,0.35,0.040999999999999995,0.1836207784780088,-0.11679970496626851,0.35,0.7526367215604559,0.019010831386847393,-0.04525644108045569,-0.04525644108045569,0.24194327539402372,0.27341315842852515,6.465205868636528,44.57538695527725,30.813797435327995,87.94579172610555,438453247.5124157,60,396674250329.90424,0.040999999999999995,0.692729631756139,42.50713266761769,92.68859433291875,76.84061435830513,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;,0.0,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
600036.SHG,600036.SHG,NAME:chinamerchantsbankcoltd,China Merchants Bank Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Hold,65.19755558744342,65.19755558744342,95.95954907796057,87.4326011178244,52.60416666666667,83.2973760420765,0.35,0.10310000000000001,0.1665442861478496,-0.07804231373235881,0.35,0.7163877731988229,0.04928104122121291,-0.009009458930534453,-0.009009458930534453,0.2904988309495793,0.27237749421238006,1.287065561504922,47.07041715255965,28.15548903675363,90.87018544935806,542763029.738678,60,144633145484.21426,0.10310000000000001,0.43419559246677975,42.50713266761769,88.61806151910795,75.69901521742375,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;,0.05,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
AD.AS,AD.AS,NAME:koninklijkeaholddelhaizenv,Koninklijke Ahold Delhaize NV,Netherlands,EU ex-DACH,Consumer Staples,EUR,Grocery Stores,0.0,0.0,Hold,64.75429574911064,64.75429574911064,68.24960448853264,74.53831655477227,66.45416666666668,84.07541813822725,0.35,0.0424,0.20748941537939083,-0.18467758031370363,0.35,0.8079407882790781,-0.024637183066707147,-0.09725847844949394,-0.09725847844949394,0.23314503158180977,0.2974274573961667,13.894068349927707,46.87251601550131,35.179502959856215,61.62624821683309,94561549.74311069,60,33767453676.763763,0.0424,0.15125737865729166,48.819984828888686,70.23389888174613,72.84026861583601,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;,0.05,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
3988.HK,3988.HK,NAME:bankofchinaltdh,Bank of China Ltd H,Hong Kong,Hong Kong,Financials,HKD,Banks - Diversified,0.0,0.0,Hold,64.57608182584445,64.57608182584445,92.73628821255384,83.52728220640475,45.4375,81.08624857805513,0.35,0.0484,0.18855693406961355,-0.13968780191294827,0.35,0.767274439817567,0.009169586964106857,-0.056825339960257876,-0.056825339960257876,0.30027660872735706,0.2805713656130585,8.117905708608268,48.54235957913366,32.14375421308168,70.25677603423681,154213929.70758748,60,214712469258.58444,0.0484,0.5256264956179457,42.50713266761769,89.39155249133542,81.63898441691349,False,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,alt_data_review;narrative_review;,0.05,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
601728.SHG,601728.SHG,NAME:chinatelecomcorpltd,China Telecom Corp Ltd,China,Mainland China,Communication Services,CNY,Telecom Services,0.0,0.0,Hold,64,64,86.83383581119881,67.64981985376433,72.52083333333334,81.00001336983581,0.35,0.0432,0.2328969102436732,-0.27519931379640383,0.35,0.8734266041136324,-0.0729082614365561,-0.15442218002184172,-0.15442218002184172,0.3053442073959258,0.32886480682139196,22.060311431691677,54.387550416095074,40.70858464584889,72.25392296718974,176260649.9645264,60,83586685018.32802,0.0432,0.09214804807443681,91.76156137675963,70.93015646774714,55.7469888628033,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;,0.0,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
002352.SHE,002352.SHE,NAME:sfholdingcoltd,S.F. Holding Co. Ltd,China,Mainland China,Industrials,CNY,Integrated Freight & Logistics,0.0,0.0,Hold,64,64,78.33805922009319,68.93303321979793,55.47916666666667,71.77379906466153,0.35,0.0264,0.2033399654211385,-0.18562783381209758,0.35,0.8019009917552408,-0.01852490809101387,-0.08969389598841233,-0.08969389598841233,0.23995754072925912,0.337176081440741,12.813413712630334,51.82572312858406,34.999123874002976,64.69329529243937,112029092.85207519,60,25915624963.9352,0.0264,0.10332327968980196,77.65098671662786,59.52774257399105,61.47159684971821,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;,0.05,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
002415.SHE,002415.SHE,NAME:hangzhouhikvisiondigitaltechnologycoltd,Hangzhou Hikvision Digital Technology Co Ltd,China,Mainland China,Technology,CNY,Computer Hardware,0.0,0.0,Hold,64,64,79.69840116304815,67.15079017429723,23.270833333333332,71.77379906466153,0.35,0.030699999999999998,0.28071702212474037,-0.40294881402686,0.35,0.9833897693566854,-0.15910480542910932,-0.2573557631727684,-0.2573557631727684,0.2879575407292591,0.3232213139301584,36.76510902468121,52.80017303120915,49.133386849011984,90.01426533523538,494957623.8145915,60,50446349561.31016,0.030699999999999998,0.06386544346652036,98.18933106951788,72.93222073224409,54.36194787928413,False,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,alt_data_review;narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;,0.0,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
0728.HK,0728.HK,NAME:chinatelecom,China Telecom,Hong Kong,Hong Kong,Communication Services,HKD,Telecom Services,0.0,0.0,Buy,64,64,92.98379177888766,67.30917061015761,76.95416666666668,85.54950311424149,0.35,0.0666,0.21980320031380438,-0.23657528311219034,0.35,0.8422555398905619,-0.0488815243490186,-0.12581264445885013,-0.12581264445885013,0.29633531850703687,0.3262126725963093,17.97323492269288,53.59644091149152,38.23496857590333,48.14550641940086,44845360.439574435,60,52524642799.00618,0.0666,0.14664259400917684,91.76156137675963,72.01416775733303,64.31110086700826,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_hk_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,0.05,mean_variance,True,False,True,optimal,151,148,0.95,0.95,False,False,True,True,True
