security_id,ticker,issuer_id,company_name,country,region,sector,currency,industry,current_weight,current_market_value_usd,final_recommendation,final_recommendation_score,scorecard_score,portfolio_fit_score,regime_suitability_score,sentiment_alt_data_score,narrative_reframing_score,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,tail_risk_score,skewness_risk_score,forecast_uncertainty_score,liquidity_score,average_daily_value_usd,liquidity_observation_count,market_cap_usd,dividend_yield,free_cash_flow_yield,balance_sheet_strength_score,cashflow_quality_score,dividend_safety_score,regime_review_required_flag,regime_exclusion_flag,reframing_review_required_flag,reframing_exclusion_flag,alt_data_review_required_flag,alt_data_exclusion_flag,price_data_quality_score,price_data_exclusion_flag,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,instrument_type,listing_status,risk_management_flags
000333.SHE,000333.SHE,NAME:mideagroupcoltd,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,CNY,"Furnishings, Fixtures & Appliances",0.0,0.0,Hold,70.0164388611297,70.0164388611297,91.50838243426061,71.6719905516346,52.77083333333333,84.07541813822725,0.35,0.0504,0.1898108212580659,-0.1393651736607553,0.35,0.7690534669804814,0.0073073538200085775,-0.059126433620314486,-0.059126433620314486,0.295166429618148,0.2690119292474838,8.446633374330641,46.93341496953303,32.195370616134035,88.87303851640513,457035391.3178432,60,94144678368.21568,0.0504,0.06650385466659237,94.78087851272029,63.399850082282434,66.6173441071769,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
HIG.US,HIG.US,NAME:hartfordfinancialservicesgroup,Hartford Financial Services Group,United States,US,Financials,USD,Insurance - Diversified,0.0,0.0,Hold,69.84803022964932,69.84803022964932,82.29671897289586,77.67815573470742,57.10416666666667,84.07541813822725,0.35,0.0167,0.19287713665688405,-0.14704663715098187,0.35,0.7757247326566863,0.0017812608838347899,-0.06572573694607463,-0.06572573694607463,0.2824988309495793,0.27430191239437746,9.389390992296375,46.86169617355935,32.70404735854442,78.67332382310984,258442551.05999997,60,39614644224.0,0.0167,0.1452240733873516,42.50713266761769,84.29263427537616,68.0553787243933,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
TRV.US,TRV.US,NAME:thetravelerscompaniesinc,The Travelers Companies Inc,United States,US,Financials,USD,Insurance - Property & Casualty,0.0,0.0,Avoid,69.3032190726445,69.3032190726445,80.28281027104137,76.39090267453712,82.20416666666668,86.28947834408092,0.35,0.0131,0.20705262595322768,-0.1767780756798557,0.35,0.8052359410858992,-0.023065383815440488,-0.09553380289907017,-0.09553380289907017,0.24194327539402372,0.2680724549183067,13.647686128438597,43.959151934867435,34.80367289435469,94.36519258202568,739266428.0,60,80509960192.0,0.0131,0.1317352533116006,42.50713266761769,85.21228059484189,52.35387313980242,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
601398.SHG,601398.SHG,NAME:industrialandcommercialbankofchinaltd,Industrial and Commercial Bank of China Ltd,China,Mainland China,Financials,CNY,Banks - Diversified,0.0,0.0,Hold,66.96616535201487,66.96616535201487,90.34061184543562,87.5040581067192,66.45416666666668,81.00001336983581,0.35,0.040999999999999995,0.1836207784780088,-0.11679970496626851,0.35,0.7526367215604559,0.019010831386847393,-0.04525644108045569,-0.04525644108045569,0.24194327539402372,0.27341315842852515,6.465205868636528,44.57538695527725,30.813797435327995,87.94579172610555,438453247.5124157,60,396674250329.90424,0.040999999999999995,0.692729631756139,42.50713266761769,92.68859433291875,76.84061435830513,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
CB.US,CB.US,NAME:chubbltd,Chubb Ltd,United States,US,Financials,USD,Insurance - Property & Casualty,0.0,0.0,Avoid,66.71843958787642,66.71843958787642,79.81597717546363,75.96097270848394,48.77083333333333,79.66058309056827,0.35,0.0116,0.19285427796678437,-0.14732015283283323,0.35,0.775824331850969,0.001799185918066104,-0.06569981137030842,-0.06569981137030842,0.28694327539402376,0.27312296105055,9.38568733861549,46.964979565510895,32.71727096623157,92.86733238231099,634131101.37,60,136584724480.0,0.0116,0.09383186918443898,42.50713266761769,80.16262539546864,60.96858312063271,False,False,True,True,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,finnhub_reported,yahoo_finance_timeseries",False,False,Equity,Active,alt_data_review;narrative_review;narrative_exclusion;
600036.SHG,600036.SHG,NAME:chinamerchantsbankcoltd,China Merchants Bank Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Hold,65.19755558744342,65.19755558744342,95.95954907796057,87.4326011178244,52.60416666666667,83.2973760420765,0.35,0.10310000000000001,0.1665442861478496,-0.07804231373235881,0.35,0.7163877731988229,0.04928104122121291,-0.009009458930534453,-0.009009458930534453,0.2904988309495793,0.27237749421238006,1.287065561504922,47.07041715255965,28.15548903675363,90.87018544935806,542763029.738678,60,144633145484.21426,0.10310000000000001,0.43419559246677975,42.50713266761769,88.61806151910795,75.69901521742375,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
AD.AS,AD.AS,NAME:koninklijkeaholddelhaizenv,Koninklijke Ahold Delhaize NV,Netherlands,EU ex-DACH,Consumer Staples,EUR,Grocery Stores,0.0,0.0,Hold,64.75429574911064,64.75429574911064,68.24960448853264,74.53831655477227,66.45416666666668,84.07541813822725,0.35,0.0424,0.20748941537939083,-0.18467758031370363,0.35,0.8079407882790781,-0.024637183066707147,-0.09725847844949394,-0.09725847844949394,0.23314503158180977,0.2974274573961667,13.894068349927707,46.87251601550131,35.179502959856215,61.62624821683309,94561549.74311069,60,33767453676.763763,0.0424,0.15125737865729166,48.819984828888686,70.23389888174613,72.84026861583601,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;
600015.SHG,600015.SHG,NAME:huaxiabankcoltd,Hua Xia Bank Co Ltd,China,Mainland China,Financials,CNY,Banks - Regional,0.0,0.0,Avoid,64.71029205376236,64.71029205376236,93.56653909222591,79.59297415500811,82.20416666666668,88.88679739574253,0.35,0.0617,0.17911418465197732,-0.11018293824712178,0.35,0.7438968681103257,0.026554458131834324,-0.03613550649635773,-0.03613550649635773,0.24194327539402372,0.29505145508870356,5.162215213765391,47.072113492990155,30.269541675217134,57.203994293865904,75208861.12244296,60,15831185299.751684,0.0617,0.488826045381164,42.50713266761769,82.07715781492588,81.72885625702338,False,False,True,True,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;narrative_exclusion;
3988.HK,3988.HK,NAME:bankofchinaltdh,Bank of China Ltd H,Hong Kong,Hong Kong,Financials,HKD,Banks - Diversified,0.0,0.0,Hold,64.57608182584445,64.57608182584445,92.73628821255384,83.52728220640475,45.4375,81.08624857805513,0.35,0.0484,0.18855693406961355,-0.13968780191294827,0.35,0.767274439817567,0.009169586964106857,-0.056825339960257876,-0.056825339960257876,0.30027660872735706,0.2805713656130585,8.117905708608268,48.54235957913366,32.14375421308168,70.25677603423681,154213929.70758748,60,214712469258.58444,0.0484,0.5256264956179457,42.50713266761769,89.39155249133542,81.63898441691349,False,False,True,False,True,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,Equity,Active,alt_data_review;narrative_review;
601728.SHG,601728.SHG,NAME:chinatelecomcorpltd,China Telecom Corp Ltd,China,Mainland China,Communication Services,CNY,Telecom Services,0.0,0.0,Hold,64,64,86.83383581119881,67.64981985376433,72.52083333333334,81.00001336983581,0.35,0.0432,0.2328969102436732,-0.27519931379640383,0.35,0.8734266041136324,-0.0729082614365561,-0.15442218002184172,-0.15442218002184172,0.3053442073959258,0.32886480682139196,22.060311431691677,54.387550416095074,40.70858464584889,72.25392296718974,176260649.9645264,60,83586685018.32802,0.0432,0.09214804807443681,91.76156137675963,70.93015646774714,55.7469888628033,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;ml_downside_skew;
000975.SHE,000975.SHE,NAME:yintairesourcescoltd,Yintai Resources Co Ltd,China,Mainland China,Materials,CNY,Gold,0.0,0.0,Hold,64,64,68.5048415173329,63.5273058301828,28.770833333333332,73.98492652868289,0.23883157548271108,0.0189,0.5467069737051267,-1.3803103863531436,0.23883157548271108,1.5353982794518939,-0.7682886522241421,-0.9596360930209364,-0.9596360930209364,0.2799575407292591,0.4724849593415503,100.0,69.59213211713899,100,76.60485021398003,230328295.95305666,60,10798170206.92917,0.0189,0.04653347200913893,98.2574609041318,64.81883103167834,68.9123349784314,False,False,True,False,False,False,100.0,False,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,Equity,Active,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_forecast_uncertainty;ml_asymmetric_downside;ml_cvar_risk;ml_expected_shortfall_risk;ml_downside_skew;
