constraint_name,constraint_type,limit,actual_value,breach_flag,severity,affected_stocks,commentary
fully_invested,hard,1.0,1.0,False,OK,,
recommendation_eligibility,hard,no Avoid or Exclude,0.0,False,OK,,
unique_issuer,hard,one listing per issuer,0.0,False,OK,,
price_data_quality,hard,no quarantined price histories,0.0,False,OK,,
single_name_concentration,hard,0.05,0.05,False,OK,,
cash_weight,hard,0.25,0.0,False,OK,,
sector_concentration,hard,0.25,0.25,False,OK,,
country_concentration,hard,0.3,0.30000000000000004,False,OK,China,
region_concentration,hard,0.4,0.30000000000000004,False,OK,,
currency_concentration,hard,0.4,0.35000000000000003,False,OK,,
liquidity,hard,40,0.0,False,OK,,
turnover,soft,0.35,0.6941023094114727,True,High,,
portfolio_dividend_yield,soft,0.03,0.046155,False,OK,,
portfolio_volatility,soft,0.2,0.11545609899756303,False,OK,,
portfolio_var_5,soft,-0.15,-0.0037564494781304,False,OK,,
portfolio_cvar_5,soft,-0.25,-0.07079643559866627,False,OK,,
portfolio_expected_shortfall_5,soft,-0.25,-0.07079643559866627,False,OK,,
dividend_cut_risk,soft,0.35,0.2723955310387996,False,OK,,
drawdown_risk,soft,0.35,0.29077130862813316,False,OK,,
HHI,soft,0.15,0.05000000000000001,False,OK,,
effective_holdings,soft,15,19.999999999999996,False,OK,,
regime_risk,soft,no reviewed names preferred,0.0,False,OK,,
narrative_risk,soft,no reviewed names preferred,20.0,True,High,"000333.SHE, HIG.US, 600036.SHG, AD.AS, 3988.HK, 0728.HK, ALV.XETRA, IMB.LSE, 1113.HK, SHELL.AS, CA.PA, ORA.PA, HEN3.XETRA, 601816.SHG, NOVN.SW, 601818.SHG, 000538.SHE, ESSITY-B.ST, ELE.MC, 600018.SHG",
alt_data_risk,soft,no reviewed names preferred,2.0,True,High,"3988.HK, ORA.PA",
