ticker,company_name,region,country,currency,sector,expected_total_return_12m,p5_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,tail_risk_score,skewness_risk_score,distribution_model_confidence,dividend_cut_probability,large_drawdown_probability_12m,ml_expected_risk_adjusted_score,clean_sheet_score,clean_sheet_recommendation,clean_sheet_target_weight,clean_sheet_rank
000651.SHE,Gree Electric Appliances Inc of Zhuhai,Mainland China,China,CNY,Consumer Discretionary,0.35,-0.09168363078442604,0.7225077638863036,0.046083757463584674,-0.012614449298229163,1.8020641854613093,51.94493837326195,76.75774319764538,0.339875380471154,0.29158095501506515,50,75.48685655975345,Avoid,0.0,1
ALV.XETRA,Allianz SE VNA O.N.,DACH,Germany,EUR,Financials,0.35,-0.1281566215539368,0.7621295888882553,0.011476907310030815,-0.0542421408295866,7.748877261369515,44.813817168929795,76.34070810931816,0.24194115019254464,0.275480545374204,50,70.67302384879903,Buy,0.05,2
000333.SHE,Midea Group Co Ltd,Mainland China,China,CNY,Consumer Discretionary,0.35,-0.13785424938429314,0.7706931082049648,0.0047392303358715915,-0.06229632158814166,8.899474512591667,44.65567139232062,76.07678066300399,0.2501642942489318,0.2702724814172771,50,69.89470517980158,Buy,0.05,3
0788.HK,China Tower Corp,Hong Kong,Hong Kong,HKD,Communication Services,0.35,-0.18965403994191887,0.8070360671633956,-0.023005057708823218,-0.09510945063702589,13.587064376717986,50.56476745689506,74.01851878728624,0.2336131831378206,0.3292084991621076,50,69.12274200872652,Avoid,0.0,4
HIG.US,Hartford Financial Services Group,US,United States,USD,Financials,0.35,-0.14871264259502381,0.776329460372317,0.0016278274819715444,-0.06587917034793787,9.411310049705412,47.49154318516387,75.52344100979906,0.29360781685921133,0.27457639307045506,50,69.06550209398658,Buy,0.05,5
SHEL.US,Shell PLC ADR,US,United States,USD,Energy,0.35,-0.22195023027259264,0.8370969210447757,-0.04752823692521074,-0.12447859837364035,17.78265691052005,48.72786167789073,73.24515652068638,0.21762723606199008,0.3207487577127909,50,69.01420190246523,Avoid,0.0,6
0941.HK,China Mobile Ltd,Hong Kong,Hong Kong,HKD,Communication Services,0.35,0.02602228635864995,0.6244215575405465,0.12478114213352037,0.08123105737725606,0.0,50.51302080861657,77.42304687870751,0.3730337744710514,0.26369708558818616,50,68.54432560590985,Buy,0.05,7
0762.HK,China Unicom Hong Kong Ltd,Hong Kong,Hong Kong,HKD,Communication Services,0.35,-0.23410719321517115,0.8424550610260806,-0.05075201174820382,-0.12812801145389385,18.30400163627055,52.05949147821782,72.6150758691997,0.22528873869337623,0.34604751475431217,50,68.34198442856172,Avoid,0.0,8
600050.SHG,China United Network Communications Ltd,Mainland China,China,CNY,Communication Services,0.35,-0.23913144874965953,0.8493870266781751,-0.056645606908226176,-0.13526992496266316,19.324274994666165,50.26829593902932,72.62868686047906,0.22695540536004288,0.32974604230356747,50,68.09111666480894,Buy,0.05,9
HNR1.XETRA,Hannover Rück SE,DACH,Germany,EUR,Financials,0.35,-0.18035595278674976,0.8026047885442332,-0.019797375331037148,-0.09142066637661662,13.06009519665952,48.0520267592543,74.52717218694697,0.2513855946369891,0.2991376210829424,50,67.58341207095162,Buy,0.05,10
