ticker,company_name,region,country,currency,sector,standalone_score,portfolio_fit_score,incremental_dividend_income,incremental_concentration_impact,incremental_sector_exposure,incremental_country_exposure,incremental_currency_exposure,incremental_risk_impact,incremental_expected_return,incremental_downside_risk,incremental_dividend_cut_risk,incremental_drawdown_risk,incremental_var,incremental_cvar,incremental_expected_shortfall,incremental_tail_risk,portfolio_forecast_improvement_score,portfolio_distribution_improvement_score,recommendation,target_weight_portfolio_aware,portfolio_aware_score,portfolio_aware_rank
WLF021,Wolf United Kingdom Utilities 21,UK,United Kingdom,GBP,Utilities,64.59449016599595,89.37670722622299,0.0,0.0,0.0,0.0,0.0,0.01754604763062181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,71.37791817299504,1
WLF006,Wolf United States Technology 6,US,United States,USD,Technology,64.0,93.89868388378446,0.0,0.0,0.0,0.0,0.0,0.03557169388612889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,70.52551088280131,2
WLF022,Wolf United States Financials 22,US,United States,USD,Financials,64.0,100.0,0.0,0.0,0.0,0.0,0.0,0.03235778067621091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,68.34529781350116,3
WLF003,Wolf France Utilities 3,EU ex-DACH,France,EUR,Utilities,64.0,75.32157933945865,0.0,0.0,0.0,0.0,0.0,0.021751991066235002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,68.16090914616674,4
WLF024,Wolf Hong Kong Technology 24,Hong Kong,Hong Kong,HKD,Technology,64.0,91.31611621554508,0.0,0.0,0.0,0.0,0.0,0.015888660571000503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,67.97892704408905,5
WLF015,Wolf China Utilities 15,Mainland China,China,CNY,Utilities,63.11612307611698,94.86466352123169,0.0,0.0,0.0,0.0,0.0,0.0331476898264451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,67.52625202042317,6
WLF019,Wolf France Healthcare 19,EU ex-DACH,France,EUR,Healthcare,64.0,72.87931462627266,0.0,0.0,0.0,0.0,0.0,0.013991810371029726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,66.04018962349292,7
WLF005,Wolf United Kingdom Industrials 5,UK,United Kingdom,GBP,Industrials,59.8472146272723,85.9436304941644,0.0,0.0,0.0,0.0,0.0,0.0253556220387569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.35967206095602,74.35967206095602,Avoid,0.0,64.50999550333559,8
WLF007,Wolf China Healthcare 7,Mainland China,China,CNY,Healthcare,59.7325197990308,92.42239880804568,0.0,0.0,0.0,0.0,0.0,0.0136849548949116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.03596788594814,76.03596788594814,Avoid,0.0,64.36632226548082,9
WLF017,Wolf Germany Industrials 17,DACH,Germany,EUR,Industrials,58.37237454602039,73.76210578594487,0.0,0.0,0.0,0.0,0.0,0.01414801970320579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.90461750971734,96.90461750971734,Avoid,0.0,63.567683618587694,10
WLF018,Wolf Switzerland Technology 18,DACH,Switzerland,CHF,Technology,63.343268760346206,75.55003724857214,0.0,0.0,0.0,0.0,0.0,0.025363668165454895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,63.32034871253531,11
WLF012,Wolf Netherlands Technology 12,EU ex-DACH,Netherlands,EUR,Technology,63.34075728530141,71.46759374223987,0.0,0.0,0.0,0.0,0.0,0.03464381801139393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,63.144533822009336,12
WLF013,Wolf United Kingdom Healthcare 13,UK,United Kingdom,GBP,Healthcare,59.83662096074708,86.934442513037,0.0,0.0,0.0,0.0,0.0,0.022770554419546164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,Avoid,0.0,62.162523588958464,13
WLF011,Wolf France Industrials 11,EU ex-DACH,France,EUR,Industrials,58.286971099309675,71.88850260740006,0.0,0.0,0.0,0.0,0.0,0.016159169256095066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.5861612157366,99.5861612157366,Avoid,0.0,61.91673307137457,14
WLF009,Wolf Germany Utilities 9,DACH,Germany,EUR,Utilities,58.17322633282535,77.19518251800348,0.0,0.0,0.0,0.0,0.0,0.02175158727775865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.96723860031162,84.96723860031162,Avoid,0.0,61.901971527870515,15
WLF014,Wolf United States Consumer Staples 14,US,United States,USD,Consumer Staples,59.134171256862814,83.16488701266451,0.0,0.0,0.0,0.0,0.0,0.037727522140261156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.38843754376823,77.38843754376823,Avoid,0.0,61.548924017288996,16
WLF002,Wolf Switzerland Consumer Staples 2,DACH,Switzerland,CHF,Consumer Staples,56.98900208841446,64.81624037745219,0.0,0.0,0.0,0.0,0.0,0.031809992014186404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.10694091006903,53.10694091006903,Avoid,0.0,57.02929629703998,17
WLF023,Wolf China Industrials 23,Mainland China,China,CNY,Industrials,53.83554306177887,91.43158678917308,0.0,0.0,0.0,0.0,0.0,0.026629967222665897,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.25090405901395,38.25090405901395,Avoid,0.0,55.8703639208087,18
WLF008,Wolf Hong Kong Consumer Staples 8,Hong Kong,Hong Kong,HKD,Consumer Staples,52.53318889243524,80.58231934442513,0.0,0.0,0.0,0.0,0.0,0.013382806903750905,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.42136073401998,35.42136073401998,Avoid,0.0,55.67180798891525,19
WLF004,Wolf Netherlands Financials 4,EU ex-DACH,Netherlands,EUR,Financials,53.16262007412718,77.56890985845543,0.0,0.0,0.0,0.0,0.0,0.032451714970645244,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.213868928618155,37.213868928618155,Hold,0.0,55.0275050517027,20
WLF020,Wolf Netherlands Consumer Staples 20,EU ex-DACH,Netherlands,EUR,Consumer Staples,52.830104284205255,60.733796871119935,0.0,0.0,0.0,0.0,0.0,0.03622977545159883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.76667589467041,57.76667589467041,Avoid,0.0,51.98208069971098,21
WLF001,Wolf Germany Healthcare 1,DACH,Germany,EUR,Healthcare,50.88767131126355,74.75291780481747,0.0,0.0,0.0,0.0,0.0,0.014689183249168472,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.60327632070245,46.60327632070245,Avoid,0.0,51.44727742715622,22
WLF016,Wolf Hong Kong Financials 16,Hong Kong,Hong Kong,HKD,Financials,47.78687484207489,97.41743233176061,0.0,0.0,0.0,0.0,0.0,0.027350375631125676,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000000000000007,5.000000000000007,Hold,0.0,50.9902852871084,23
WLF010,Wolf Switzerland Financials 10,DACH,Switzerland,CHF,Financials,47.47199910103412,81.65135336478768,0.0,0.0,0.0,0.0,0.0,0.029317948737621183,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,Hold,0.0,50.64328628660152,24
