security_id,ticker,company_name,target_weight,current_weight,sector,country,region,currency,contribution_to_expected_return,contribution_to_dividend_income,contribution_to_volatility,contribution_to_var_5,contribution_to_cvar_5,contribution_to_expected_shortfall_5,contribution_to_drawdown_risk,contribution_to_dividend_cut_risk,contribution_to_tail_risk,contribution_to_liquidity_risk,contribution_to_regime_risk,contribution_to_narrative_risk,contribution_to_alt_data_risk,risk_contribution_rank,risk_commentary
EN.PA,EN.PA,Bouygues SA,0.04999999999999971,0.0,Industrials,France,EU ex-DACH,EUR,0.017499999999999898,0.0021499999999999874,0.011334448510604398,-0.0029642874129939484,-0.0069313443917054865,-0.0069313443917054865,0.014773496232702904,0.011819992490224297,0.009901920559579266,0.025374198146828078,0.01614409581682953,0.045113113837504784,0.01373958333333325,1,High narrative/regime risk contribution despite attractive yield.
SHELL.AS,SHELL.AS,Shell PLC,0.05,0.0,Energy,Netherlands,EU ex-DACH,EUR,0.017499999999999998,0.00357,0.01113130166322881,-0.0026426368525692386,-0.006538592434699323,-0.006538592434699323,0.01538237246233541,0.013375548045779923,0.009340846335284748,0.013221667854597295,0.013490521040046808,0.04054312428902757,0.021447916666666664,2,High narrative/regime risk contribution despite attractive yield.
ORA.PA,ORA.PA,Orange S.A.,0.05,0.0,Communication Services,France,EU ex-DACH,EUR,0.017499999999999998,0.00236,0.011155942962069933,-0.002703374211429455,-0.006607954248153931,-0.006607954248153931,0.015077635522222639,0.015071148344064787,0.009439934640219902,0.02009978617248753,0.017849368152603393,0.04072111943132004,0.03836458333333334,3,High narrative/regime risk contribution despite attractive yield.
CA.PA,CA.PA,Carrefour SA,0.05,0.0,Consumer Staples,France,EU ex-DACH,EUR,0.017499999999999998,0.00305,0.010922746128545803,-0.0023009639112480883,-0.006123925056239119,-0.006123925056239119,0.014982722482657397,0.01653172954665252,0.008748464366055884,0.026158232359230222,0.013274970243335921,0.04335934212721682,0.03492708333333334,4,High narrative/regime risk contribution despite attractive yield.
IMB.LSE,IMB.LSE,Imperial Brands PLC,0.05,0.0,Consumer Staples,United Kingdom,UK,GBX,0.017499999999999998,0.0030350000000000004,0.010613157804272027,-0.0017232082820519718,-0.005437813513547181,-0.005437813513547181,0.015263390662459365,0.014836436934668809,0.007768305019353116,0.017569493941553816,0.013648497923572239,0.041648688021038244,0.019447916666666665,5,High narrative/regime risk contribution despite attractive yield.
AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,0.05,0.0,Consumer Staples,Netherlands,EU ex-DACH,EUR,0.017499999999999998,0.00212,0.010374470768969543,-0.0012320180508600038,-0.004863082819999344,-0.004863082819999344,0.014876300794195167,0.01165748193948549,0.006947261171427635,0.019101924447612263,0.012704409875622602,0.04314473917204047,0.008897916666666662,6,High narrative/regime risk contribution despite attractive yield.
002352.SHE,002352.SHE,S.F. Holding Co. Ltd,0.05,0.0,Industrials,China,Mainland China,CNY,0.017499999999999998,0.00132,0.010022462261943624,-0.0006256081799825398,-0.004133469971662808,-0.004133469971662808,0.015952856488831685,0.011347770268002145,0.00590495710237544,0.017498218104062723,0.015484717163778727,0.045113113837505055,0.01152291666666666,7,High narrative/regime risk contribution despite attractive yield.
0823.HK,0823.HK,Link Real Estate Investment Trust,0.05,0.0,Real Estate,Hong Kong,Hong Kong,HKD,0.017499999999999998,0.0032700000000000003,0.010035865766455133,-0.0006435586158790891,-0.0041561116341383856,-0.0041561116341383856,0.01575351822904385,0.011347770268002145,0.005937302334483408,0.024483250178189593,0.01808382890642981,0.04314473917204047,0.012835416666666662,8,High narrative/regime risk contribution despite attractive yield.
ELE.MC,ELE.MC,Endesa SA,0.05,0.0,Utilities,Spain,EU ex-DACH,EUR,0.017499999999999998,0.0019,0.009948442256305257,-0.0004417773337762554,-0.003923732123483095,-0.003923732123483095,0.01431123369326206,0.011347770268002145,0.005605331604975851,0.027227369921596578,0.024705077540649534,0.042037709069113624,0.008897916666666662,9,High narrative/regime risk contribution despite attractive yield.
HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),0.05,0.0,Consumer Staples,Germany,DACH,EUR,0.017499999999999998,0.0013500000000000003,0.009762867990865997,-0.00014011588039603286,-0.003557119677199131,-0.003557119677199131,0.015427804818652878,0.011347770268002145,0.005081599538855902,0.027049180327868853,0.022510818827890952,0.042774751557120745,0.01677291666666666,10,High narrative/regime risk contribution despite attractive yield.
