horizon_months,candidate,family,category,folds,expected_folds,complete_validation,observations,independent_observations,mean_rank_ic,rank_ic_information_ratio,rank_ic_newey_west_t_stat,rank_ic_hit_rate,independent_rank_ic_hit_rate,independent_rank_ic_sign_test_p_value,mean_horizon_gross_active_return,mean_horizon_net_active_return,annualised_net_active_return,indicative_annualised_cohort_return,active_sharpe,active_return_newey_west_t_stat,annualised_turnover,initial_funding_turnover,initial_funding_cost,annualised_transaction_cost_drag,annualised_bank_fee_drag,annualised_cost_drag,active_return_ci_lower_95,active_return_ci_upper_95,selection_score,selected_family_winner
3,elastic_net__alpha-0p001_l1_ratio-0p5,elastic_net,linear,4,4,True,12,4,0.0920261119141981,,,1.0,1.0,0.0625,0.0410703282373007,0.0399262460748237,,0.1695267427582705,,,0.8674468559475665,0.4999999999999999,0.0023518172224017,0.0042296386116241,0.0025,0.0067296386116241,,,0.19329698252292,True
3,extra_trees,extra_trees,tree,4,4,True,12,4,0.0977180126728982,,,0.8333333333333334,0.75,0.3125,0.0404492597307278,0.0392061170358459,,0.1662906065240452,,,1.1180563504733307,0.4999999999999998,0.0023790846709493,0.0054966847283275,0.0025,0.0079966847283275,,,0.1963268949187009,True
3,hist_gradient_boosting__l2_regularization-10p0_learning_rate-0p04_max_iter-160_max_leaf_nodes-15,hist_gradient_boosting,tree,4,4,True,12,4,0.0839352139804412,,,0.9166666666666666,0.75,0.3125,0.039172924023102,0.0378040834642321,,0.1600093793134034,,,1.4999999999999996,0.4999999999999998,0.0023471370847965,0.0071770359508828,0.0025,0.0096770359508828,,,0.1783788599549918,True
3,huber,huber,linear,4,4,True,12,4,0.121278547499122,,,0.9166666666666666,0.75,0.3125,0.0365497190598569,0.0354064722455013,,0.1493267150049246,,,0.930105669414992,0.4999999999999997,0.0022586251678308,0.0043203672048405,0.0025,0.0068203672048405,,,0.2206579685666439,True
3,ols_screened,ols_screened,linear,4,4,True,12,4,0.0372378533638802,,,0.75,0.75,0.3125,0.0338815220402023,0.0327157000982924,,0.137425912853486,,,0.9088647712869646,0.4999999999999997,0.0023662576447243,0.0044984788998495,0.0025,0.0069984788998495,,,0.1363251635233019,True
3,random_forest__max_depth-10_max_features-0p7_min_samples_leaf-80_n_estimators-120,random_forest,tree,4,4,True,12,4,0.086196946201687,,,0.8333333333333334,0.75,0.3125,0.0369545671113939,0.0356149682905815,,0.1502527376670734,,,1.4259912390319114,0.4999999999999999,0.0023597499347949,0.0067804755435863,0.0025,0.0092804755435863,,,0.180774670238705,True
3,ridge__alpha-100p0,ridge,linear,4,4,True,12,4,0.0867246623680931,,,1.0,1.0,0.0625,0.0357477372000019,0.0345725529667682,,0.1456285019835919,,,0.9828626253530016,0.4999999999999998,0.0023100014188388,0.0046824102326908,0.0025,0.0071824102326908,,,0.1855347564878574,True
3,xgb_ranker,xgb_ranker,ranker,4,4,True,12,4,0.0140159559387853,,,0.75,0.75,0.3125,0.0220067057344739,0.0206083538699347,,0.0850168311706411,,,1.5000000000000004,0.4999999999999998,0.0024152784664951,0.0074890297177909,0.0025,0.0099890297177909,,,0.1035079443448125,True
3,xgboost__learning_rate-0p035_max_depth-3_min_child_weight-75p0_n_estimators-400_reg_lambda-25p0,xgboost,tree,4,4,True,12,4,0.0302646088721203,,,0.75,0.75,0.3125,0.039232987643054,0.0378674019199966,,0.1602925029819519,,,1.4504657817132292,0.4999999999999997,0.002423875834243,0.0070507121917597,0.0025,0.0095507121917597,,,0.1252202351721046,True
6,elastic_net__alpha-0p001_l1_ratio-0p5,elastic_net,linear,3,3,True,9,2,0.1232359636296774,,,1.0,1.0,0.25,0.0851880841981879,0.0832817287839754,,0.1734993039171988,,,1.0959937955528891,0.4999999999999996,0.0023385907568367,0.0053529119566136,0.0025,0.0078529119566136,,,0.1330964578701424,True
