horizon_months,candidate,family,category,observations,independent_observations,mean_rank_ic,rank_ic_information_ratio,rank_ic_newey_west_t_stat,rank_ic_hit_rate,independent_rank_ic_hit_rate,independent_rank_ic_sign_test_p_value,mean_horizon_gross_active_return,mean_horizon_net_active_return,annualised_net_active_return,indicative_annualised_cohort_return,active_sharpe,active_return_newey_west_t_stat,annualised_turnover,initial_funding_turnover,initial_funding_cost,annualised_transaction_cost_drag,annualised_bank_fee_drag,annualised_cost_drag,active_return_ci_lower_95,active_return_ci_upper_95,selection_score
3,extra_trees,extra_trees,tree,11,4,0.1769801220124605,,,1.0,1.0,0.0625,0.0785010792087707,0.0774686000508986,,0.3477783960419971,,,0.5308120747823497,0.4999999999999997,0.0023578238696526,0.0025493362403277,0.0025,0.0050493362403277,,,0.2908761384798119
3,huber,huber,linear,11,4,0.1348924435636405,,,1.0,1.0,0.0625,0.0548789989023061,0.0538573980697529,,0.2334666010714927,,,0.5629104881420924,0.4999999999999996,0.0022846585362541,0.002493540746197,0.0025,0.004993540746197,,,0.2423401753973254
3,supervised_alpha_ensemble,ensemble,ensemble,11,4,0.1569679188953526,,,1.0,1.0,0.0625,0.0750384405422415,0.0740049318651098,,0.3305313217777563,,,0.543758682899659,0.4999999999999996,0.0023754302957051,0.0025417981832918,0.0025,0.0050417981832918,,,0.269846222963353
3,xgb_ranker,xgb_ranker,ranker,11,4,0.0636362904232925,,,0.7272727272727273,0.5,0.6875,0.0564478510077242,0.0553888275052539,,0.2406519698990477,,,0.5893590455181243,0.4999999999999998,0.0024932079588547,0.0027372606819826,0.0025,0.0052372606819826,,,0.1693160877458797
6,hist_gradient_boosting__l2_regularization-10p0_learning_rate-0p04_max_iter-160_max_leaf_nodes-15,hist_gradient_boosting,tree,7,2,0.203228424874144,,,1.0,1.0,0.25,0.1442325121287684,0.1423850920495058,,0.3050436985369578,,,0.7573070870860422,0.4999999999999998,0.0023729364777198,0.0036180081542365,0.0025,0.0061180081542365,,,0.2312516270156601
6,huber,huber,linear,7,2,0.1671011790436024,,,1.0,1.0,0.25,0.0984566046804067,0.0967356552480354,,0.2028290974923374,,,0.4224172857548817,0.4999999999999997,0.0023088827566738,0.00197552653985,0.0025,0.00447552653985,,,0.1870609199980624
6,supervised_alpha_ensemble,ensemble,ensemble,7,2,0.1817792645154775,,,1.0,1.0,0.25,0.1435223790538699,0.141775591426747,,0.3036515011778982,,,0.4739978503478687,0.4999999999999997,0.0023679200136412,0.0022191867524381,0.0025,0.0047191867524381,,,0.2124831838686856
6,xgb_ranker,xgb_ranker,ranker,7,2,0.0847028724975538,,,0.8571428571428571,1.0,0.25,0.1225247500140549,0.1207455259643611,,0.2560705339691327,,,0.5252271729948018,0.4999999999999996,0.0024526825200795,0.0025037716555535,0.0025,0.0050037716555535,,,0.109636982258696
9,elastic_net__alpha-0p001_l1_ratio-0p5,elastic_net,linear,4,1,0.1818696355826966,,,1.0,1.0,0.5,0.2084137984976661,0.2058582454302224,,0.2834974489129187,,,0.2909117463410483,0.4999999999999996,0.0023816301019393,0.0013623286713424,0.0025,0.0038623286713424,,,0.2304250794768417
9,hist_gradient_boosting__l2_regularization-5p0_learning_rate-0p04_max_iter-160_max_leaf_nodes-7,hist_gradient_boosting,tree,4,1,0.2148551642373463,,,1.0,1.0,0.5,0.2301656637302002,0.2274723127107571,,0.3142629744410401,,,0.7058035968010394,0.4999999999999997,0.0024245217554092,0.0033955292894519,0.0025,0.0058955292894519,,,0.2646652064470252
9,supervised_alpha_ensemble,ensemble,ensemble,4,1,0.226175998228212,,,1.0,1.0,0.5,0.2503815317399827,0.2477940475670398,,0.3433542265797,,,0.3490099421411076,0.4999999999999996,0.0024262868694359,0.0016945992893413,0.0025,0.0041945992893413,,,0.2846344106985609
9,xgb_ranker,xgb_ranker,ranker,4,1,0.1685861699611429,,,1.0,1.0,0.5,0.1934595699259882,0.1908500336746297,,0.2622423997080436,,,0.3656159855246446,0.4999999999999996,0.0024864270449418,0.0018068718419684,0.0025,0.0043068718419684,,,0.2126425185245538
12,random_forest__max_depth-6_max_features-0p7_min_samples_leaf-80_n_estimators-120,random_forest,tree,1,1,0.2401168832671948,,,1.0,1.0,0.5,0.3462783593895327,0.3413087775895059,,0.3413087775895058,,,,0.4999999999999996,0.0024695818000268,,0.0025,,,,0.3254440776645713
12,ridge__alpha-100p0,ridge,linear,1,1,0.212605409290086,,,1.0,1.0,0.5,0.3434190337246934,0.3385380232891653,,0.3385380232891652,,,,0.4999999999999996,0.002381010435528,,0.0025,,,,0.2972399151123774
12,supervised_alpha_ensemble,ensemble,ensemble,1,1,0.2525230036769543,,,1.0,1.0,0.5,0.3751258399894938,0.3701763645252227,,0.3701763645252227,,,,0.4999999999999996,0.002449475464271,,0.0025,,,,0.34506709480826
12,xgb_ranker,xgb_ranker,ranker,1,1,0.1711385367599481,,,1.0,1.0,0.5,0.3269620959487887,0.3219451039653832,,0.3219451039653831,,,,0.4999999999999996,0.0025169919834055,,0.0025,,,,0.2516248127512939
