as_of_date,recommendation_class,governance_status,security_id,ticker,company_name,region,sector,action,target_weight,model_score,cost_adjusted_predicted_excess_return_3m,q05_excess_return_3m,q95_excess_return_3m
17 August 2026,governed_target,actionable_after_pre_trade_review,ALV.XETRA,ALV.XETRA,Allianz SE VNA O.N.,DACH,Financials,Buy,0.0499999999999999,64.0,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),DACH,Consumer Staples,Buy,0.0499999999999999,63.80831744175924,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,NOVN.SW,NOVN.SW,Novartis AG,DACH,Healthcare,Reduce,0.0499999999999999,62.083889079510406,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,EU ex-DACH,Consumer Staples,Buy,0.0499999999999999,64.75429574911064,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,CA.PA,CA.PA,Carrefour SA,EU ex-DACH,Consumer Staples,Buy,0.0499999999999999,64.0,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,ELE.MC,ELE.MC,Endesa SA,EU ex-DACH,Utilities,Buy,0.0499999999999999,57.52635596020822,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,ESSITY-B.ST,ESSITY-B.ST,Essity AB (publ),EU ex-DACH,Consumer Staples,Buy,0.0499999999999999,59.18010231676645,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,ORA.PA,ORA.PA,Orange S.A.,EU ex-DACH,Communication Services,Buy,0.0499999999999999,64.0,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,SHELL.AS,SHELL.AS,Shell PLC,EU ex-DACH,Energy,Buy,0.0499999999999999,64.0,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,0728.HK,0728.HK,China Telecom,Hong Kong,Communication Services,Buy,0.0499999999999999,64.0,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,1113.HK,1113.HK,CK Asset Holdings Ltd,Hong Kong,Real Estate,Buy,0.0499999999999999,64.0,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,3988.HK,3988.HK,Bank of China Ltd H,Hong Kong,Financials,Buy,0.0499999999999999,64.57608182584445,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,000333.SHE,000333.SHE,Midea Group Co Ltd,Mainland China,Consumer Discretionary,Buy,0.0499999999999999,70.0164388611297,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,Mainland China,Healthcare,Buy,0.0499999999999999,60.79245094644907,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,600018.SHG,600018.SHG,Shanghai International Port Group Co Ltd,Mainland China,Industrials,Buy,0.0499999999999999,57.10748551809813,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,600036.SHG,600036.SHG,China Merchants Bank Co Ltd,Mainland China,Financials,Buy,0.0499999999999999,65.19755558744342,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,601816.SHG,601816.SHG,Beijing-Shanghai High Speed Railway Co Ltd,Mainland China,Industrials,Buy,0.0499999999999999,63.06030012602536,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,601818.SHG,601818.SHG,China Everbright Bank Co Ltd,Mainland China,Financials,Buy,0.0499999999999999,60.98372019808081,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,IMB.LSE,IMB.LSE,Imperial Brands PLC,UK,Consumer Staples,Buy,0.0499999999999999,64.0,,,
17 August 2026,governed_target,actionable_after_pre_trade_review,HIG.US,HIG.US,Hartford Financial Services Group,US,Financials,Buy,0.0499999999999999,69.84803022964932,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,ALV.XETRA,ALV.XETRA,Allianz SE VNA O.N.,DACH,Financials,Research review,0.05,68.15701153267591,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,DHL.XETRA,DHL.XETRA,Deutsche Post AG,DACH,Industrials,Research review,0.05,67.36706966033391,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),DACH,Consumer Staples,Research review,0.05,73.47098445595854,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,EU ex-DACH,Consumer Staples,Research review,0.05,67.6826,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,CA.PA,CA.PA,Carrefour SA,EU ex-DACH,Consumer Staples,Research review,0.05,70.1722,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,DG.PA,DG.PA,Vinci S.A.,EU ex-DACH,Industrials,Research review,0.05,66.97809411764706,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,ORA.PA,ORA.PA,Orange S.A.,EU ex-DACH,Communication Services,Research review,0.05,68.844,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,PUB.PA,PUB.PA,Publicis Groupe SA,EU ex-DACH,Communication Services,Research review,0.05,68.968,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,000333.SHE,000333.SHE,Midea Group Co Ltd,Mainland China,Consumer Discretionary,Research review,0.05,69.0865010546051,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,002415.SHE,002415.SHE,Hangzhou Hikvision Digital Technology Co Ltd,Mainland China,Technology,Research review,0.05,68.64114576178046,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,600036.SHG,600036.SHG,China Merchants Bank Co Ltd,Mainland China,Financials,Research review,0.05,65.68719165889632,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,600406.SHG,600406.SHG,NARI Technology Co Ltd,Mainland China,Industrials,Research review,0.05,68.04112331163152,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,GSK.LSE,GSK.LSE,GSK plc,UK,Healthcare,Research review,0.05,66.8554945054945,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,IMB.LSE,IMB.LSE,Imperial Brands PLC,UK,Consumer Staples,Research review,0.05,68.27403846153845,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,NXT.LSE,NXT.LSE,Next PLC,UK,Consumer Discretionary,Research review,0.05,69.48311965811965,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,SHEL.LSE,SHEL.LSE,Shell plc,UK,Energy,Research review,0.05,68.93173076923077,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,ABT.US,ABT.US,Abbott Laboratories,US,Healthcare,Research review,0.05,68.19855072463767,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,CVX.US,CVX.US,Chevron Corp,US,Energy,Research review,0.05,68.9147509578544,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,LOW.US,LOW.US,Lowe's Companies Inc,US,Consumer Discretionary,Research review,0.05,68.78333333333333,,,
17 August 2026,regional_alpha_challenger,research_only_not_an_order,T.US,T.US,AT&T Inc.,US,Communication Services,Research review,0.05,66.2375,,,
17 August 2026,supervised_research_watchlist,research_only_not_a_buy_order,NA9.XETRA,NA9.XETRA,Nagarro SE,DACH,Technology,Research review,,99.63730569948186,0.0415340415898292,-0.3279232486403188,0.4130204567446738
17 August 2026,supervised_research_watchlist,research_only_not_a_buy_order,SESG.PA,SESG.PA,SES S. A.,EU ex-DACH,Communication Services,Research review,,99.16,0.0372847464011436,-0.3145979669178556,0.408355423925341
17 August 2026,supervised_research_watchlist,research_only_not_a_buy_order,0354.HK,0354.HK,ChinaSoft International Ltd,Hong Kong,Technology,Research review,,99.43548387096774,0.04525429066394,-0.3245427588751484,0.4326744595978368
