security_id,ticker,baseline_weight,raw_drl_weight_x,projected_drl_weight,accepted_blended_weight,acceptance_status,baseline_optimiser_weight,raw_drl_residual,raw_drl_weight_y,eligibility_mask_adjustment,single_name_cap_adjustment,sector_cap_adjustment,country_cap_adjustment,currency_cap_adjustment,liquidity_adjustment,turnover_adjustment,regime_throttle_adjustment,final_projected_weight,human_readable_explanation
OR.PA,OR.PA,0.0,0.0,0.0002395510772228,0.0,Rejected - Baseline Fallback,0.0,-0.0049970953262521,0.0,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0002395510772228,"DRL proposed a 0.5 percentage-point decrease in OR.PA.

Positive drivers:
- strong 12-month expected return distribution

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 0.0%
- after single-name cap: 0.0%
- after country cap: 0.0%
- final executable weight: 0.0%

Attributions are model attributions and should not be interpreted as causal relationships."
NESN.SW,NESN.SW,0.0,0.0,0.0,0.0,Rejected - Baseline Fallback,0.0,-0.0049957287941312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"DRL proposed a 0.5 percentage-point decrease in NESN.SW.

Positive drivers:
- strong 12-month expected return distribution

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 0.0%
- after single-name cap: 0.0%
- after country cap: 0.0%
- final executable weight: 0.0%

Attributions are model attributions and should not be interpreted as causal relationships."
NOVN.SW,NOVN.SW,0.05,0.0434936380725122,0.0453642594420217,0.05,Rejected - Baseline Fallback,0.05,0.0013771581891613,0.0434936380725122,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0453642594420217,"DRL proposed a 0.1 percentage-point increase in NOVN.SW.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.3%
- after single-name cap: 4.3%
- after country cap: 4.3%
- final executable weight: 4.5%

Attributions are model attributions and should not be interpreted as causal relationships."
000333.SHE,000333.SHE,0.05,0.0442836516614002,0.0461496542128659,0.05,Rejected - Baseline Fallback,0.05,0.0022649574367498,0.0442836516614002,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0461496542128659,"DRL proposed a 0.2 percentage-point increase in 000333.SHE.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.4%
- after single-name cap: 4.4%
- after country cap: 4.4%
- final executable weight: 4.6%

Attributions are model attributions and should not be interpreted as causal relationships."
3988.HK,3988.HK,0.05,0.0460171949957439,0.0457641029481464,0.05,Rejected - Baseline Fallback,0.05,0.0042130738863147,0.0460171949957439,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0457641029481464,"DRL proposed a 0.4 percentage-point increase in 3988.HK.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.6%
- after single-name cap: 4.6%
- after country cap: 4.6%
- final executable weight: 4.6%

Attributions are model attributions and should not be interpreted as causal relationships."
600036.SHG,600036.SHG,0.05,0.0464740284305964,0.0462158216313812,0.05,Rejected - Baseline Fallback,0.05,0.0047264528780688,0.0464740284305964,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0462158216313812,"DRL proposed a 0.5 percentage-point increase in 600036.SHG.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.6%
- after single-name cap: 4.6%
- after country cap: 4.6%
- final executable weight: 4.6%

Attributions are model attributions and should not be interpreted as causal relationships."
AD.AS,AD.AS,0.05,0.0442880036707431,0.0461539807782072,0.05,Rejected - Baseline Fallback,0.05,0.0022698481255614,0.0442880036707431,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0461539807782072,"DRL proposed a 0.2 percentage-point increase in AD.AS.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.4%
- after single-name cap: 4.4%
- after country cap: 4.4%
- final executable weight: 4.6%

Attributions are model attributions and should not be interpreted as causal relationships."
PG.US,PG.US,0.05,0.0432600480919361,0.0451320351461387,0.05,Rejected - Baseline Fallback,0.05,0.0011146550981808,0.0432600480919361,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0451320351461387,"DRL proposed a 0.1 percentage-point increase in PG.US.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.3%
- after single-name cap: 4.3%
- after country cap: 4.3%
- final executable weight: 4.5%

Attributions are model attributions and should not be interpreted as causal relationships."
SHEL.US,SHEL.US,0.05,0.0445089040287369,0.0463735896404311,0.05,Rejected - Baseline Fallback,0.05,0.0025180909081887,0.0445089040287369,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0463735896404311,"DRL proposed a 0.3 percentage-point increase in SHEL.US.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.5%
- after single-name cap: 4.5%
- after country cap: 4.5%
- final executable weight: 4.6%

Attributions are model attributions and should not be interpreted as causal relationships."
LI.PA,LI.PA,0.05,0.0438486022607321,0.0457171483305136,0.05,Rejected - Baseline Fallback,0.05,0.0017760588456248,0.0438486022607321,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0457171483305136,"DRL proposed a 0.2 percentage-point increase in LI.PA.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.4%
- after single-name cap: 4.4%
- after country cap: 4.4%
- final executable weight: 4.6%

Attributions are model attributions and should not be interpreted as causal relationships."
HEN3.XETRA,HEN3.XETRA,0.05,0.0418702553712861,0.0437503678568814,0.05,Rejected - Baseline Fallback,0.05,-0.0004471622541432,0.0418702553712861,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0437503678568814,"DRL proposed a 0.0 percentage-point decrease in HEN3.XETRA.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.2%
- after single-name cap: 4.2%
- after country cap: 4.2%
- final executable weight: 4.4%

Attributions are model attributions and should not be interpreted as causal relationships."
0823.HK,0823.HK,0.05,0.043473460664012,0.0453442000010509,0.05,Rejected - Baseline Fallback,0.05,0.0013544832778221,0.043473460664012,0.0110143885530621,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0453442000010509,"DRL proposed a 0.1 percentage-point increase in 0823.HK.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.3%
- after single-name cap: 4.3%
- after country cap: 4.3%
- final executable weight: 4.5%

Attributions are model attributions and should not be interpreted as causal relationships."
