ticker,portfolio_aware_recommendation,clean_sheet_recommendation,llm_recommendation,branch_classification,recommendation_agreement,score_dispersion,portfolio_aware_rank,clean_sheet_rank,llm_score,disagreement_flag,final_review_required,target_weight_portfolio_aware,clean_sheet_target_weight,passes_hard_filters,dividend_safety_score,cash_flow_quality_score,balance_sheet_strength_score,final_recommendation_score,risk_management_flags,recommendation,final_target_weight,confidence_adjustment,baseline_weight,raw_drl_weight,projected_drl_weight,accepted_target_weight,acceptance_selected_weights_source,drl_challenger_status,final_selected_weights_source,drl_rejection_reasons,final_selected_weight,target_weight,security_id,issuer_id,company_name,country,region,sector,industry,currency,average_daily_value_usd,market_cap_usd,dividend_yield,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,regime_suitability_score,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,price_data_quality_score,price_data_exclusion_flag,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,portfolio_method,final_weight,source
000333.SHE,Buy,Buy,Hold,Reject,0.6666666666666666,6.076646484822244,3,4,62.723519471146616,True,True,0.05,0.05,True,68.29395415216203,64.82944938448617,94.78087851272028,70.64707669691002,narrative_review;,Hold,0.0,Review required or no LLM support,0.05,0.0442836516614002,0.0461496542128659,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,000333.SHE,NAME:mideagroupcoltd,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,"Furnishings, Fixtures & Appliances",CNY,457035391.3178432,94144678368.21568,0.0504,0.35,0.0504,0.1898108212580659,-0.1391721448037784,0.35,0.7690006288669202,0.0073292569603072,-0.0591045304800158,-0.0591045304800158,0.295166429618148,0.2682521114999183,72.33369707736512,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
000538.SHE,Buy,Buy,Hold,Reject,0.6666666666666666,5.455728200129286,196,20,57.84054317258489,True,True,0.0378371956792439,0.05,True,57.88551450912965,58.08751186281082,95.69367267773129,63.37662145808946,narrative_review;,Hold,0.0,Review required or no LLM support,0.05,0.0429562143773822,0.0448299777979256,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,000538.SHE,NAME:yunnanbaiyaogroupcoltd,Yunnan Baiyao Group Co Ltd,China,Mainland China,Healthcare,Drug Manufacturers - Specialty & Generic,CNY,77385621.70982617,13386716764.810217,0.0312,0.35,0.0312,0.1446015267728217,-0.0146331591014768,0.35,0.6649228333056835,0.0894203655173656,0.038809831146878,0.038809831146878,0.2364019851737035,0.2723438662654692,53.76563621228952,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
0823.HK,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,5.888084061071676,139,113,60.63890064822208,True,True,0.0488032913156846,0.0,True,66.64716110374123,72.49017139983539,72.8735892098102,61.00868305496552,narrative_review;ml_drawdown_risk;,Hold,0.0,Review required or no LLM support,0.05,0.043473460664012,0.0453442000010509,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,0823.HK,NAME:linkrealestateinvestmenttrust,Link Real Estate Investment Trust,Hong Kong,Hong Kong,Real Estate,REIT - Retail,HKD,54522449.85666051,12840771339.236795,0.0654,0.35,0.0654,0.1973293814496061,-0.1614148818556847,0.35,0.7859589778800746,-0.0066942897958139,-0.0757595733031761,-0.0757595733031761,0.2399575407292591,0.3076083831103472,64.20382450328518,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
3988.HK,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,5.882095053787757,10,45,64.21457002503843,True,True,0.05,0.0,True,77.8001506974693,89.39155249133542,42.50713266761769,64.0,narrative_review;,Hold,0.0,Review required or no LLM support,0.05,0.0460171949957439,0.0457641029481464,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,3988.HK,NAME:bankofchinaltdh,Bank of China Ltd H,Hong Kong,Hong Kong,Financials,Banks - Diversified,HKD,154213929.70758748,214712469258.58444,0.0484,0.35,0.0484,0.1885569340696135,-0.1340184769722858,0.35,0.7650155239687948,0.0096459477711262,-0.0563489791532384,-0.0563489791532384,0.2469432753940237,0.2878287899696677,82.18369040459928,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
600018.SHG,Hold,Hold,Hold,Reject,1.0,9.275448813146708,570,82,45.31312409291437,False,False,0.0,0.0,True,46.70392405992623,56.05836643460581,73.16807870779226,57.17570663440752,narrative_review;,Watchlist,0.0,Review required or no LLM support,0.05,0.0392407237469875,0.0411362098029672,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,600018.SHG,NAME:shanghaiinternationalportgroupcoltd,Shanghai International Port Group Co Ltd,China,Mainland China,Industrials,Marine Shipping,CNY,43304990.35118837,17755201021.638878,0.0375,0.2970083969816144,0.0375,0.1488776936590294,-0.0810793694363232,0.2970083969816144,0.6223420866697128,0.0285047827754956,-0.0236024100051646,-0.0236024100051646,0.2575256188417568,0.2729213700167606,45.05179424836362,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
600036.SHG,Buy,Buy,Hold,Reject,0.6666666666666666,5.847515450742454,5,18,63.19133732839258,True,True,0.05,0.05,True,73.29416557485854,95.48775947889516,42.50713266761769,65.9170585470536,narrative_review;,Hold,0.0,Review required or no LLM support,0.05,0.0464740284305964,0.0462158216313812,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,600036.SHG,NAME:chinamerchantsbankcoltd,China Merchants Bank Co Ltd,China,Mainland China,Financials,Banks - Regional,CNY,542763029.738678,144633145484.21426,0.1031,0.35,0.1031,0.1665442861478496,-0.0778732753256787,0.35,0.7163413647339931,0.0493003064636378,-0.0089901936881095,-0.0089901936881095,0.2904988309495793,0.2716176764648145,86.59090374292659,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
601816.SHG,Buy,Buy,Hold,Reject,0.6666666666666666,6.769015219365045,97,7,58.01344632836236,True,True,0.05,0.05,True,56.43287358154729,82.392623618073,70.0176424469945,66.264185563239,narrative_review;,Hold,0.0,Review required or no LLM support,0.05,0.0438733684726894,0.0457417697467467,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,601816.SHG,NAME:beijingshanghaihighspeedrailwaycoltd,Beijing-Shanghai High Speed Railway Co Ltd,China,Mainland China,Industrials,Railroads,CNY,144225099.18410784,36446941279.41351,0.0264,0.35,0.0264,0.1512950817700581,-0.0379820560113446,0.35,0.6821093555399864,0.0768193229863812,0.0238660443668608,0.0238660443668608,0.2932908740625924,0.2709754157542854,65.61455853528193,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
601818.SHG,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,7.012738736557785,52,54,57.53721069837529,True,True,0.05,0.0,True,75.50347062461482,82.52148148745519,42.50713266761769,60.55406228497199,narrative_review;,Hold,0.0,Review required or no LLM support,0.05,0.045656070127724,0.0454050927642081,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,601818.SHG,NAME:chinaeverbrightbankcoltd,China Everbright Bank Co Ltd,China,Mainland China,Financials,Banks - Regional,CNY,91150868.40782782,26636355322.21828,0.0572,0.35,0.0572,0.1620859116783879,-0.0675760833801208,0.35,0.7063625811905359,0.0571041408667276,0.0003740717792918,0.0003740717792918,0.2616099420606904,0.2943349756092975,79.17942441904314,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
AD.AS,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,3.0637985330968385,395,29,59.599918874960906,True,True,0.05,0.0,True,70.2906274053898,72.85359105765579,48.819984828888686,65.09805454662451,narrative_review;,Hold,0.0,Review required or no LLM support,0.05,0.0442880036707431,0.0461539807782072,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,AD.AS,NAME:koninklijkeaholddelhaizenv,Koninklijke Ahold Delhaize NV,Netherlands,EU ex-DACH,Consumer Staples,Grocery Stores,EUR,94561549.74311069,33767453676.763763,0.0424,0.35,0.0424,0.2074894153793908,-0.1855556393621061,0.35,0.8083185623193712,-0.0247036913110134,-0.0973249866938002,-0.0973249866938002,0.2425894760262542,0.2953314326312387,73.62097779445419,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
ALV.XETRA,Buy,Buy,Hold,Reject,0.6666666666666666,6.146316533612835,39,2,60.70538023338483,True,True,0.05,0.05,True,71.62295404055709,86.73431595222107,42.50713266761769,68.89547209285382,narrative_review;,Hold,0.0,Review required or no LLM support,0.05,0.0455814227121902,0.0453308824719627,0.05,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('turnover_exceeds_hard_limit',)",0.05,0.05,ALV.XETRA,NAME:allianzsevnaon,Allianz SE VNA O.N.,Germany,DACH,Financials,Insurance - Diversified,EUR,292144519.087274,188344719773.0716,0.0392,0.35,0.0392,0.1877687089703354,-0.1276759357356796,0.35,0.7620662381835979,0.0115460131165656,-0.0541730350230518,-0.0541730350230518,0.2469432753940237,0.2707506905256276,80.75277000549312,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.05,explicit_final_portfolio
