security_id,ticker,company_name,target_weight,current_weight,sector,country,region,currency,contribution_to_expected_return,contribution_to_dividend_income,contribution_to_volatility,contribution_to_var_5,contribution_to_cvar_5,contribution_to_expected_shortfall_5,contribution_to_drawdown_risk,contribution_to_dividend_cut_risk,contribution_to_tail_risk,contribution_to_liquidity_risk,contribution_to_regime_risk,contribution_to_narrative_risk,contribution_to_alt_data_risk,risk_contribution_rank,risk_commentary,risk_rank,cvar_rank,drawdown_rank
SHEL.US,SHEL.US,Shell PLC ADR,0.05,0.0,Energy,United States,US,USD,0.0175,0.00178,0.010992908778347,-0.0023404025957708,-0.0061879206681923,-0.0061879206681923,0.0147660018209292,0.0113478770364629,0.0088398866688461,0.0037089871611982,0.0094715948467437,0.0405000066849179,0.0167729166666666,2,High narrative/regime risk contribution despite attractive yield.,2,2,2
SBRY.LSE,SBRY.LSE,J Sainsbury PLC,0.05,0.0,Consumer Staples,United Kingdom,UK,GBX,0.0175,0.001925,0.0106363368795053,-0.0018060518450142,-0.0055287697528411,-0.0055287697528411,0.0154762832800645,0.0169464515450013,0.0078982425040588,0.0237517831669044,0.0157279988756176,0.0416486880210382,0.0194479166666666,3,High narrative/regime risk contribution despite attractive yield.,3,3,3
0823.HK,0823.HK,Link Real Estate Investment Trust,0.05,0.0,Real Estate,Hong Kong,Hong Kong,HKD,0.0175,0.00327,0.0098664690724803,-0.0003347144897906,-0.0037879786651588,-0.0037879786651588,0.0153804191555173,0.0119978770364629,0.005411398093084,0.0241440798858773,0.0178980877483574,0.0420377090691136,0.0216979166666666,5,High narrative/regime risk contribution despite attractive yield.,5,5,5
AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,0.05,0.0,Consumer Staples,Netherlands,EU ex-DACH,EUR,0.0175,0.00212,0.0103744707689695,-0.0012351845655506,-0.00486624933469,-0.00486624933469,0.0147665716315619,0.0121294738013127,0.0069517847638428,0.0191868758915834,0.0131895111027729,0.0433593421272168,0.0137395833333333,4,High narrative/regime risk contribution despite attractive yield.,4,4,4
HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),0.05,0.0,Consumer Staples,Germany,DACH,EUR,0.0175,0.00135,0.009762867990866,-0.0001394820340725,-0.0035564858308756,-0.0035564858308756,0.0151178713439539,0.0119978770364629,0.0050806940441081,0.0271398002853067,0.0223898430751593,0.045113113837505,0.03328125,6,High narrative/regime risk contribution despite attractive yield.,6,6,6
PG.US,PG.US,Procter & Gamble Company,0.05,0.0,Consumer Staples,United States,US,USD,0.0175,0.001485,0.0098179878185007,-0.0001867466790525,-0.0036230424155277,-0.0036230424155277,0.0136238861649459,0.0113478770364629,0.0051757748793254,0.0010342368045649,0.0178739577413274,0.0427747515571207,0.0167729166666666,7,High narrative/regime risk contribution despite attractive yield.,7,7,7
ALV.XETRA,ALV.XETRA,Allianz SE VNA O.N.,0.05,0.0,Financials,Germany,DACH,EUR,0.0175,0.00196,0.0093884354485167,0.0005773006558282,-0.0027086517511525,-0.0027086517511525,0.0135375345262813,0.0123471637697011,0.0038695025016465,0.009700427960057,0.0096236149972534,0.045113113837505,0.02128125,11,High narrative/regime risk contribution despite attractive yield.,11,11,11
NOVN.SW,NOVN.SW,Novartis AG,0.05,0.10951080208592,Healthcare,Switzerland,DACH,CHF,0.0175,0.001485,0.0096568664515639,8.451099860425363e-05,-0.0032953922594431,-0.0032953922594431,0.0136238762012512,0.0128598770364629,0.0047077032277759,0.0065620542082738,0.0180917896917816,0.0420377090691136,0.0128354166666666,8,High narrative/regime risk contribution despite attractive yield.,8,8,8
3988.HK,3988.HK,Bank of China Ltd H,0.05,0.0,Financials,Hong Kong,Hong Kong,HKD,0.0175,0.00242,0.0094278467034806,0.0004822973885563,-0.0028174489576619,-0.0028174489576619,0.0143914394984833,0.0123471637697011,0.0040249270823741,0.0148716119828816,0.0089081547977003,0.0358868995323307,0.0194479166666666,9,High narrative/regime risk contribution despite attractive yield.,9,9,9
000333.SHE,000333.SHE,Midea Group Co Ltd,0.05,0.0,Consumer Discretionary,China,Mainland China,CNY,0.0175,0.00252,0.0094905410629032,0.0003664628480153,-0.0029552265240007,-0.0029552265240007,0.0134126055749959,0.0147583214809074,0.0042217521771439,0.0055634807417974,0.0138331514613174,0.0420377090691136,0.0236145833333333,10,High narrative/regime risk contribution despite attractive yield.,10,10,10
