ticker,portfolio_aware_recommendation,clean_sheet_recommendation,llm_recommendation,branch_classification,recommendation_agreement,score_dispersion,portfolio_aware_rank,clean_sheet_rank,llm_score,disagreement_flag,final_review_required,target_weight_portfolio_aware,clean_sheet_target_weight,passes_hard_filters,dividend_safety_score,cash_flow_quality_score,balance_sheet_strength_score,final_recommendation_score,risk_management_flags,final_recommendation,final_target_weight,confidence_adjustment,baseline_weight,raw_drl_weight,projected_drl_weight,accepted_target_weight,acceptance_selected_weights_source,drl_challenger_status,final_selected_weights_source,drl_rejection_reasons,final_selected_weight,target_weight,security_id,issuer_id,company_name,country,region,sector,industry,currency,average_daily_value_usd,market_cap_usd,dividend_yield,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,regime_suitability_score,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,price_data_quality_score,price_data_exclusion_flag,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,portfolio_method,final_weight
000001.SHE,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,7.26052153384719,20.0,26.0,58.20223284892464,True,True,0.05,0.0,True,76.74571033238814,83.83061238612993,42.50712758374911,61.967897455929574,narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.04536245411510051,0.045472497955668024,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,000001.SHE,NAME:pinganbankcoltd,Ping An Bank Co Ltd,China,Mainland China,Financials,Banks - Regional,CNY,179759218.654418,32096518992.55055,0.0529,0.35,0.0529,0.15721659687908787,-0.05149999870575306,0.35,0.6948289549722788,0.06634972505969544,0.011323916152014689,0.011323916152014689,0.29049670574810027,0.2628478996722762,83.5181618380037,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
000333.SHE,Buy,Buy,Hold,Reject,0.6666666666666666,4.0116718282046495,3.0,3.0,66.93719245179113,True,True,0.05,0.05,True,66.60926512986634,63.39903187461339,94.77432546976944,71.40586758194387,narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.04429398454108778,0.046172759291094254,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,000333.SHE,NAME:mideagroupcoltd,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,"Furnishings, Fixtures & Appliances",CNY,427706026.9678665,94144678368.21568,0.0504,0.35,0.0504,0.1915301483543236,-0.13785424938429314,0.35,0.7706931082049648,0.0047392303358715915,-0.06229632158814166,-0.06229632158814166,0.2501642942489318,0.2702724814172771,71.23198834071337,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
000538.SHE,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,4.040731266109134,324.0,30.0,58.24708875084165,True,True,0.03364995961248093,0.0,True,48.413752748122484,55.05068725013675,95.68847056978876,62.0683123848469,narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.042506862669328134,0.044397193645929145,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,000538.SHE,NAME:yunnanbaiyaogroupcoltd,Yunnan Baiyao Group Co Ltd,China,Mainland China,Healthcare,Drug Manufacturers - Specialty & Generic,CNY,79516452.49197762,13386716764.810217,0.031200000000000002,0.35,0.031200000000000002,0.14120623907665739,-0.0039407340645410405,0.35,0.6567410126664244,0.09573101285073643,0.04630882917390635,0.04630882917390635,0.22695540536004288,0.267117370146783,50.61551909263403,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
002352.SHE,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,4.243933298560935,128.0,24.0,60.94464003033691,True,True,0.05,0.0,True,61.470081740020184,59.52570313307799,77.64637740703228,64,narrative_review;ml_drawdown_risk;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.042287929756789806,0.04417967643936176,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,002352.SHE,NAME:sfholdingcoltd,S.F. Holding Co. Ltd,China,Mainland China,Industrials,Integrated Freight & Logistics,CNY,110662326.33785596,25915624963.9352,0.0264,0.35,0.0264,0.20044924523887248,-0.17088147378599072,0.35,0.7931902339456727,-0.012512163599650794,-0.08266939943325616,-0.08266939943325616,0.22695540536004288,0.3190571297766337,69.03056567244255,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
0823.HK,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,6.2016886868563805,110.0,112.0,65.2473193630912,True,True,0.0487133291051522,0.0,True,66.64652497415327,72.32394912894821,72.87237941726544,62.14816391107803,narrative_review;ml_drawdown_risk;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.04364697332735488,0.045529931903622776,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,0823.HK,NAME:linkrealestateinvestmenttrust,Link Real Estate Investment Trust,Hong Kong,Hong Kong,Real Estate,REIT - Retail,HKD,51149523.46024388,12840771339.236797,0.0654,0.35,0.0654,0.20071731532910267,-0.17052020455215766,0.35,0.7935034222169197,-0.01287117231758178,-0.08312223268276771,-0.08312223268276771,0.22695540536004288,0.315070364580877,63.832342187140384,yahoo_finance,observed_price_volume_fx,yahoo_finance,yahoo_finance_timeseries,False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
600036.SHG,Buy,Buy,Hold,Reject,0.6666666666666666,6.597015354940783,5.0,18.0,61.395273294083964,True,True,0.05,0.05,True,75.69237115787838,88.6196429069224,42.50712758374911,64.90018227828114,alt_data_review;narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.045830699619382256,0.045936339196304195,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,600036.SHG,NAME:chinamerchantsbankcoltd,China Merchants Bank Co Ltd,China,Mainland China,Financials,Banks - Regional,CNY,520194234.70063996,144633145484.21426,0.10310000000000001,0.35,0.10310000000000001,0.16940325520256289,-0.0846298598009072,0.35,0.7225347977557612,0.04421612624505128,-0.015075013075845724,-0.015075013075845724,0.2869411501925447,0.27017311703472596,87.3262572039032,yahoo_finance,observed_price_volume_fx,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
601816.SHG,Buy,Buy,Hold,Reject,0.6666666666666666,7.718136268691282,303.0,16.0,52.810278561299434,True,True,0.043905477327703314,0.05,True,43.251110992820784,80.42905100753663,70.01524705775586,62.996390303472936,narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.04298285117793542,0.04487010422674127,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,601816.SHG,NAME:beijingshanghaihighspeedrailwaycoltd,Beijing-Shanghai High Speed Railway Co Ltd,China,Mainland China,Industrials,Railroads,CNY,130035306.2602284,36446941279.413506,0.0264,0.35,0.0264,0.1534460617408346,-0.04328376341950019,0.35,0.686845476659074,0.07297430577717695,0.01926818416788484,0.01926818416788484,0.2932887386933762,0.269312496113787,60.68314900429411,yahoo_finance,observed_price_volume_fx,yahoo_finance,"eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
AD.AS,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,1.4135407948287666,332.0,21.0,63.15606426353695,True,True,0.05,0.0,True,72.83662740862027,70.23098987484578,48.816613540330586,65.87109137315406,narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.04443457709618844,0.046312442720200415,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,AD.AS,NAME:koninklijkeaholddelhaizenv,Koninklijke Ahold Delhaize NV,Netherlands,EU ex-DACH,Consumer Staples,Grocery Stores,EUR,94561549.74311069,33767453676.763763,0.0424,0.35,0.0424,0.20748941537939083,-0.18470264914740164,0.35,0.8079459654637821,-0.024640361017200074,-0.09726165639998686,-0.09726165639998686,0.2331496387897098,0.2975260158839033,74.5911802487548,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
ALV.XETRA,Buy,Buy,Hold,Reject,0.6666666666666666,3.335988810862749,25.0,2.0,66.04784557626287,True,True,0.05,0.05,True,70.885121430122,86.35334186323452,42.50712758374911,70.44968496151667,narrative_review;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.04536040618280655,0.04547046329743947,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,ALV.XETRA,NAME:allianzsevnaon,Allianz SE VNA O.N.,Germany,DACH,Financials,Insurance - Diversified,EUR,292144519.087274,188344719773.07162,0.0392,0.35,0.0392,0.18776870897033549,-0.1281566215539368,0.35,0.7621295888882553,0.011476907310030815,-0.0542421408295866,-0.0542421408295866,0.24194115019254464,0.275480545374204,80.67579392605944,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
CA.PA,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,3.6815749041904033,398.0,20.0,58.61446119684143,True,True,0.05,0.0,True,76.68350167437004,65.25613188173676,75.88260523145446,64,narrative_review;ml_downside_tail_risk;ml_asymmetric_downside;,Hold,0.0,Review required or no LLM support,0.049999999999999996,0.04395188232771757,0.045832869243619644,0.049999999999999996,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('insufficient_prospective_shadow_cycles',)",0.049999999999999996,0.049999999999999996,CA.PA,NAME:carrefoursa,Carrefour SA,France,EU ex-DACH,Consumer Staples,Grocery Stores,EUR,43057179.121905655,12780123334.206718,0.061,0.35,0.061,0.21845492257091603,-0.23059376823953803,0.35,0.8390221177769676,-0.04601927822496177,-0.12247850112478237,-0.12247850112478237,0.3306345909330504,0.2996544496531479,73.45005951332816,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.049999999999999996
