country,current_weight,target_weight,weight_change
China,0.0,0.2999999999999994,0.2999999999999994
Hong Kong,0.0,0.1499999999999997,0.1499999999999997
France,0.0,0.0999999999999998,0.0999999999999998
Germany,0.0,0.0999999999999998,0.0999999999999998
Netherlands,0.0,0.0999999999999998,0.0999999999999998
Spain,0.0,0.0499999999999999,0.0499999999999999
Sweden,0.0,0.0499999999999999,0.0499999999999999
Switzerland,0.10951080208592004,0.0499999999999999,-0.05951080208592014
United Kingdom,0.0,0.0499999999999999,0.0499999999999999
United States,0.0,0.0499999999999999,0.0499999999999999
,0.89048919791408,0.0,-0.89048919791408
