security_id,ticker,baseline_weight,raw_drl_weight_x,projected_drl_weight,accepted_blended_weight,acceptance_status,baseline_optimiser_weight,raw_drl_residual,raw_drl_weight_y,eligibility_mask_adjustment,single_name_cap_adjustment,sector_cap_adjustment,country_cap_adjustment,currency_cap_adjustment,liquidity_adjustment,turnover_adjustment,regime_throttle_adjustment,final_projected_weight,human_readable_explanation
OR.PA,OR.PA,0.0,0.0,0.0,0.0,Rejected - Baseline Fallback,0.0,0.0,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"DRL proposed a 0.0 percentage-point increase in OR.PA.

Positive drivers:
- strong 12-month expected return distribution

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 0.0%
- after single-name cap: 0.0%
- after country cap: 0.0%
- final executable weight: 0.0%

Attributions are model attributions and should not be interpreted as causal relationships."
NESN.SW,NESN.SW,0.0,0.0,0.0,0.0,Rejected - Baseline Fallback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,"DRL proposed a 0.0 percentage-point increase in NESN.SW.

Positive drivers:
- portfolio fit and risk-adjusted score influenced the model allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 0.0%
- after single-name cap: 0.0%
- after country cap: 0.0%
- final executable weight: 0.0%

Attributions are model attributions and should not be interpreted as causal relationships."
NOVN.SW,NOVN.SW,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in NOVN.SW.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
000333.SHE,000333.SHE,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in 000333.SHE.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
IMB.LSE,IMB.LSE,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in IMB.LSE.

Positive drivers:
- strong 12-month expected return distribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
1113.HK,1113.HK,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in 1113.HK.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
0728.HK,0728.HK,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in 0728.HK.

Positive drivers:
- strong 12-month expected return distribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
ALV.XETRA,ALV.XETRA,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in ALV.XETRA.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
ELE.MC,ELE.MC,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in ELE.MC.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
ESSITY-B.ST,ESSITY-B.ST,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in ESSITY-B.ST.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
600018.SHG,600018.SHG,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in 600018.SHG.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
000538.SHE,000538.SHE,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in 000538.SHE.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
CA.PA,CA.PA,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in CA.PA.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
HEN3.XETRA,HEN3.XETRA,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in HEN3.XETRA.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- no dominant negative model attribution exceeded the reporting threshold

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
ORA.PA,ORA.PA,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in ORA.PA.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
601816.SHG,601816.SHG,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in 601816.SHG.

Positive drivers:
- strong 12-month expected return distribution
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
SHELL.AS,SHELL.AS,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in SHELL.AS.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
600036.SHG,600036.SHG,0.05,0.0475,0.0475,0.05,Rejected - Baseline Fallback,0.05,0.0,0.0475,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0475,"DRL proposed a 0.0 percentage-point increase in 600036.SHG.

Positive drivers:
- strong 12-month expected return distribution
- high dividend safety had high attribution
- regime suitability contributed to the model allocation
- low contribution to portfolio CVaR was associated with the allocation

Negative drivers:
- dividend-cut risk was associated with lower allocation confidence

Constraint projection:
- raw target weight: 4.8%
- after single-name cap: 4.8%
- after country cap: 4.8%
- final executable weight: 4.8%

Attributions are model attributions and should not be interpreted as causal relationships."
