row_type,seed,total_net_return,sharpe,information_ratio,cvar,expected_shortfall,maximum_drawdown,turnover,dividend_yield,transaction_costs,constraint_violations,policy_weight_stability,oos_observations,active_return_ci_lower_95
seed,11.0,0.1425727064951227,1.354770120709572,-1.7593446141337292,-0.048544867706329,-0.048544867706329,-0.0567024362986749,0.125702700112015,0.0,0.0002388351302128,0.0,0.8883340156335179,12.0,-0.0005541066516518
seed,23.0,0.1445728176054483,1.380491628136627,-0.6410949686226365,-0.0474348463282662,-0.0474348463282662,-0.0551038910467441,0.0366069748997688,0.0,6.955325230956078e-05,0.0,0.964685772152644,12.0,-0.0004876985905784
seed,37.0,0.14375462478151,1.3685588705615697,-1.2009738334795268,-0.0483031522058156,-0.0483031522058156,-0.0557000905001607,0.0360234221443533,0.0,6.844450207427144e-05,0.0,0.9652291431116564,12.0,-0.0004664336995032
seed,53.0,0.1424014602999925,1.3792932989187034,-0.9375698108851814,-0.0469870378391842,-0.0469870378391842,-0.054256491864108,0.0637357449159026,0.0,0.0001210979153402,0.0,0.9400831031386075,12.0,-0.000898499743408
seed,71.0,0.1432949668660672,1.3570807874807318,-1.5771446688997168,-0.0490634785453206,-0.0490634785453206,-0.0566421658474581,0.1153973317705094,0.0,0.0002192549303639,0.0,0.8965415027599759,12.0,-0.0004624836929772
mean,,0.1433193152096282,1.3680389411614409,-1.2232255792041582,-0.0480666765249831,-0.0480666765249831,-0.0556810151114292,0.0754932347685098,0.0,0.0001434371460601,0.0,0.9309747073592802,12.0,-0.0005738444756237
median,,0.1432949668660672,1.3685588705615697,-1.2009738334795268,-0.0483031522058156,-0.0483031522058156,-0.0557000905001607,0.0637357449159026,0.0,0.0001210979153402,0.0,0.9400831031386075,12.0,-0.0004876985905784
standard_deviation,,0.0007951399536246,0.0107530743165433,0.4083265231655816,0.0007540598001018,0.0007540598001018,0.0009305712780626,0.0382663644743659,0.0,7.27060925012953e-05,0.0,0.0328531255795181,0.0,0.0001656200693418
interquartile_range,,0.0011819182863872,0.0222125114379716,0.6395748580145354,0.0011100213780627,0.0011100213780627,0.001538274800714,0.0787903568707406,0.0,0.0001497016780544,0.0,0.0681442693926681,0.0,8.767295214863187e-05
best_seed,23.0,0.1445728176054483,1.380491628136627,-0.6410949686226365,-0.0474348463282662,-0.0474348463282662,-0.0551038910467441,0.0366069748997688,0.0,6.955325230956078e-05,0.0,0.964685772152644,12.0,-0.0004876985905784
worst_seed,53.0,0.1424014602999925,1.3792932989187034,-0.9375698108851814,-0.0469870378391842,-0.0469870378391842,-0.054256491864108,0.0637357449159026,0.0,0.0001210979153402,0.0,0.9400831031386075,12.0,-0.000898499743408
