ticker,portfolio_aware_recommendation,clean_sheet_recommendation,llm_recommendation,branch_classification,recommendation_agreement,score_dispersion,portfolio_aware_rank,clean_sheet_rank,llm_score,disagreement_flag,final_review_required,target_weight_portfolio_aware,clean_sheet_target_weight,passes_hard_filters,dividend_safety_score,cash_flow_quality_score,balance_sheet_strength_score,final_recommendation_score,risk_management_flags,recommendation,final_target_weight,confidence_adjustment,baseline_weight,raw_drl_weight,projected_drl_weight,accepted_target_weight,acceptance_selected_weights_source,drl_challenger_status,final_selected_weights_source,drl_rejection_reasons,final_selected_weight,target_weight,security_id,issuer_id,company_name,country,region,sector,industry,currency,average_daily_value_usd,market_cap_usd,dividend_yield,expected_total_return_12m,expected_dividend_return_12m,expected_volatility_12m,p5_return_12m,p50_return_12m,p95_return_12m,var_5_12m,cvar_5_12m,expected_shortfall_5_12m,dividend_cut_probability,large_drawdown_probability_12m,regime_suitability_score,sector_data_source,liquidity_data_source,market_cap_data_source,fundamentals_data_source,is_synthetic_data,is_synthetic_fundamentals,price_data_quality_score,price_data_exclusion_flag,eligible_for_optimisation,fallback_eligibility_used,optimisation_feasible,optimisation_status,portfolio_method,final_weight,source
000333.SHE,Buy,Buy,Hold,Reject,0.6666666666666666,6.295622096212536,7.0,4.0,61.70782616474071,True,True,0.05,0.05,True,66.6173441071769,63.399850082282434,94.78087851272028,70.0164388611297,narrative_review;,Hold,0.0,Review required or no LLM support,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,000333.SHE,NAME:mideagroupcoltd,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,"Furnishings, Fixtures & Appliances",CNY,457035391.3178432,94144678368.21568,0.0504,0.35,0.0504,0.1898108212580659,-0.1393651736607553,0.35,0.7690534669804814,0.0073073538200085,-0.0591264336203144,-0.0591264336203144,0.295166429618148,0.2690119292474838,71.6719905516346,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
000538.SHE,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,6.038457578681908,379.0,48.0,53.61969148781069,True,True,0.0330827703410085,0.0,True,48.40953446807798,55.07331629479043,95.69367267773129,60.79245094644907,narrative_review;,Hold,0.0,Review required or no LLM support,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,000538.SHE,NAME:yunnanbaiyaogroupcoltd,Yunnan Baiyao Group Co Ltd,China,Mainland China,Healthcare,Drug Manufacturers - Specialty & Generic,CNY,77385621.70982617,13386716764.810217,0.0312,0.3056019365973758,0.0312,0.1446015267728217,-0.0591757623510867,0.3056019365973758,0.6205643457038309,0.0450062887975442,-0.0056042455729434,-0.0056042455729434,0.2364019851737035,0.2731036840130347,50.42407886125953,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
0728.HK,Buy,Buy,Buy,Consensus Buy,1.0,2.3000360246634384,73.0,16.0,68.50857290600473,False,False,0.05,0.05,True,64.31110086700826,72.01416775733303,91.76156137675964,64.0,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Buy,0.05,LLM agreement improves confidence,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,0728.HK,NAME:chinatelecom,China Telecom,Hong Kong,Hong Kong,Communication Services,Telecom Services,HKD,44845360.43957444,52524642799.00618,0.0666,0.35,0.0666,0.2198032003138043,-0.2365752831121903,0.35,0.8422555398905619,-0.0488815243490186,-0.1258126444588501,-0.1258126444588501,0.2963353185070368,0.3262126725963093,67.30917061015761,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_hk_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
1113.HK,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,6.199288830029985,112.0,77.0,57.984114442445374,True,True,0.0459991859079787,0.0,True,61.1656890722649,73.4722491929652,67.71911754631552,64.0,narrative_review;ml_drawdown_risk;ml_downside_tail_risk;ml_asymmetric_downside;,Hold,0.0,Review required or no LLM support,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,1113.HK,NAME:ckassetholdingsltd,CK Asset Holdings Ltd,Hong Kong,Hong Kong,Real Estate,Real Estate - Development,HKD,29336447.474039625,20868907332.61133,0.038,0.35,0.038,0.2234360781107428,-0.2311098508189201,0.35,0.8455131918947112,-0.0538565217267854,-0.1320591490655454,-0.1320591490655454,0.2399575407292591,0.306791817436947,61.1583478086736,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"eastmoney_hk_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
3988.HK,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,6.602643512462617,3.0,36.0,63.20816182684388,True,True,0.05,0.0,True,81.63898441691349,89.39155249133542,42.50713266761769,64.57608182584445,alt_data_review;narrative_review;,Hold,0.0,Review required or no LLM support,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,3988.HK,NAME:bankofchinaltdh,Bank of China Ltd H,Hong Kong,Hong Kong,Financials,Banks - Diversified,HKD,154213929.70758748,214712469258.58444,0.0484,0.35,0.0484,0.1885569340696135,-0.1396878019129482,0.35,0.767274439817567,0.0091695869641068,-0.0568253399602578,-0.0568253399602578,0.300276608727357,0.2805713656130585,83.52728220640475,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
600018.SHG,Hold,Hold,Hold,Reject,1.0,9.250089635916028,557.0,85.0,45.21815198469914,False,False,0.0,0.0,True,47.02411412624467,55.36823766318353,73.16807870779226,57.10748551809813,narrative_review;,Watchlist,0.0,Review required or no LLM support,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,600018.SHG,NAME:shanghaiinternationalportgroupcoltd,Shanghai International Port Group Co Ltd,China,Mainland China,Industrials,Marine Shipping,CNY,43304990.35118837,17755201021.638878,0.0375,0.2909547082727627,0.0375,0.1488776936590294,-0.0872090696764032,0.2909547082727627,0.6163022303317772,0.0224408955739241,-0.0296662972067361,-0.0296662972067361,0.2568544356494338,0.2736811877643261,45.08896776158935,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
600036.SHG,Buy,Buy,Hold,Reject,0.6666666666666666,6.435811781736819,4.0,20.0,61.97212531535423,True,True,0.05,0.05,True,75.69901521742375,88.61806151910795,42.50713266761769,65.19755558744342,narrative_review;,Hold,0.0,Review required or no LLM support,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,600036.SHG,NAME:chinamerchantsbankcoltd,China Merchants Bank Co Ltd,China,Mainland China,Financials,Banks - Regional,CNY,542763029.738678,144633145484.21426,0.1031,0.35,0.1031,0.1665442861478496,-0.0780423137323588,0.35,0.7163877731988229,0.0492810412212129,-0.0090094589305344,-0.0090094589305344,0.2904988309495793,0.27237749421238,87.4326011178244,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
601816.SHG,Buy,Buy,Hold,Reject,0.6666666666666666,7.761363384918515,302.0,17.0,52.80495643634631,True,True,0.044182701381148,0.05,True,43.24233352311133,80.41995404619482,70.0176424469945,63.06030012602536,narrative_review;,Hold,0.0,Review required or no LLM support,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,601816.SHG,NAME:beijingshanghaihighspeedrailwaycoltd,Beijing-Shanghai High Speed Railway Co Ltd,China,Mainland China,Industrials,Railroads,CNY,144225099.18410784,36446941279.41351,0.0264,0.35,0.0264,0.1512950817700581,-0.0381354356675511,0.35,0.6821515346264004,0.0768018018941524,0.0238485232746321,0.0238485232746321,0.2932908740625924,0.2717352335018509,60.9229765048436,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
601818.SHG,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,7.012345118924734,42.0,41.0,58.2308163574274,True,True,0.05,0.0,True,78.20237416012573,81.68477955953286,42.50713266761769,60.98372019808081,narrative_review;,Hold,0.0,Review required or no LLM support,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,601818.SHG,NAME:chinaeverbrightbankcoltd,China Everbright Bank Co Ltd,China,Mainland China,Financials,Banks - Regional,CNY,91150868.40782782,26636355322.21828,0.0572,0.35,0.0572,0.1620859116783879,-0.0677411320783223,0.35,0.706408103273841,0.0570850362871195,0.0003549671996838,0.0003549671996838,0.2616099420606904,0.295094793356863,80.12404065647196,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,eastmoney_china_financials,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
AD.AS,Buy,Hold,Hold,Portfolio-Aware Only,0.6666666666666666,2.496099508466944,373.0,24.0,60.79638564584418,True,True,0.05,0.0,True,72.84026861583601,70.23389888174613,48.819984828888686,64.75429574911064,narrative_review;,Hold,0.0,Review required or no LLM support,0.0499999999999999,0.0475,0.0475,0.0499999999999999,baseline_optimiser,rejected_baseline_fallback,baseline_optimiser,"('drl_did_not_improve_oos_net_sharpe', 'oos_active_return_not_statistically_positive', 'all_ppo_seeds_failed_validation_guard')",0.0499999999999999,0.0499999999999999,AD.AS,NAME:koninklijkeaholddelhaizenv,Koninklijke Ahold Delhaize NV,Netherlands,EU ex-DACH,Consumer Staples,Grocery Stores,EUR,94561549.74311069,33767453676.763763,0.0424,0.35,0.0424,0.2074894153793908,-0.1846775803137036,0.35,0.8079407882790781,-0.0246371830667071,-0.0972584784494939,-0.0972584784494939,0.2331450315818097,0.2974274573961667,74.53831655477227,yahoo_finance,yahoo_finance_3m_average_volume,yahoo_finance,"bloomberg_database_as_of,yahoo_finance_timeseries",False,False,100.0,False,True,False,True,optimal,cvar_constrained,0.0499999999999999,explicit_final_portfolio
