security_id,ticker,company_name,country,region,sector,currency,current_weight,target_weight,weight_change,current_market_value_usd,target_market_value_usd,trade_notional_usd,trade_action,expected_total_return_12m,expected_dividend_yield,p5_return_12m,p50_return_12m,p95_return_12m,var_5,cvar_5,expected_shortfall_5,dividend_cut_probability,drawdown_probability,regime_suitability_score,final_recommendation_score,primary_positive_driver,primary_risk,constraint_flags,drl_effect,rationale,source_trace
OR.PA,,,,,,,0.20859200397318103,0.0,-0.20859200397318103,16800.0,0.0,-16800.0,Exit,,,,,,,,,,,,,,,,,,explicit_final_portfolio
ASML.AS,,,,,,,0.17432331760615843,0.0,-0.17432331760615843,14040.0,0.0,-14040.0,Exit,,,,,,,,,,,,,,,,,,explicit_final_portfolio
ULVR.L,,,,,,,0.14204122175316614,0.0,-0.14204122175316614,11440.0,0.0,-11440.0,Exit,,,,,,,,,,,,,,,,,,explicit_final_portfolio
SIE.DE,,,,,,,0.13781971691085176,0.0,-0.13781971691085176,11100.0,0.0,-11100.000000000002,Exit,,,,,,,,,,,,,,,,,,explicit_final_portfolio
NESN.SW,,,,,,,0.13037000248323813,0.0,-0.13037000248323813,10500.0,0.0,-10499.999999999998,Exit,,,,,,,,,,,,,,,,,,explicit_final_portfolio
NOVN.SW,NOVN.SW,Novartis AG,Switzerland,DACH,Healthcare,CHF,0.10951080208592004,0.0499999999999999,-0.05951080208592014,8820.0,4026.999999999992,-4793.000000000008,Reduce,0.3028284806128545,,-0.2004838977724848,0.3028284806128545,0.7311554543164487,,,,0.3181975407292591,,62.71023364853899,62.083889079510406,,,,,,explicit_final_portfolio
000651.SZ,,,,,,,0.05761112490687857,0.0,-0.05761112490687857,4640.0,0.0,-4640.0,Exit,,,,,,,,,,,,,,,,,,explicit_final_portfolio
600018.SHG,600018.SHG,Shanghai International Port Group Co Ltd,China,Mainland China,Industrials,CNY,0.0,0.0499999999999999,0.0499999999999999,0.0,4026.999999999992,4026.999999999992,Buy,0.2909547082727627,,-0.0872090696764032,0.2909547082727627,0.6163022303317772,,,,0.2568544356494338,,45.08896776158935,57.10748551809813,,,,,,explicit_final_portfolio
0728.HK,0728.HK,China Telecom,Hong Kong,Hong Kong,Communication Services,HKD,0.0,0.0499999999999999,0.0499999999999999,0.0,4026.999999999992,4026.999999999992,Buy,0.35,,-0.2365752831121903,0.35,0.8422555398905619,,,,0.2963353185070368,,67.30917061015761,64.0,,,,,,explicit_final_portfolio
000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,China,Mainland China,Healthcare,CNY,0.0,0.0499999999999999,0.0499999999999999,0.0,4026.999999999992,4026.999999999992,Buy,0.3056019365973758,,-0.0591757623510867,0.3056019365973758,0.6205643457038309,,,,0.2364019851737035,,50.42407886125953,60.79245094644907,,,,,,explicit_final_portfolio
000333.SHE,000333.SHE,Midea Group Co Ltd,China,Mainland China,Consumer Discretionary,CNY,0.0,0.0499999999999999,0.0499999999999999,0.0,4026.999999999992,4026.999999999992,Buy,0.35,,-0.1393651736607553,0.35,0.7690534669804814,,,,0.295166429618148,,71.6719905516346,70.0164388611297,,,,,,explicit_final_portfolio
HIG.US,HIG.US,Hartford Financial Services Group,United States,US,Financials,USD,0.0,0.0499999999999999,0.0499999999999999,0.0,4026.999999999992,4026.999999999992,Buy,0.35,,-0.1470466371509818,0.35,0.7757247326566863,,,,0.2824988309495793,,77.67815573470742,69.84803022964932,,,,,,explicit_final_portfolio
601818.SHG,601818.SHG,China Everbright Bank Co Ltd,China,Mainland China,Financials,CNY,0.0,0.0499999999999999,0.0499999999999999,0.0,4026.999999999992,4026.999999999992,Buy,0.35,,-0.0677411320783223,0.35,0.706408103273841,,,,0.2616099420606904,,80.12404065647196,60.98372019808081,,,,,,explicit_final_portfolio
600036.SHG,600036.SHG,China Merchants Bank Co Ltd,China,Mainland China,Financials,CNY,0.0,0.0499999999999999,0.0499999999999999,0.0,4026.999999999992,4026.999999999992,Buy,0.35,,-0.0780423137323588,0.35,0.7163877731988229,,,,0.2904988309495793,,87.4326011178244,65.19755558744342,,,,,,explicit_final_portfolio
601816.SHG,601816.SHG,Beijing-Shanghai High Speed Railway Co Ltd,China,Mainland China,Industrials,CNY,0.0,0.0499999999999999,0.0499999999999999,0.0,4026.999999999992,4026.999999999992,Buy,0.35,,-0.0381354356675511,0.35,0.6821515346264004,,,,0.2932908740625924,,60.9229765048436,63.06030012602536,,,,,,explicit_final_portfolio
