horizon,horizon_months,security_id,ticker,company_name,model_version,expected_total_return,expected_price_return,expected_dividend_return,p5,p50,p95,volatility,var_5,cvar_5,expected_shortfall_5,dividend_cut_probability,drawdown_probability,forecast_confidence,selected_distribution
3M,3,CA.PA,CA.PA,Carrefour SA,student_t,0.0875,0.07225,0.01525,-0.2032655132960088,0.0875,0.3320215403653782,0.109227461285458,-0.2032655132960088,-0.1488282524257273,-0.1488282524257273,0.3146367263022666,0.1714035631475917,71.74959021426302,student_t
3M,3,ORA.PA,ORA.PA,Orange S.A.,student_t,0.0875,0.0756999999999999,0.0118,-0.2044623134010813,0.0875,0.3357500808032346,0.1115594296206993,-0.2044623134010813,-0.1533113469133464,-0.1533113469133464,0.2854251022505119,0.1615161485352736,72.13656215513623,student_t
3M,3,AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,student_t,0.0875,0.0769,0.0106,-0.1798387901568518,0.0875,0.3164703941395391,0.1037447076896954,-0.1798387901568518,-0.1361292392247469,-0.1361292392247469,0.2331450315818097,0.1635851015678917,73.10736405393384,student_t
3M,3,SHELL.AS,SHELL.AS,Shell PLC,student_t,0.0875,0.0696499999999999,0.0178499999999999,-0.2044420919087544,0.0875,0.3352844411470785,0.1113130166322881,-0.2044420919087544,-0.1528745514851357,-0.1528745514851357,0.2755130962848147,0.166898227288215,72.06285438697792,student_t
3M,3,ELE.MC,ELE.MC,Endesa SA,student_t,0.0875,0.078,0.0095,-0.1669331458884022,0.0875,0.3063046579854658,0.0994844225630525,-0.1669331458884022,-0.1267758886451815,-0.1267758886451815,0.2269575407292591,0.1588574331139648,73.64016096008872,student_t
3M,3,ALV.XETRA,ALV.XETRA,Allianz SE VNA O.N.,student_t,0.0875,0.0776999999999999,0.0098,-0.1530848067208743,0.0875,0.2939775290921886,0.0938843544851677,-0.1530848067208743,-0.114789661137651,-0.114789661137651,0.2419432753940237,0.1581497458648485,73.9694717662593,student_t
3M,3,HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),student_t,0.0875,0.0807499999999999,0.00675,-0.1660104634247556,0.0875,0.3031912805327413,0.0976286799086599,-0.1660104634247556,-0.1232328333991895,-0.1232328333991895,0.2269575407292591,0.1755334508592467,73.24192885825839,student_t
3M,3,IMB.LSE,IMB.LSE,Imperial Brands PLC,student_t,0.0875,0.072325,0.015175,-0.1924655217294388,0.0875,0.3241629520194009,0.1061315780427202,-0.1924655217294388,-0.1418720444050313,-0.1418720444050313,0.3047308740625924,0.1657477106874945,72.25601639267532,student_t
3M,3,HIG.US,HIG.US,Hartford Financial Services Group,student_t,0.0875,0.083325,0.004175,-0.1610233185754909,0.0875,0.3003623663283431,0.096438568328442,-0.1610233185754909,-0.1203628684730373,-0.1203628684730373,0.2824988309495793,0.1508660518169076,73.67207169992905,student_t
3M,3,NOVN.SW,NOVN.SW,Novartis AG,student_t,0.0757071201532136,0.0682821201532136,0.007425,-0.175949069039456,0.0757071201532136,0.2898706070050106,0.0965686645156395,-0.175949069039456,-0.1326967476914216,-0.1326967476914216,0.3181975407292591,0.1517503656940231,72.91541222165223,student_t
3M,3,0728.HK,0728.HK,China Telecom,student_t,0.0875,0.07085,0.01665,-0.2057876415560951,0.0875,0.333627769945281,0.1099016001569021,-0.2057876415560951,-0.150406322229425,-0.150406322229425,0.2963353185070368,0.1794169699279701,71.58887949793966,student_t
3M,3,1113.HK,1113.HK,CK Asset Holdings Ltd,student_t,0.0875,0.078,0.0095,-0.20305492540946,0.0875,0.3352565959473556,0.1117180390553714,-0.20305492540946,-0.1535295745327727,-0.1535295745327727,0.2399575407292591,0.1687354995903209,72.26882393262957,student_t
3M,3,3988.HK,3988.HK,Bank of China Ltd H,student_t,0.0875,0.0754,0.0121,-0.1573439009564741,0.0875,0.2961372199087835,0.0942784670348067,-0.1573439009564741,-0.1159126699801289,-0.1159126699801289,0.300276608727357,0.1543142510871822,73.57890784955391,student_t
3M,3,000333.SHE,000333.SHE,Midea Group Co Ltd,student_t,0.0875,0.0749,0.0126,-0.1571825868303776,0.0875,0.2970267334902407,0.0949054106290329,-0.1571825868303776,-0.1170632168101572,-0.1170632168101572,0.295166429618148,0.1479565610861161,73.77915858277872,student_t
3M,3,000538.SHE,000538.SHE,Yunnan Baiyao Group Co Ltd,student_t,0.0764004841493439,0.0686004841493439,0.0078,-0.1059883653248873,0.0764004841493439,0.2338816887025714,0.0723007633864108,-0.1059883653248873,-0.0792026069358156,-0.0792026069358156,0.2364019851737035,0.1502070262071691,75.53514028610327,student_t
