security_id,ticker,company_name,target_weight,current_weight,sector,country,region,currency,contribution_to_expected_return,contribution_to_dividend_income,contribution_to_volatility,contribution_to_var_5,contribution_to_cvar_5,contribution_to_expected_shortfall_5,contribution_to_drawdown_risk,contribution_to_dividend_cut_risk,contribution_to_tail_risk,contribution_to_liquidity_risk,contribution_to_regime_risk,contribution_to_narrative_risk,contribution_to_alt_data_risk,risk_contribution_rank,risk_commentary,risk_rank,cvar_rank,drawdown_rank
1113.HK,1113.HK,CK Asset Holdings Ltd,0.05,0.0,Real Estate,Hong Kong,Hong Kong,HKD,0.0174999999999999,0.0019,0.0111718039055371,-0.0026928260863392,-0.0066029574532772,-0.0066029574532772,0.0153395908718473,0.0119978770364629,0.0094327963618246,0.0296005706134094,0.0194208260956632,0.0433593421272168,0.0216979166666666,1,High narrative/regime risk contribution despite attractive yield.,1,1,1
0728.HK,0728.HK,China Telecom,0.05,0.0,Communication Services,Hong Kong,Hong Kong,HKD,0.0174999999999999,0.00333,0.0109901600156902,-0.0024440762174509,-0.0062906322229425,-0.0062906322229425,0.0163106336298154,0.0148167659253518,0.0089866174613464,0.0259272467902995,0.0163454146949211,0.0427747515571207,0.0115229166666666,2,High narrative/regime risk contribution despite attractive yield.,2,2,2
SHELL.AS,SHELL.AS,Shell PLC,0.05,0.0,Energy,Netherlands,EU ex-DACH,EUR,0.0174999999999999,0.00357,0.0111313016632288,-0.0026414995663834,-0.0065374551485135,-0.0065374551485135,0.0151725661171104,0.0137756548142407,0.0093392216407336,0.0131954350927246,0.0134851291921021,0.0433593421272168,0.0326979166666666,3,High narrative/regime risk contribution despite attractive yield.,3,3,3
ORA.PA,ORA.PA,Orange S.A.,0.05,0.0,Communication Services,France,EU ex-DACH,EUR,0.0174999999999999,0.00236,0.0111559429620699,-0.0026765546546101,-0.0065811346913346,-0.0065811346913346,0.0146832862304794,0.0142712551125255,0.0094016209876209,0.0204707560627674,0.0179645368553611,0.045113113837505,0.0256145833333333,4,High narrative/regime risk contribution despite attractive yield.,4,4,4
CA.PA,CA.PA,Carrefour SA,0.05,0.0,Consumer Staples,France,EU ex-DACH,EUR,0.0174999999999999,0.00305,0.0109227461285458,-0.0023098640975817,-0.0061328252425727,-0.0061328252425727,0.0155821421043265,0.0157318363151133,0.008761178917961,0.0263195435092724,0.0133223044521599,0.0369924632643414,0.0216145833333333,5,High narrative/regime risk contribution despite attractive yield.,5,5,5
IMB.LSE,IMB.LSE,Imperial Brands PLC,0.05,0.0,Consumer Staples,United Kingdom,UK,GBX,0.0174999999999999,0.003035,0.010613157804272,-0.0017225992090079,-0.0054372044405031,-0.0054372044405031,0.0150679736988631,0.0152365437031296,0.0077674349150044,0.0179029957203994,0.0137496383826809,0.0433593421272168,0.0216979166666666,6,High narrative/regime risk contribution despite attractive yield.,6,6,6
NOVN.SW,NOVN.SW,Novartis AG,0.05,0.10951080208592,Healthcare,Switzerland,DACH,CHF,0.0151414240306427,0.001485,0.0096568664515639,-0.0023190594957734,-0.0056989627538207,-0.0056989627538207,0.0137954877903657,0.0159098770364629,0.0081413753626011,0.0065620542082738,0.0186448831757305,0.0405000066849179,0.0302395833333333,7,High narrative/regime risk contribution despite attractive yield.,7,7,7
AD.AS,AD.AS,Koninklijke Ahold Delhaize NV,0.05,0.0,Consumer Staples,Netherlands,EU ex-DACH,EUR,0.0174999999999999,0.00212,0.0103744707689695,-0.0012318591533353,-0.0048629239224746,-0.0048629239224746,0.0148713728698083,0.0116572515790904,0.0069470341749638,0.0191868758915834,0.0127308417226138,0.0420377090691136,0.0167729166666666,8,High narrative/regime risk contribution despite attractive yield.,8,8,8
HEN3.XETRA,HEN3.XETRA,Henkel AG & Co. KGaA vz. (Pref Shares),0.05,0.0,Consumer Staples,Germany,DACH,EUR,0.0174999999999999,0.00135,0.0097628679908659,-0.0001562795431158,-0.0035732833399189,-0.0035732833399189,0.0159575864417497,0.0113478770364629,0.0051046904855985,0.0271398002853067,0.0225444469892257,0.0358868995323307,0.0115229166666666,9,High narrative/regime risk contribution despite attractive yield.,9,9,9
ELE.MC,ELE.MC,Endesa SA,0.05,0.0,Utilities,Spain,EU ex-DACH,EUR,0.0174999999999999,0.0019,0.0099484422563052,-0.0004456340748113,-0.0039275888645181,-0.0039275888645181,0.0144415848285422,0.0113478770364629,0.0056108412350259,0.0273537803138373,0.0247371279491451,0.0405431242890275,0.0128354166666666,10,High narrative/regime risk contribution despite attractive yield.,10,10,10
