label,series_id,status,rows,error
GDP,GDP,stored_complete,1331,
real_gdp,GDPC1,stored_complete,1499,
CPI,CPIAUCSL,stored_complete,1863,
core_cpi,CPILFESL,stored_complete,1689,
unemployment,UNRATE,stored_complete,741,
policy_rate,FEDFUNDS,stored_complete,359,
effective_policy_rate_daily,DFF,stored_complete,11911,
treasury_2y,DGS2,stored_complete,8157,
treasury_10y,DGS10,stored_complete,8157,
treasury_30y,DGS30,stored_complete,8157,
treasury_10y_2y_spread,T10Y2Y,stored_complete,8158,
treasury_10y_breakeven_inflation,T10YIE,stored_complete,5907,
trade_weighted_usd,DTWEXBGS,stored_complete,5164,
credit_spread,BAMLH0A0HYM2,stored_complete,786,
credit_spread_long_history,BAA10YM,stored_complete,391,
usd_per_euro,DEXUSEU,stored_complete,6921,
usd_per_gbp,DEXUSUK,stored_complete,8178,
cny_per_usd,DEXCHUS,stored_complete,8176,
hkd_per_usd,DEXHKUS,stored_complete,8178,
chf_per_usd,DEXSZUS,stored_complete,8178,
volatility,VIXCLS,stored_complete,8237,
