row_type,seed,total_net_return,sharpe,information_ratio,cvar,expected_shortfall,maximum_drawdown,turnover,dividend_yield,transaction_costs,constraint_violations,policy_weight_stability,oos_observations,active_return_ci_lower_95
seed,11.0,0.1421213543729929,1.3550608990173465,-1.149694732425593,-0.046389834962943605,-0.046389834962943605,-0.05492033933249296,0.009999999776482582,0.0,1.8999999575316906e-05,0.0,0.9900990101201034,12.0,-0.00030287933455682434
seed,23.0,0.14261185631122797,1.3628880574234374,-0.528116231685949,-0.04718301840998308,-0.04718301840998308,-0.0556673157547638,0.019999999552965164,0.0,3.799999915063381e-05,0.0,0.980392157292421,12.0,-0.00036468800980850677
seed,37.0,0.1435676654524447,1.3594056916861337,0.0,-0.04718301840998308,-0.04718301840998308,-0.05566731575476369,0.0,0.0,0.0,0.0,1.0,12.0,0.0
seed,53.0,0.137882341937396,1.3340098064232428,-2.0753740502574587,-0.04710661683214181,-0.04710661683214181,-0.05548136163427442,0.04999999888241291,0.0,9.499999787658452e-05,0.0,0.9523809533946368,12.0,-0.0008447803023479839
seed,71.0,0.1420538982541517,1.3549593703641765,-1.3186399523408854,-0.04718301840998308,-0.04718301840998308,-0.05568019582257666,0.05422934889793396,0.0,0.00010303576290607451,0.0,0.9485601980682629,12.0,-0.00029037564548072984
mean,,0.14164742326564267,1.3532647649828675,-1.0143649933419774,-0.047009101405006935,-0.047009101405006935,-0.05548330565977431,0.026845869421958924,0.0,5.1007151901721956e-05,0.0,0.9742864637750849,12.0,-0.000360544658438809
median,,0.1421213543729929,1.3550608990173465,-1.149694732425593,-0.04718301840998308,-0.04718301840998308,-0.05566731575476369,0.019999999552965164,0.0,3.799999915063381e-05,0.0,0.980392157292421,12.0,-0.00030287933455682434
standard_deviation,,0.0019587307714180853,0.010071444307274462,0.7073912362675405,0.0003110439064359542,0.0003110439064359542,0.0002910051653191651,0.021620909428972022,0.0,4.107972791504683e-05,0.0,0.02044599810562911,0.0,0.00027303580603261135
interquartile_range,,0.0005579580570762577,0.004446321321957214,0.7905237206549364,7.64015778412716e-05,7.64015778412716e-05,0.00018595412048938442,0.03999999910593033,0.0,7.599999830126762e-05,0.0,0.037718056725466576,0.0,7.431236432777692e-05
best_seed,37.0,0.1435676654524447,1.3594056916861337,0.0,-0.04718301840998308,-0.04718301840998308,-0.05566731575476369,0.0,0.0,0.0,0.0,1.0,12.0,0.0
worst_seed,53.0,0.137882341937396,1.3340098064232428,-2.0753740502574587,-0.04710661683214181,-0.04710661683214181,-0.05548136163427442,0.04999999888241291,0.0,9.499999787658452e-05,0.0,0.9523809533946368,12.0,-0.0008447803023479839
